English,Arabic,Description
Investment companies,شركات استثمار,شركات تقوم باستثمار الأموال المجمعة للمستثمرين الصغار في الأوراق المالية الملائمة لأهدافها الاستثمارية المبينة، وهي تقدم إمكانيات متنوعة ومتخصصة لهؤلاء المستثمرين أفضل من الإمكانيات التي يمتلكونها هم بصورة فردية مثل تشكيلة متنوعة من الاستثمارات والسيولة والخدمات الإدارية المتنوعة
Investment Controller,مراقب الاستثمار,شخص اعتبارى مرخص له من الهيئة لمزاولة نشاط المراقبة والإشراف على أنظمة الاستثمار الجماعي
Investment Diversification,تنويع الاستثمارات,عملية توزيع الأصول النقدية على أنواع متعددة من الاستثمارات مثل الأوراق المالية والعقار والودائع وذلك بهدف تقليل مخاطر الاستثمار. وبذا ت الطريقة يعمد المستثمر عادة إلى تنويع محفظته من الأوراق المالية من خلال الاستثمار في أسهم شركات متعددة وضمن قطاعات مختلفة تشمل على سبيل المثال البنوك والاتصالات والتأمين والعقار والصناعة والخدمات المالية
Investment portfolio,محفظة استثمار,المجموعة الكلية للاستثمارات العائدة إلى مستثمر أوالمحتفظ بها لدى مؤسسة مالية مثل المصارف، شركات الاستثمار، الوسطاء الماليون وما أشبه لإدارتها وتنميتها لقاء عمولات وأتعاب يتفق عليها.
Investment Portfolio Manager,مدير محفظة الاستثمار,الشخحص الذى توكل إليه مهمة إدارة المحافظ الاستثمارية بالنيابة عن العملاء أو لصالح العملاء أو لصالح الشركة التي يعمل بها
Investment Risk Reserve (IRR),احتياطي مخاطر الاستثمار,المبلغ الذي يخصص من أرباح أصحاب حسابات الاستثمار بعد اقتطاع حصة المضارب من أجل توفير الوقاية من خسائر الاستثمار المستقبلية التي يمكن أن يتعرض لها أصحاب حسابات الاستثمار.
Investment trust,شركة استثمار,هي أحد نوعين أساسيين من أنواع شركات الاستثمار التي تدعى كذلك الشركات ذات الطرف المسدود closed end التي لديها عدد ثابت من الأسهم للبيع والشراء، تمييزاً لها عن النوع الأساسي الآخر من شركات الاستثمار المسماة ذات الطرف الفتوح open end
Investment Trust (Company) ITC,شركة استثمارت,تختص بنشاطات شراء وبيع واستحواذ على الأسهم، الفرق بينها وبين الوحدات الاستثمارية أن المستثمرين لا يتلقون نصيبا فى الأرباح التى تحققها الشركات
Investment trustees,أمناء الاستثمار,أمناء الاستثمار
Investments,الاستثمارات,حسب ما ورد فى المادة 86 من قانون الاستثمارات بسلطة الخدمات المالية فى المملكة المتحدة المتعلقة بتنظيم الاستثمارات مثل : الأسهم ، السندات ، الخيارات ، العقود المستقبلية ، وبوليصات التأمين على الحياة، وصناديق التقاعد
"Investments, fixed",استثمارات ثابتة,المبالغ المصروفة من قبل الحكومة في إنشاء مساكن وطرق ومستشفيات جديدة...إلخ، أو من قبل القطاع الخاص (أفراد وشركات) على أبنية جديدة وبناء السفن والطائرات والمركبات...إلخ، وكلها سلع رأسمالية وليست سلعاً استهلاكية
Investor,مستثمر,تعني الكلمة عموماً شخصاً يوظف أمواله في شراء أوراق مالية securities وممتلكات أخرى، إما بهدف الاستفادة من أرباحها وفوائدها أو بهدف ارتفاع قيمتها على المدى البعيد، أو بهدف بسط السيطرة على الشركة المستثمر فيها
irrevocable commitments,إتفاقات او تعهدات غير قابله للإلغاء,إتفاقات او تعهدات غير قابله للإلغاء
Irrevocable trust,ائتمان غير قابل للإلغاء,إئتمان لا يمكن تغييره أو إلغاؤه من قبل الشخص الذي أنشأه بدون موافقة المستفيد
Islamic Collective Investment Scheme (ICIS),برامج الاستثمار الجماعي الإسلامي,يقصد بها أية برامج مالية مهيكلة وبشكل أساسي وفقاً للمعايير الآتية:(أ) قيام المستثمرين بوضع مساهماتهم من رأس المال في صندوق، (سواء كان الصندوق كياناً قانونياً مستقلاً أو تم تأسيسه وفق ترتيبات تعاقدية)، وذلك بالاكتتاب في وحدات أو أسهم ذات قيمة متساوية. وتشكل هذه الوحدات أو الأسهم في الحقيقة حقوق ملكية لموجودات الصندوق غير القابلة للتقسيم (ويمكن أن تكون موجودات مالية أو غير مالية)، وتؤدي إلى نشوء الحق في المشاركة في الأرباح أو تحمل الخسائر الناتجة عن تلك الموجودات. وسواء كانت برامج الاستثمار الجماعي الإسلامي تديرها المؤسسات التي أسستها وموّلتها أو غيرها، فإن مسؤوليتها منفصلة من ناحية الذمة المالية تجاه تلك المؤسسات (أي لها طبيعتها المستقلة فيما يتعلق بالموجودات والمطلوبات)، ولكن باستثناء الصكوك.(ب) تأسيس الصندوق وإدارته وفقاً لأحكام الشريعة ومبادئها.
Islamic Window,النافذة الإسلامية,جزء من مؤسسة مالية تقليدية (قد تكون فرعاً أو وحدة مخصصة لهذه المؤسسة) تقدم كلاً من إدارة المال (حسابات الاستثمار) والتمويل والاستثمار المتوافق مع أحكام الشريعة مع الالتزام بفصل الأموال. أو تقدم خدمات تأمين تكافلي أو إعادة التكافل.
Issuance,إصدار,"هي عملية طرح أوراق مالية من قبل الجهة المصدرة (حكومة، شركات حكومية، شركات قائمة أو حديثة التأسيس) وذلك للاكتتاب بها عبر السوق الأولي ""اسوق الإصدارات والاكتتابات الجديدة"""
Issuance Manager,مديرالاصدار,شخص مرخص له بمزاولة نشاط وكيل اكتتاب
Issue,الأوراق المالية أو السندات التي يتم إصدارها,الأوراق المالية أو السندات التي يتم بيعها من قبل المؤسسات / جهات حكومية (المصدرين عموما)
Issue above par,إصدار يفوق السعر الإسمي,تصدر الشركات أحياناً أسهماً أو سندات بقيمة أعلى من قيمتها الاسمية، والفرق يسمى علاوة إصدار premium، وتظهر مع حقوق المساهمين في الميزانية العمومية
Issue at a discount,إصدار بخصم,تصدر الشركات أحياناً أسهما بأقل من القيمة الإسمية لتشجيع الإكتتاب بها بالكامل لحاجتها الماسة إلى السيولة، أو سندات بأقل من القيمة الإسمية عندما يكون سعر الفائدة على السند أقل من السعر السائد في السوق، وتحدث هذه الحالة عندما تواجه الشركة مصاعب مالية وتكون للسندات فترة استحقاق طويلة
Issue costs,تكاليف الإصدار,تكاليف الإصدار
Issue price,سعر الإصدار,سعر الإصدار
"Issue, rate of",سعر الإصدار,سعر الاكتتاب، ولا يكون بالضرورة مساويا للقيمة الإسمية للأسهم المكتتب بها، إذ قد يكون أقل منها أو أعلى منها
"Issue, restricted",إصدار مقيد,تصدر بعض الشركات أوراقاً مالية وعليها قيود مثل حصر الاكتتاب بها على المساهمين القدامى فقط مثلا عند رسملة الاحتياطيات أو يرد التقييد على شكل اقتصار الاكتتاب على صغار المساهمين أو عند حد أعلى لكمية الأسهم أو السندات التي يمكن لمساهم الاكتتاب بها
Issued capital,رأس مال المصدر,رأس المال المصرح بإصداره مقابل الاكتتاب النقدي أو مقابل خدمات قدمت للشركة أو لقاء أي ممتلكات أخرى. ويتضمن رأس المال المصدر كذلك أسهم خزينة أعيد امتلاكها treasury stock، وهي قد تعرض للبيع مرة أخرى أو تلغى
Issued share capital,رأس المال المصدر,رأس المال المصدر وقد يختلف عن رأس المال المرخص به
Issuer,المصدر,الجهة (التي تصدر أوراقاً مالية)
Issuer risk,مخاطر المصدر,مخاطر الإعسار نتيجة قيام شركة بامتلاك أوراق مالية مدينة صادرة عن مؤسسة أخرى
Issuing,العمليات التي تتخذها جهة ما لإصدار أوراق مالية مدينة (سندات),العمليات التي تتخذها جهة ما لإصدار أوراق مالية مدينة (سندات)
Issuing bank,مصرف الإصدار,المصرف الذي توكله الشركة لينوب عنها في عملية اكتتاب المساهمين بالأوراق المالية التي تطرحها للاكتتاب لقاء أجور أو عمولات يتفق عليها
Issuing house,دار الإصدار,الجهة التي تقوم بعملية تسهيل إصدار الأوراق المالية
Issuing office,مكتب الإصدار,المكان الخاص في بناية الشركة أو في مصرف الإصدار الذي يتوجه إليه المستثمرون للإكتتاب بأسهمها أو سنداتها المطروحة للإكتتاب
Istiṣnāʻ,الاستصناع,بيع موجود محدد المواصفات يلتزم البائع بتصنيعه/إنشائه بمواد من عنده، وتسليمه في موعد معين مقابل ثمن محدد يدفع دفعة واحدة أو على أقساط معلومة.
Joint account,حساب مشترك,(1) حساب في مصرف يظهر بإسم اثنين أو أكثر من الأشخاص وغالباً الزوج والزوجة، وأي منهم أو جميعهم يتعين أن يملك القدرة على إدارة الحساب إما منفرداً أو مجتمعاً (2) في سوق الأوراق المالية يعني مجموعة أسهم مملوكة من شخصين أو أكثر أو عدة منشآت (3) في المحاسبة يعني حساباً من حسابات التعامل التجاري باسم مشروع مشترك Joint Venture يعود إلى اثنين أو أكثر من الأشخاص أو الشركات ويمول من قبلهم
Joint stock association,شركة مساهمة محدودة,"(1) في بريطانيا، شكل من المنظمات يدعى شركة مساهمة محدودة يكون فيها رأس المال مقسماً إلى أسهم ذات قيمة إسمية منخفضة لكي تسمح لأكبر عدد من المستثمرين المساهمة فيها، وتكون مسؤولية المساهمين فيها بقدر قيمة الأسهم التي ساهموا بها في رأسمال الشركة 
(2) في الولايات المتحدة، يعني التعبير شركة فيها رأس المال مقسم إلى أسهم لكن مسؤولية أعضائها غير محددة كما في شركات التضامن"
Joint stock company,شركة مساهمة,أحياناً يطلق عليها ضمناً على الشركة المساهمة العامة
Junk bonds,سندات ذات تصنيف متدني,تعبير يستخدم في اللغة العامية (الدارجة) ويعني سندات ذات عائد مرتفع تصنف في الأسواق المالية (بواسطة مؤشر 500 Standard & Poor’s للأرقام القياسية) بدرجة BB أو + B وتصدرها عادة شركات صغيرة أو ناشئة أو شركات ليس لها سجل سابق في البورصة
Jurisdiction,"(1) سلطة، اختصاص، صلاحية
(2) الحدود التي تمارس ضمنها السلطة أو الصلاحية لجهة معينة","(1) سلطة، اختصاص، صلاحية
(2) الحدود التي تمارس ضمنها السلطة أو الصلاحية لجهة معينة"
Lagging Indicators,المؤشرات التابعة,هي مؤشرات حسابية محسوبة من الأسعار توضح قوة أو ضعف بمنظور مختلف عن الأسعار نفسها. المؤشرات التابعة للاتجاه مؤشرات  تتحرك في إتجاهات وليس لها حدود ولا تستخدم في الإتجاهات العرضية. وهي دائماً تتأخر عن الأسعار وتكون إشاراتها مهمة ومؤكدة لحركة الأسعار.
Large exposure risk,مخاطر التعرض الكبيرة,مخاطر التعرض الكبيرة
"Launch an offer,  commencement of a tender offer",الشروع او البدء فى العرض,الشروع او البدء فى العرض
Laundering money,المال المغسول,مال مكتسب من طرق غير مشروعة: مخدرات - سرقة - غيرها، ولكنه يبدو وكأنه مال مكتسب بطرق مشروعه بعد ضخه فى البنوك
Leading Indicators,المؤشرات القيادية,هي مؤشرات حسابية محسوبة من الأسعار وتوضح قوة أو ضعف محتمل غير واضح في حركة الأسعار. وهي مؤشرات من الممكن أن تتحرك في إتجاهات ومن الممكن أن تكون متذبذبة (تتحرك حول محور ينتصفها). ومن الممكن إستخدامها في جميع أنواع الإتجاهات. وإشارات هذه المؤشرات في معظم الوقت تسبق الأسعار ولكن من الممكن أن تكون في بعض الأحيان خادعة.
Lease,"(1) عقد ايجار أو استئجار 
(2) مدة ايجار 
(3) يؤجر، يستأجر","(1) عقد يتم بموجبه منح حق استعمال موجودات من قبل المالك ويدعى المؤجر (lessor) إلى طرف ثان يدعى المستأجر(lessee) مقابل دفعات إيجار. وهناك نوعان من عقود الإيجار، الأول هوعقد إيجار رأسمالي capital lease والثاني عقد إيجار تشغيلي operating lease 
(2) مدة ايجار 
(3) يؤجر، يستأجر"
Legal and Non-compliance Risk,المخاطر القانونية ومخاطر عدم الالتزام,المخاطر المتعلقة بالآثار القانونية والتنظيمية الناشئة عن الأنشطة التشغيلية للمؤسسة وتعاملاتها مع أصحاب المصلحة فيها، بما في ذلك احتمالية حدوث نتيجة سلبية للخلافات القانونية أو صعوبات تعاقدية والتداعيات المترتبة على الإخفاق في الالتزام بالمتطلبات القانونية والرقابية التي تخضع لها المؤسسة.
Legal capital,رأس مال قانوني,رأس المال المصرح للشركة أن تصدره استنادا للقانون الذي تأسست بموجبه
"Legal Person , Institutions",شخص إعتبارى او معنوى,شخص إعتبارى او معنوى
Legal reserve,الاحتياطي القانوني (أو الإلزامي),احتياطي يفرضه أو يقتضيه القانون. وبموجب القانون يتوجب على شركة التأمين على الحياة أن تحتفظ بنسبة معينة من أموالها كإحتياطي قانوني لمواجهة المطالبات التي يخدمها العملاء في المستقبل، وكذلك المصارف يطلب منها الاحتفاظ بنسبة معينة من الأموال المودعة لديها كإحتياطي قانوني بدلاً من اقراضها للعملاء
Legal risk,المخاطر القانونية,هى مخاطر الخسارة التى قد تنجم عن القضايا التى يرفعها شخص أو أكثر على الشركة والتى قد تلحق غرامات ، أو خسائر ، أو أى تسويات خارج المحكمة وبالتالى تجلب عواقب وخيمة على سمعة الشركة
Lender,المقرض، المسلف,هو الشخص أو الشركة التي تقدم الأموال إلى المقترضين على أمل إعادتها مقابل فائدة في العادة. ينشئ المقرضون مديونية على شكل قروض، وفي حالة التصفية يتم تسديدهم قبل استلام المساهمين لحصصهم
Letter of Allotment,إشعار تخصيص,هو البيان الذى تتضمنه الرسالة التى يتلقاها المستثمر من الشركة المصدرة مظهرا عدد الأسهم التي تم تخصيصها له
Leveraged Buyout,الاستحواذ باستخدام الرافعة المالية,هو الاستحواذ على شركة أخرى باستخدام كمية كبيرة من الأموال المقترضة للوفاء بتكلفة الاستحواذ. وكثيراً ما تُستخدم أصول الشركة المستحوذ عليها كضمانات للقروض. والغرض من هذا النوع من عمليات الاستحواذ هو السماح للشركات بإجراء عمليات استحواذ كبيرة دون الاضطرار إلى الإلتزام بضخ رؤوس أموال كثيرة.
Liabilities,التزامات، مطلوبات,المبالغ التي تدين بها منشأة إلى دائنيها ومالكيها
Liabilities,الخصوم,هي إجمالي الديون والإلتزامات المالية المستحقة على الأعمال التجارية للأفراد والشركات في أي فترة زمنية محددة. يتم إدراج إجمالي الخصوم في الميزانية العمومية للشركة وهي جزء من معادلة المحاسبة العامة: الأصول = الخصوم + حقوق الملكية.
Liabilities (Takāful),المطلوبات (التكافل),الالتزامات المالية لكل من صندوق المساهمين وصناديق مخاطر المشاركين وصناديق استثمارات المشاركين.
Libor,سعر الفائدة,سعر الفائدة  الذي يتم به أقراض بنك لآخر يتمتع بملائة مالية، وفى الوقت نفسه هو صفة عامة سعر الفائدة المتداول والذى يمكن تثبيته خلال أى فترة زمنية
License,"(1) إجازة، رخصة، تصريح، إذن
(2) يجيز، يرخص، بصرح بـ، يأذن","(1) تصريح رسمي مكتوب من سلطة مجازة قانوناً لإنجاز العمل الذي بدون ذلك التصريح يكون غير قانوني
(2) فعل منح التصاريح"
Licensed Person,الشخص المرخص له,شخص طبيعى أو اعتبارى حاصل على ترخيص من الهيئة لممارسة نشاط من أنشطة الأوراق المالية
Licensee,المرخص له,صاحب رخصة بممارسة عمل
Limit order,أمر محدد,أمر يصدر إلى السمسار (الوسيط) في السوق المالية من قبل العميل يحدد له أعلى سعر limit order يشتري به وأدنى سعر يبيع به exercise price لإتمام عملية معينة والذي عادة ينتهي مفعوله في نهاية اليوم
Limited company,شركة محدودة,في كندا أو إنكلترا ترد بمعنى شركة محدودة المسؤولية مشابهة للشركة التي تسمى في أمريكا باسم corporation، وفي أمريكا ترد أيضا لتعني شركة خاصة محدودة
Limited liability,مسؤولية محدودة,مسؤولية المساهمين في شركة أو مصرف عن ديون الشركة التي تقتصر على المبلغ الذي يوظفه المساهم أو يستثمره في الشركة قانوناً
limited offers,عروض محدوده,عروض محدوده، وهى التي يوجه فيها المشترى عرضه لمجموعة من المساهمين (وليس لكاملهم )
Line Chart,رسم بياني خطي,هو نوع من أنواع الرسوم البيانية ويقوم فقط برسم أسعار الإغلاق عن طريق وضع نقطة لكل سعر إغلاق جديد ثم يقوم بتوصيل هذه النقاط. (الإغلاق من الممكن أن يكون ليوم أو لأسبوع أو لشهر أو على حسب الفترة زمنية مستخدمة).
Liquid securities,أوراق مالية سهلة التسييل,أوراق مالية سهلة التسييل
Liquidate,يصفي / يسيل,"(1) يحل شركة ويبيع أصولها والتزاماتها، وتخصص مبالغ الأصول لتسديد الديون والالتزامات المستحقة عليها
(2) يحول الأصول أو الموجودات إلى نقد كما يحدث في بيع الأسهم والسندات والاستثمارات الأخرى"
Liquidation,تصفية الشركة,هي العملية التي يتم فيها انهاء حياة شركة وتصفيتها ، حيث يتم فيها التالي : بيع الأصول — يتم دفع الالتزامات والأسهم ذات الأفضلية لأصحابها — ثم ما تبقى من رصيد عن الأصول يتم دفعه لأصحاب الأسهم العادية
Liquidation value,قيمة التصفية,القيمة المتبقية لدى المصفي بعد بيع وتسييل كافة موجودات الشركة المصفاة ودفع كافة ديونها وإلتزاماتها للغير
"Liquidation, compulsory",تصفية إجبارية,تصفية لمنشأة أو شركة قائمة تتم بموجب القانون أو بموجب حكم قضائي صادر من محكمة لسبب أو أسباب معينة مثل إشهار الإفلاس أو لعدم إمكانية مزاولة النشاط
"Liquidation, voluntary",تصفية اختيارية,تصفية تتم باتفاق إرادي لأعضاء الشركة لعدم استمرارية رغبتهم في الشركة
Liquidator,المصفى,هو الشخص الذى يتم تعيينه لتصفية الشركة وتحويل أصولها إلى نقدية (تسييل الأصول) وتوزيع القيمة على المستثمرين طبقا لآولويات قانونية محددة تبدأ بالدائنين وتنتهى بأصحاب الأسهم العادية
Liquidity,السيولة,هى مقدار النقد والأصول التي يمكن تحويلها إلى نقد (دون تكلفة) والمتوافرة لدى المنشأة الاقتصادية لمواجهة جميع التزاماتها التعاقدية
Liquidity ratios,نسب السيولة,قابلية الاستثمار في التحول إلى نقد، تشير هذه النسب إلى المدى الذي يمكن للموجودات المتداولة أن تغطي أو تفي بالمطلوبات المتداولة
Liquidity Risk,مخاطر السيولة,مخاطر تعرض المؤسسة لخسارة محتملة تنشأ عن عدم قدرتها على الوفاء بالتزاماتها أو تمويل الزيادة في الموجودات عند استحقاقها دون أن تتكبد تكاليف أو خسائر غير مقبولة.
Listed,مدرج (مسجل، مقيد) في قائمة معتمدة,في تجارة الأسهم تعني أسهما مقيدة في سجل الأسهم المالية المقبولة للبيع والشراء في البورصة بعد توفر كافة الشروط الطلوبة، وفي تجارة العقارات تعني العقارالمسجل لدى وكيل معين لبيعه أو تأجيره
Listed company,شركة مقيدة أو مدرجة,شركة مقيدة أو مدرجة يتم التداول علي اسهمها بالبورصة بالبيع و الشراء
Listed securities,الأوراق المالية المدرجة في البورصة,المقصود بها الأسهم العادية المتداولة في البورصة العادية. إن اغلب البورصات في العالم لديها شروط لغرض قبول التداول بأسهم فيها وإدراجها في قائمتها، منها ما يتعلق بعدد المساهمين وعدد الأسهم ومجموع رأسمال الشركة وما شابه ذلك
Listed Shares,الأسهم المدرجة,هي أسهم الشركات المستوفية لشروط الإدراج في بورصة الأوراق المالية والتي يتوجب على كافة الشركات الالتزام بها لتتاح لها فرصة قيدها أو إدراجها في البورصة
Listed stock,الأسهم المدرجة  في البورصة,أسهم يجري التداول العادي بها في إحدى البورصات
Listing,إدراج في البورصة,(1) إدراج في البورصة: تسجيل أسهم شركة في سوق الأوراق المالية (البورصة) بعد توفر الشروط المطلوبة فيها  (2) (أ) عقد يين مالك عقار وسمسار العقارات يخول فيه الأخير أن يبحث عن مشتر أو مؤجر. (ب) السجل الذي تسجل فيه العقارات المخول ببيعها لدى سمسار العقارات (ج) العقارات المطلوب بيعها المسجلة في سجل العقارات لدى السمسار(3) أية مخرجات مطبوعة من الحاسوب
Listing rules,قواعد الادراج,قواعد الادراج هي المتطلبات التي يجب أن تلتزم بها الشركة
Litigation,دعوى قضائية,دعوى قضائية
Loan,قرض أو إعارة / يقرض أو يعير,قرض أو إعارة / يقرض أو يعير
Long-term Investments,الاستثمار طويل الأجل في أسواق المال,هو شراء أوراق مالية والاحتفاظ بها لآجال طويلة نسبياً بهدف الحصول على توزيعات الأرباح السنوية كمصدر دخل دائم يتسم بالأمان دون الأخذ في الاعتبار التقلبات في أسعار الأوراق المالية.
Loss,خسارة,(1) زيادة المصاريف عن الإيرادات ينجم عن ذلك صافي خسارة (2) النقصان في صافي قيمة الأصول التي لا يتم الحصول على إيرادات منها والذي يحصل من معاملات أو أحداث طارئة
Loss carried forward,خسارة مرحلة للفترات القادمة,عملية إطفاء صافي خسارة السنة الحالية بصافي أرباح السنوات القادمة لأغراض ضريبة الدخل (10 - 15 سنة) على أفتراض أته لم يسمح باطفائها بصافي أرباح السنوات السابقة كلاً أو جزءاً
Loss carryback (in tax),خسارة منقولة للفترات السابقة,عملية إطفاء صافي خسارة السنة الحالية بصافي أرباح السنوات السابقة (3 - 5 سنة) لأغراض ضريبة الدخل
Loss contingency,احتمال الخسارة,عملية تأجيل خسارة مستقبلية قد تنجم من حدث أو واقعة معينة (مثل خسارة تنجم عن دعوى قضائية). إن مثل هذه الخسائر المحتملة يجب أن يحتاط لها في السجلات المحاسبية بعمل تخصيص لقاءها بتحميل مبلغها لحساب الخسائر مديناً أو دائناً لحساب الالتزامات المقدرة.  إضافة لذلك يجب ادراج ملاحظة عن طبيعة هذه الخسائر المحتملة في البيانات المالية
Low Price,أدنى سعر للسهم,هو أدنى سعر وصل إليه السهم خلال فترة آو فترات تداول معينة قد تكون يوما أو شهرا أو سنة
Macroeconomic Data/Information,المعلومات الاقتصادية الكلية,هي تلك البيانات والمعلومات التي تهدف إلى تتبع حركة المتغيرات الاقتصادية الكلية عبرالوقت، مثل الناتج المحلي الإجمالي وحجم الاستثمار الكلي والإنفاق الاستهلاكي النهائي الخاص والحكومي وعرض النقد وأسعار الفائدة ومعدلات التضخم في الأسعار والقيمة المضافة التي ساهم بها كل قطاع اقتصادي في الناتج المحلي الإجمالي ومعدل البطالة، وذلك بهدف معرفة حالة الاقتصاد ككل ما بين الانتعاش والركود. وقد يمتد التعريف أيضأ ليشمل المعلومات والبيانات المتعلقة بالاقتصاد العالمي، والأحداث السياسية المحلية والإقليمية والدولية.
Majority interest,مساهمى الأغلبية,مساهمى الأغلبية
Mandatory Acquisition Offer,عرض الاستحواذ الإلزامي,المحاولة أو الطلب لتملك جميع الأسهم المتبقية في الشركة محل العرض، والتي يلتزم مقدم العرض بأن يقدم طلب شرائها من جميع حملة الأسهم الآخرين في تلك الشركة، نتيجة حيازة مقدم العرض والأطراف التابعة له والمتحالفة معه لنسبة تزيد على 30% من الأوراق المالية المتداولة لشركة مساهمة مدرجة
Mandatory tender offer,عرض شراء إجبارى(أو إلزامى),عرض شراء إجبارى(أو إلزامى)
Manipulate,"(1) يعالج 
(2) يتلاعب 
(3) يضارب في السوق بأساليب خداعية","(1) يعالج 
(2) يستخدم البيانات في قاعدة المعلومات لخلق معلومات جديدة لم تكن موجودة بصورة مباشرة في قاعدة المعلومات.
(3) يضارب في السوق بأساليب خداعية"
Manipulation,"(1)معالجة 
(2) تلاعب
(3)مناورة (مضاربة) في السوق بأساليب خداعية","(1)معالجة 
(2) تلاعب
(3)مناورة (مضاربة) في السوق بأساليب خداعية"
Manipulation of accounts,تلاعب في الحسابات,تلاعب في الحسابات
Manipulator,"(1) متلاعب
(2) مضارب في الأوراق المالية باستخدام أساليب خداعية","(1) متلاعب
(2) مضارب في الأوراق المالية باستخدام أساليب خداعية"
Margin,"(1) حد
(2) هامش ربح  
(3) تأمين نقدي 
(4) مقدار مسموح به او مقبول
(5) النقطة التي تتساوى عندها المنفعة (المكسب) العائدة للمصنع من إنتاج وحدة إضافية واحدة مع تكاليف إنتاج هذه الوحدة (اقتصاد)
(6) احتياطي (من المال أو الوقت)
(7) مقدار الفرق أو درجته 
(8) هام","(1) حد
(2) هامش ربح  
(3) تأمين نقدي 
(4) مقدار مسموح به او مقبول
(5) النقطة التي تتساوى عندها المنفعة (المكسب) العائدة للمصنع من إنتاج وحدة إضافية واحدة مع تكاليف إنتاج هذه الوحدة (اقتصاد)
(6) احتياطي (من المال أو الوقت)
(7) مقدار الفرق أو درجته 
(8) هامش، حاشية 
(9) يهمش، يجعل له هامشا أو حاشية 
(10) يحتفظ به العميل كمبلغ احتياطي لشراء صفقات أو تسديد التزامات تنشأ من التعامل بالخيارات أو المعاملات المستقبلية."
Margin accounts,"(1) حسابات هامشية
(2) حسابات تسجل فيها استثمارات مالية مشتراة بأموال مقترضة من مكاتب شركات الوساطة و تخضع لأنظمة و تعليمات وضعتها جهات مختصة مخولة.","(1) حسابات تحتوي على أصول شبه سائلة تودع في المصارف كضمانات للتسهيلات و القروض التي يتم الحصول عليها.
(2) حسابات تسجل فيها استثمارات مالية مشتراة بأموال مقترضة من مكاتب شركات الوساطة و تخضع لأنظمة و تعليمات وضعتها جهات مختصة مخولة."
Margin analysis,تحليل حدي,تحليل حدي
Margin call,طلب أحد الأطراف في العملية لهامش التغير على أن يتحول إلى آخر,طلب أحد الأطراف في العملية لهامش التغير على أن يتحول إلى آخر
Margin of safety (MOS) (MS),حد الأمان,"الفرق بين مستوى المبيعات الفعلي و مبيعات نقطة التعادل، و يحسب على النحو التالي:
 حد الأمان=  (المبيعات - مبيعات نقطة التعادل) \ المبيعات"
"Margin, gross",هامش ربح إجمالي,هامش ربح إجمالي
Marginal,"(1) هامشي
(2) حدي","(1) هامشي
(2) حدي"
Marginal cost,التكلفة الحدية,زيادة التكلفة نتيجة زيادة حجم الإنتاج.
Marginal cost (MC),التغير الكلي في تكلفة الشركة الذي ينتج عنه انتاج وحدة إضافية من المخرجات,التغير الكلي في تكلفة الشركة الذي ينتج عنه انتاج وحدة إضافية من المخرجات
Margined value,القيمة الهامشية,القيمة الهامشية للأوراق المالية فى حساب لرتبط والتى تعد مساوية لقيمة الأوراق المالية المنددة بناء على سعر مرجعى، أقل من الهامش المحدد من قبل البنك المدفوعات المختص بهذه الأوراق المالية
Mark to market,اصطلاح يستخدم في سوق العقود المستقبلية مبيناً التعديلات اليومية التي تطرأ على الحساب والتي تعكس تحديثاً للأرباح أو الخسائر المجمعة تحديداً,اصطلاح يستخدم في سوق العقود المستقبلية مبيناً التعديلات اليومية التي تطرأ على الحساب والتي تعكس تحديثاً للأرباح أو الخسائر المجمعة تحديداً
Market,السوق,الاسم العام الجامع لأي كيان أو منظمة أو مكان يتم فيه تداول الأوراق المالية، بالتالى فكل البورصات يطلق عليها لفظ سوق
Market abuse,التلاعب بالسوق,حددت سلطة الخدمات المالية فى المملكة المتحدة مخالفات السوق بموجب منظومة الانفاذ 2000 FSMA والتي تطبق على الأسواق المالية فى المملكة المتحدة وتتحدد مخالفات السوق بثلاث دارسات ; التلاعب فى المعلومات ، والتغرير بالمستثمرين، والاحتكار والمضاربة، وقد وضعت هيئة الأوراق المالية والسلع منظومة من التشريعات واجبة النفاذ على كافة مخالفات السوق وأيضا الممارسات المصافية لقوانين وانظمة الهيئة. تهدف هذه المنظومة إلى حماية المستثمرين وضمان نزاهة الأسواق
Market access,الوصول إلى السوق,مجالات (أو منافذ) تتيحها السوق الوطنية أمام البضائع الأجنبية للقدوم و البيع فيها على نحو ينافس البضائع الوطنية المماثلة، و هذه السوق عبارة عن ظاهرة تمثل رغبة الحكومة في السماح بالواردات و منافسة البضائع الوطنية بدون عقبات لأسباب اقتصادية.
Market analysis,تحليل السوق,تجميع و معالجة البيانات الخاصة بحاجات المستهلك على نحو منتظم لأغراض إنتاج السلع أو الخدمات التي تلبي تلك الحاجات و تطوير استراتيجيات السوق لتقليل آثار المنتجات المنافسة على جمهور المستهلكين.
Market appraisal,تقييم السوق، تقييم الوضع التجاري,تقييم السوق، تقييم الوضع التجاري
