
%'d / %'d,%'d / %'d,%'d / %'d,%'d / %'d
%'dnd link to %s,,,الوصلة %I'd إلى %s
%'drd link to %s,,,الوصلة %I'd إلى %s
%'dst link to %s,,,الوصلة %I'd إلى %s
%'dth link to %s,,,الوصلة %I'd إلى %s
%-e %b,,,%-e %B
%-e %b %H:%M,,,%-e %B %H:%M
%-e %b %Y,%-e %b %Y,%-e. %b %Y,%-e %B %Y
%-e %b %Y %H:%M,,,%-e %B %Y %H:%M
%-e %b %Y %l:%M %p,,,%-e %B %Y %l:%M %p
%-e %b %l:%M %p,,,%-e %B %l:%M %p
%H:%M,,,%OH:%OM
%a,,,%A
%a %H:%M,,,%A %H:%M
%a %l:%M %p,,,%A %l:%M %p
%c,,,%-e %B %Y %-l:%M %p
%d MB,,,%d م.ب
%f N / %f W (%.0f m),,,%f ش / %f ج (%.0f م)
%l:%M %p,,,%l:%M %p
"%s %s, %s %s",,,%s %s، %s %s
%s (%'dnd copy)%s,,,%s (نسخة %I'd)%s
%s (%'drd copy)%s,,,%s (نسخة %I'd)%s
%s (%'dst copy)%s,,,%s (نسخة %I'd)%s
%s (%'dth copy)%s,,,%s (نسخة %I'd)%s
%s (%s),%s (%s),%s (%s),%s (%s)
%s (another copy)%s,,,%s (نسخة أخرى)%s
%s (copy)%s,,,%s (نسخة)%s
%s / %s,%s / %s,%s / %s,%s / %s
%s Properties,,,خصائص %s
%s Visible Columns,,,‏%s أعمدة مرئية
%s document,,,مستند ‏%s
%s more space is required to copy to the destination.,%s d’espace supplémentaire est requis pour copier vers la destination.,"%s zusätzlicher Platz ist nötig, um zum Zielort zu kopieren.",النسخ إلى الوجهة المطلوبة يحتاج مساحة إضافية %s.
"Sorry, but you cannot execute commands from a remote site.","Désolé, mais vous ne pouvez pas exécuter des commandes à partir d’un site distant.",Leider dürfen Sie keine Befehle von einer entfernten Gegenstelle aus ausführen.,عفوا، لا يمكنك تنفيذ أوامر من موقع عن بعد.
"Sorry, could not change the group of “%s”: %s","Désolé, impossible de changer le groupe de « %s » : %s",Leider konnte die Gruppe von »%s« nicht geändert werden: %s,عفوا، تعذّر تغيير مجموعة ”%s“:‏ %s
"Sorry, could not change the owner of “%s”: %s","Désolé, impossible de changer le propriétaire de « %s » : %s",Leider konnte der Besitzer von »%s« nicht geändert werden: %s,عفوا، تعذّر تغيير مالك ”%s“:‏ %s
"Sorry, could not change the permissions of “%s”: %s","Désolé, impossible de changer les permissions de « %s » : %s",Leider konnten die Zugriffsrechte von »%s« nicht geändert werden: %s,عفوا، تعذّر تغيير تصاريح ”%s“:‏ %s
"Sorry, could not display all the contents of “%s”: %s","Désolé, impossible d’afficher tout le contenu de « %s » : %s",Leider konnte nicht der gesamte Inhalt von »%s« angezeigt werden: %s,عفوا، تعذّر عرض كل محتويات ”%s“:‏ %s
"Sorry, could not rename “%s” to “%s”: %s","Désolé, impossible de renommer « %s » en « %s » : %s",Leider konnte »%s« nicht in »%s« umbenannt werden: %s,عفوا، تعذّر تغيير اسم ”%s“ إلى ”%s“:‏ %s
Sort,Trier,Sortieren,رتّب
Sort folders before files,,,رتّب المجلدات قبل الملفات
Specified group “%s” doesn’t exist,Le groupe indiqué « %s » n’existe pas,Die angegebene Gruppe »%s« existiert nicht,المجموعة المحددة ”%s“ غير موجودة
Specified owner “%s” doesn’t exist,Le propriétaire indiqué « %s » n’existe pas,Der angegebene Besitzer »%s« existiert nicht,المالك المحدد ”%s“ غير موجود
"Speed trade-off for when to show a file as a thumbnail. If set to “always” then always thumbnail, even if the folder is on a remote server. If set to “local-only” then only show thumbnails for local file systems. If set to “never” then never bother to thumbnail files, just use a generic icon. Despite what the name may suggest, this applies to any previewable file type.","Compromis de rapidité pour l’affichage d’un fichier image sous forme de vignette. Défini à « always », la miniature est toujours affichée, même si le dossier est sur un serveur distant. Défini à « local-only », les miniatures ne sont affichées que pour les systèmes de fichiers locaux. Défini à « never », le système ne se soucie pas de l’affichage, seule une icône générique est utilisée. Malgré le nom utilisé, cela s’applique à tous les types de fichiers pour lesquels une miniature peut être créée.","Ein Geschwindigkeits-Kompromiss, wann die Anzahl der Objekte in einem Ordner angezeigt werden soll. Zulässige Werte: »always« (immer anzeigen, selbst wenn er sich auf einem entfernten Server befindet), »localonly« (nur anzeigen, falls er sich auf einem lokalen Dateisystem befindet) sowie »never« (keinesfalls anzeigen, nur ein generisches Symbol). Ungeachtet dessen, was der Name vermuten lässt, gilt dies für alle vorschaufähigen Dateitypen.","عند عرض ملف كمُصغّرة. إذا ضبط ل‍ ""always"" فستعرض مُصغّرة دائما حتى و إن كان المجلد عند خادوم عن بعد. إذا ضبط ل‍ ""local-only"" فلن تعرض مُصغّرات إلا على نظم الملفات المحلية أما إذا ضبط ل‍ ""never"" فلن تُعرض مُصغّرات أبد، استخدم فقط أيقونة عامة."
"Speed tradeoff for when to show the number of items in a folder. If set to “always” then always show item counts, even if the folder is on a remote server. If set to “local-only” then only show counts for local file systems. If set to “never” then never bother to compute item counts.","Compromis de rapidité pour l’affichage du nombre d’éléments dans un dossier. Défini à « always » (toujours), le nombre d’éléments est toujours affiché, même si le dossier est sur un serveur distant. Défini à « local-only » (seulement en local), le nombre d’éléments n’est affiché que pour les systèmes de fichiers locaux. Défini à « never » (jamais), le système ne se soucie pas de compter les éléments.","Ein Geschwindigkeits-Kompromiss, wann die Anzahl der Objekte in einem Ordner angezeigt werden soll. Zulässige Werte: »always« (immer anzeigen, selbst wenn er sich auf einem entfernten Server befindet), »localonly« (nur anzeigen, falls er sich auf einem lokalen Dateisystem befindet) sowie »never« (keinesfalls anzeigen).","عند عرض عدد العناصر في مجلد. إذا ضبط ل‍ ""always"" فسيعرض دائما تعداد العناصر حتى و أن كان المجلد عند خادوم عن بعد. إذا ضبط ل‍ ""local-only"" فلن يظهر التعداد إلا لنظم الملفات المحلية أما إذا ضبط ل‍ ""never"" فلن يحسب تعداد العناصر أبدا."
Spreadsheet,Feuille de calcul,Tabellendokument,أوراق عمل ممتدة
Stop,Arrêter,Anhalten,أوقِف
Standard,,,قياسي
Star,Favori,Favorit,ضع نجمة
Starred,Favoris,Favoriten,عليه نجمة
Starred files will appear here,,,ستظهر الملفات ذات النجمة هنا
Stop Drive,Arrêter le volume,Laufwerk anhalten,أوقف السواقة
Super Video CD,,,اسطوانة فديو فائقة
Symbolic links only supported for local files,Les liens symboliques ne sont pris en charge que pour des fichiers locaux,Symbolische Verknüpfungen sind ausschließlich auf lokalen Dateisystemen unterstützt,الوصلات الرمزية مدعومة في أنظمة الملفات المحلية فقط
Tabs,Onglets,Reiter,الألسنة
Tags,,,الوسوم
Text,Texte,Text,النّص
Text Ellipsis Limit,,,حدودية أقواس النص
Text File,Fichier texte,Textdatei,ملف نصي
The date the file was accessed by the user.,La date à laquelle l’utilisateur a accédé au fichier.,Das Datum des letzten Dateizugriffs.,تاريخ آخر وصول من المستخدم إلى الملف.
The date the file was accessed.,La date à laquelle on a accédé au fichier.,Das Datum des letzten Dateizugriffs.,تاريخ آخر وصول إلى الملف.
The date the file was modified.,La date à laquelle le fichier a été modifié.,Das Datum der letzten Dateiänderung.,تاريخ آخر تعديل الملف.
"The default sort-order for items in the icon view. Possible values are “name”, “size”, “type” and “mtime”.",,,"الترتيب المبدئي للعناصر في منظور أيقونات. القيم الممكنة هي ""name"" (الاسم) و ""size"" (الحجم) و ""type"" (النوع) و ""mtime"" (تاريخ التعديل)."
The default width of the side pane in new windows.,,,العرض المبدئي للوح الجانبي في النوافذ الجديدة.
The destination folder is inside the source folder.,Le dossier de destination se trouve à l’intérieur du dossier source.,Der Zielordner befindet sich im Quellordner.,المجلد الوِجهة داخل المجلد المصدر.
The destination is not a folder.,La destination n’est pas un dossier.,Das Ziel ist kein Ordner.,الوجهة ليست مجلدا.
The destination is read-only.,La destination est en lecture seule.,Das Ziel ist schreibgeschützt.,الوِجهة للقراءة فقط.
The detailed type of the file.,Le type détaillé du fichier.,Der detaillierte Typ der Datei.,النوع التفصيلي للملف.
The file is of an unknown type,Le type du fichier est inconnu,Die Datei hat einen unbekannten Dateityp,نوع الملف غير معروف
The file that you dropped is not an image.,Le fichier que vous avez sélectionné n’est pas une image.,Die abgelegte Datei ist kein Bild.,الملف الذي أفلته ليس صورة.
The file that you dropped is not local.,Le fichier que vous avez déposé ne se trouve pas sur cet ordinateur.,Die abgelegte Datei ist nicht lokal.,الملف الذي أفلته ليس محليا.
The file “%s” cannot be handled because you do not have permissions to read it.,Impossible de traiter le fichier « %s » car vous n’avez pas la permission de le lire.,"Auf die Datei »%s« kann nicht zugegriffen werden, weil Sie nicht die nötigen Lesezugriffsrechte besitzen.",تعذّر التعامل مع الملف ”%s“ لأنك لا تملك التصاريح الكافية لقراءته.
The folder “%s” cannot be copied because you do not have permissions to create it in the destination.,Impossible de copier le dossier « %s » car vous n’avez pas la permission de le créer dans la destination.,"Der Ordner »%s« kann nicht kopiert werden, weil Sie nicht die nötigen Rechte besitzen, um den Ordner im Zielort zu erstellen.",تعذّر نسخ المجلد ”%s“ لأنك لا تملك التصاريح الكافية لإنشائه في الوجهة المقصودة.
The folder “%s” cannot be copied because you do not have permissions to read it.,Impossible de copier le dossier « %s » car vous n’avez pas la permission de le lire.,"Der Ordner »%s« kann nicht kopiert werden, weil Sie nicht die nötigen Lesezugriffsrechte besitzen.",تعذّر نسخ المجلد ”%s“ لأنك لا تملك التصاريح الكافية لقراءته.
The folder “%s” cannot be handled because you do not have permissions to read it.,Impossible de traiter le dossier « %s » car vous n’avez pas la permission de le lire.,"Auf den Ordner »%s« kann nicht zugegriffen werden, weil Sie nicht die nötigen Lesezugriffsrechte besitzen.",تعذّر التعامل مع المجلد ”%s“ لأنك لا تملك التصاريح الكافية لقراءته.
The group could not be changed.,Impossible de changer le groupe.,Die Gruppe konnte nicht festgelegt werden.,تعذّر تغيير هذه المجموعة.
The group of the file.,Le groupe du fichier.,Die Dateigruppe.,مجموعة الملف.
The item cannot be restored from trash,Impossible de restaurer l’élément depuis la corbeille,Das Objekt kann aus dem Papierkorb nicht wiederhergestellt werden,تعذّر نقل العنصر إلى المهملات
The item could not be renamed.,Impossible de renommer l’élément.,Das Objekt konnte nicht umbenannt werden.,تعذّر تغيير اسم العنصر.
The link “%s” is broken.,Le lien « %s » est rompu.,Die Verknüpfung »%s« ist fehlerhaft.,الوصلة ”%s“ معطوبة.
The link “%s” is broken. Move it to Trash?,Le lien « %s » est cassé. Voulez-vous le mettre à la corbeille ?,Die Verknüpfung »%s« ist fehlerhaft. Soll sie in den Papierkorb verschoben werden?,الوصلة ”%s“ معطوبة. هل تريد نقلها للمهملات؟
The location of the file.,,,مكان الملف.
The name and icon of the file.,Le nom et l’icône du fichier.,Name und Symbol der Datei.,اسم و أيقونة الملف.
The name “%s” is already used in this location. Please use a different name.,Le nom « %s » est déjà utilisé dans cet emplacement. Veuillez utiliser un nom différent.,Der Name »%s« wird an diesem Ort bereits verwendet. Bitte wählen Sie einen anderen Namen.,الاسم ”%s“ مستخدم في هذا المكان حاليا. فضلا استخدم اسما آخر.
The name “%s” is not valid because it contains the character “/”. Please use a different name.,,,الاسم ”%s“ غير صالح لاحتوائه الرمز ”/“. رجاء استخدم اسما آخر.
The name “%s” is not valid. Please use a different name.,Le nom « %s » n’est pas valide. Veuillez utiliser un nom différent.,Der Name »%s« ist nicht gültig. Bitte wählen Sie einen anderen Namen.,الاسم ”%s“ غير صالح. رجاء استخدم اسما آخر.
The name “%s” is too long. Please use a different name.,Le nom « %s » est trop long. Veuillez utiliser un nom différent.,Der Name »%s« ist zu lang. Bitte wählen Sie einen anderen Namen.,الاسم ”%s“ طويل جدا. رجاء استخدم اسما آخر.
The owner could not be changed.,Impossible de changer le propriétaire.,Der Besitzer konnte nicht festgelegt werden.,تعذّر تغيير المالك.
The owner of the file.,Le propriétaire du fichier.,Der Dateibesitzer.,مالك الملف.
The permissions could not be changed.,Impossible de changer les permissions.,Die Zugriffsrechte konnten nicht festgelegt werden.,تعذّر تغيير التصاريح.
The permissions of the file.,Les permissions du fichier.,Die Zugriffsrechte auf die Datei.,تصاريح الملف.
The permissions of the selected file could not be determined.,,,تعذّر تحديد تصاريح الملف المختار.
The permissions of “%s” could not be determined.,Les permissions de « %s » ne peuvent pas être déterminées.,Die Zugriffsrechte von »%s« konnten nicht ermittelt werden.,تعذّر تحديد تصاريح ”%s“.
The selection rectangle,,,مستطيل الاختيار
The size of the file.,La taille du fichier.,Die Dateigröße.,حجم الملف.
The source file would be overwritten by the destination.,Le fichier source serait écrasé par la destination.,Die Quelldatei würde durch das Ziel überschrieben werden.,سيطمس الملف الهدف الملف المصدر.
The target doesn’t support symbolic links.,La cible ne prend pas en charge les liens symboliques.,Dieses Ablegeziel unterstützt keine symbolischen Verknüpfungen.,الوِجهة لا تدعم الوصلات الرمزية.
The type of the file.,Le type du fichier.,Der Dateityp.,نوع الملف.
There is no application installed for “%s” files,,,لا يوجد تطبيق مثبت لملفات ”%s“
"There is no application installed for “%s” files.
Do you want to search for an application to open this file?",,,"لا يوجد تطبيق مثبت لملفات ”%s“.
أترغب بالبحث عن تطبيق يفتح هذا الملف؟"
There is no “%s” in this location. Perhaps it was just moved or deleted?,Il n’y a pas de « %s » dans cet emplacement. Peut-être vient-il juste d’être déplacé ou supprimé ?,Es gibt kein »%s« an diesem Ort. Möglicherweise wurde es gerade verschoben oder gelöscht?,‏”%s“ غير موجود في هذا المكان. رُبّما نقل أو حذف؟
There is not enough space on the destination. Try to remove files to make space.,La destination n’a plus assez d’espace libre. Essayez de supprimer des fichiers pour libérer de l’espace.,"Am Ziel ist nicht genügend freier Platz. Löschen Sie einige Dateien, um Platz zu schaffen.",لا توجد مساحة كافية في الوجهة. حاول إزالة ملفات لإفراغ مساحة.
There was an error copying the file into %s.,Erreur lors de la copie du fichier dans %s.,Beim Kopieren der Datei nach %s ist ein Fehler aufgetreten.,حدث خطأ أثناء نسخ الملف إلى %s.
There was an error creating the directory in %s.,Erreur lors de la création du répertoire dans %s.,Beim Erstellen des Ordners in »%s« ist ein Fehler aufgetreten.,حدث خطأ عند إنشاء المجلد في %s.
There was an error creating the folder “%s”.,Une erreur s’est produite lors de la création du dossier « %s ».,Beim Erstellen des Ordners »%s« ist ein Fehler aufgetreten.,حدث خطأ أثناء إنشاء المجلد ”%s“.
There was an error creating the symlink in %s.,Erreur lors de la création du lien symbolique dans %s.,Beim Erstellen der symbolischen Verknüpfung in »%s« ist ein Fehler aufgetreten.,حدث خطأ عند إنشاء الوصلة الرمزية في %s.
There was an error deleting the file “%s”.,Une erreur s’est produite lors de la suppression du fichier « %s ».,Beim Löschen der Datei »%s« ist ein Fehler aufgetreten.,حدث خطأ أثناء حذف الملف ”%s“.
There was an error deleting the folder “%s”.,Une erreur s’est produite lors de la suppression du dossier « %s ».,Beim Löschen des Ordners »%s« ist ein Fehler aufgetreten.,حدث خطأ أثناء حذف المجلد ”%s“.
"There was an error displaying help: 
%s",,,"حدث خطأ عند عرض المساعدة: 
%s"
There was an error getting information about the destination.,Erreur lors de l’obtention d’informations concernant la destination.,Es ist ein Fehler beim Einlesen der Informationen über das Ziel aufgetreten.,حدث خطأ في جلب معلومات عن الوجهة.
There was an error getting information about the files in the folder “%s”.,Une erreur est survenue lors de l’obtention des informations concernant les fichiers dans le dossier « %s ».,Es ist ein Fehler beim Einlesen von Informationen über die Dateien im Ordner »%s« aufgetreten.,حدث خطأ في الحصول على معلومات حول الملفات في المجلد ”%s“.
There was an error getting information about “%s”.,Erreur lors de l’obtention d’informations concernant « %s ».,Es ist ein Fehler beim Einlesen der Informationen über »%s« aufgetreten.,حدث خطأ أثناء جلب معلومات عن ”%s“.
There was an error launching the application.,,,حدث خطأ عند بدء التطبيق.
There was an error moving the file into %s.,Erreur lors du déplacement du fichier dans %s.,Beim Verschieben der Datei nach %s ist ein Fehler aufgetreten.,حدث خطأ عند نقل الملف إلى %s.
There was an error reading the folder “%s”.,Une erreur s’est produite lors de la lecture du dossier « %s ».,Beim Lesen des Ordners »%s« ist ein Fehler aufgetreten.,حدث خطأ أثناء قراءة المجلد ”%s“.
There was an error while compressing files.,Une erreur est survenue lors de la compression des fichiers.,Fehler beim Komprimieren der Dateien.,حدث خطأ أثناء ضغط الملفات.
There was an error while extracting “%s”.,Une erreur s’est produite lors de l’extraction du fichier « %s ».,Beim Entpacken der Datei »%s« ist ein Fehler aufgetreten.,حدث خطأ أثناء استخراج المجلد ”%s“.
There was an internal error trying to search for applications:,,,حدث خطأ داخلي أثناء محاولة البحث عن تطبيق:
Third,,,ثالث
This drop target only supports local files.,La cible de dépôt ne prend en charge que les fichiers locaux.,Dieses Ablegeziel unterstützt ausschließlich lokale Dateien.,هدف الإفلات هذا لا يدعم إلا الملفات المحلية.
This file cannot be ejected,Impossible d’éjecter ce fichier,Diese Datei kann nicht ausgeworfen werden,تعذّر إخراج هذا الملف
This file cannot be mounted,Impossible de monter ce fichier,Diese Datei kann nicht eingehängt werden,تعذّر وصْل هذا الملف
This file cannot be started,Impossible de démarrer ce fichier,Diese Datei kann nicht gestartet werden,تعذّر بدء هذا الملف
This file cannot be stopped,Impossible de stopper ce fichier,Diese Datei kann nicht gestoppt werden,تعذّر إيقاف هذا الملف
This file cannot be unmounted,Impossible de démonter ce fichier,Diese Datei kann nicht ausgehängt werden,تعذّر فصل هذا الملف
This is disabled due to security considerations.,Ceci est désactivé pour des raisons de sécurité.,Dies ist auf Grund von Sicherheitserwägungen deaktiviert.,هذا معطل لأسباب الأمان.
This is not allowed in order to avoid the deletion of the destination folder’s contents.,Cela n’est pas autorisé pour ne pas effacer le contenu du dossier de destination.,"Dies ist unzulässig, weil dadurch der Inhalt des Zielordners gelöscht werden würde.",ليس مسموحا بهذا لتفادي مسح محتويات المجلد الوجهة.
This link cannot be used because it has no target.,Impossible d’utiliser ce lien car il ne pointe sur rien.,"Diese Verknüpfung kann nicht verwendet werden, weil sie auf kein Ziel verweist.",لا يمكن استخدام هذه الوصلة لعدم وجود هدف لها.
This link cannot be used because its target “%s” doesn’t exist.,Impossible d’utiliser ce lien car sa cible « %s » n’existe pas.,"Diese Verknüpfung kann nicht verwendet werden, weil ihr Ziel »%s« nicht existiert.",لا يمكن استخدام هذه الوصلة، لأن هدفها ”%s“ غير موجود.
This location could not be displayed.,Impossible d’afficher le contenu de cet emplacement.,Dieser Ort konnte nicht angezeigt werden.,تعذّر عرض محتويات المكان.
This location doesn’t appear to be a folder.,Cet emplacement n’est pas un dossier.,Der angegebene Ort ist scheinbar kein Ordner.,المكان ليس مجلدا.
This remote location does not support sending items to the trash.,Cet emplacement distant ne prend pas en charge l’envoi d’éléments vers la corbeille.,Der entfernte Ort unterstützt nicht das Senden von Objekten in den Papierkorb.,لا يدعم هذا المكان البعيد إرسال العناصر إلى المهملات.
Thumbnails,,,المُصغّرات
Title,Titre,Titel,العنوان
To open non-local files copy them to a local folder and then drop them again.,"Pour ouvrir des fichiers distants, copiez-les dans un dossier local puis déposez-les à nouveau.","Um entfernte Dateien zu öffnen, müssen Sie sie in einen lokalen Ordner kopieren und dann noch einmal hier ablegen.",لفتح ملفات غير محلية انسخها لمجلد محلي ثم أفلتها مرة أخرى.
To open non-local files copy them to a local folder and then drop them again. The local files you dropped have already been opened.,"Pour ouvrir des fichiers distants, copiez-les dans un dossier local puis déposez-les à nouveau. Les fichiers locaux déposés ont déjà été ouverts.","Um entfernte Dateien zu öffnen, müssen Sie sie in einen lokalen Ordner kopieren und dann noch einmal hier ablegen. Die lokalen, abgelegten Dateien wurden bereits geöffnet.",لفتح ملفات غير محلية انسخها لمجلد محلي ثم أفلتها مرة أخرى. الملفات المحلية التي أفلتها فتحت بالفعل.
Toggle view,,,بدّل المنظور
Toplevel files cannot be renamed,Impossible de renommer les fichiers racines,Dateien im obersten Ordner können nicht umbenannt werden,لا يمكن تغيير اسم ملفات المستوى الأول
Total capacity:,,,السّعة الكلية:
Track Number,Numéro de piste,Nummer des Titels,رقم المقطع
Track number,Numéro de piste,Titelnummer,رقم المقطوعة
Trash,Corbeille,Papierkorb,المهملات
Trash is Empty,La corbeille est vide,Papierkorb ist leer,المهملات فارغة
Trashed On,Mis à la corbeille le,Löschdatum,نقل إلى المهملات في
Trashed on:,,,نقل إلى المهملات في:
Trashed “%s”,« %s » mis à la corbeille,»%s« wurde gelöscht,أرسل ”%s“ إلى المهملات
Trashing Files,Mise à la corbeille des fichiers,Dateien werden in den Papierkorb verschoben,إرسال الملفات للمهملات
Trashing “%s”,Déplacement de « %s » vers la corbeille,»%s« wird gelöscht,يرسل ”%s“ إلى المهملات
Try a different search,Essayer une recherche différente,Versuchen Sie eine andere Suchanfrage,جرّب بحثًا آخر
Type,Type,Typ,النوع
Type of click used to launch/open files,Type de clic utilisé pour lancer/ouvrir les fichiers,Klicktyp zum Ausführen/Öffnen von Dateien,نوع النقر المستخدم لبدأ/فتح الملفات
Type:,Type :,Typ:,النوع:
Unlock Drive,Déverrouiller le volume,Laufwerk entsperren,افتح قفل السواقة
Unable to access location,Impossible d’accéder à l’emplacement,Zugriff auf den Ort ist nicht möglich,تعذر الوصول إلى المكان
Unable to access the requested location.,Impossible d’accéder à l’emplacement demandé.,Auf den angeforderten Ort kann nicht zugegriffen werden.,تعذر الوصول إلى المكان المطلوب.
Unable to access “%s”,Impossible d’accéder à « %s »,Zugreifen auf »%s« nicht möglich,تعذّر الوصول إلى ”%s“
Unable to complete the requested search,Impossible d’aller au bout de la recherche,Die angeforderte Suche kann nicht abgeschlossen werden,تعذّر إكمال البحث المطلوب
"Unable to create a required folder. Please create the following folder, or set permissions such that it can be created:
%s","Impossible de créer un dossier requis. Veuillez créer le dossier suivant ou définir les permissions de telle sorte qu’il puisse être créé :
%s","Ein notwendiger Ordner kann nicht angelegt werden. Bitte erstellen Sie folgenden Ordner oder ändern Sie die Zugriffsrechte so, dass Nautilus ihn anlegen kann:
%s","تعذّر إنشاء مجلد مطلوب. رجاء أنشئ المجلد التالي أو اضبط التصاريح حتى يُمكن إنشائه:
%s"
"Unable to create required folders. Please create the following folders, or set permissions such that they can be created:
%s","Impossible de créer des dossiers requis. Veuillez créer les dossiers suivants ou définir les permissions de telle sorte qu’ils puissent être créés :
%s","Einige notwendige Ordner können nicht angelegt werden. Bitte erstellen Sie folgende Ordner oder ändern Sie die Zugriffsrechte so, dass Nautilus diese anlegen kann:
%s","تعذّر إنشاء مجلدات مطلوب. رجاء أنشئ المجلدات التاليو أو اضبط التصاريح حتى يُمكن إنشائها:
%s"
Unable to display the contents of this folder.,Impossible d’afficher le contenu de ce dossier.,Der Inhalt dieses Ordners kann nicht angezeigt werden.,تعذّر عرض محتويات هذا المجلد.
Unable to eject %s,,,تعذّر إخراج %s
Unable to eject “%s”,Impossible d’éjecter « %s »,Auswerfen von »%s« nicht möglich,تعذّر إخراج ”%s“
Unable to find the requested file. Please check the spelling and try again.,Impossible de trouver le fichier demandé. Vérifiez l’orthographe et essayez à nouveau.,Die angeforderte Datei kann nicht gefunden werden. Bitte prüfen Sie die Schreibweise und versuchen Sie es noch einmal.,تعذّر العثور على الملف المطلوب. رجاء تأكد من الإملاء ثم أعِد المحاولة.
Unable to find the requested location. Please check the spelling or the network settings.,Impossible de trouver l’emplacement demandé. Veuillez vérifier l’orthographe ou les paramètres réseau.,Der angeforderte Ort kann nicht gefunden werden. Bitte prüfen Sie den Namen oder die Netzwerkeinstellungen.,تعذّر العثور على المكان المطلوب. رجاء تأكد من الإملاء أو إعدادات الشبكة.
Unable to get remote server location,Impossible d’atteindre l’emplacement du serveur distant,Entfernte Serveradresse kann nicht ermittelt werden,تعذر جلب مكان الخادوم البعيد
Unable to handle this kind of location.,Impossible de gérer ce type d’emplacement.,Diese Art von Ort wird nicht unterstützt.,تعذّر معالجة هذا النوع من الأماكن.
Unable to load location,,,تعذر تحميل المكان
Unable to locate the program,Impossible de trouver le programme,Das Programm kann nicht gefunden werden,تعذر العثور على البرنامج
Unable to remove “%s”,Impossible de retirer « %s »,Entfernen von %s nicht möglich,تعذّر إزالة ”%s“
Unable to search for application,,,تعذر البحث عن تطبيق
Unable to start location,Impossible de démarrer l’emplacement,Starten des Ortes nicht möglich,تعذر بدء المكان
"Unable to start the program:
%s","Impossible de démarrer le programme :
%s","Das Programm kann nicht gestartet werden:
%s","تعذّر بدء البرنامج:
 %s"
Unable to start “%s”,Impossible de démarrer « %s »,Starten von »%s« nicht möglich,تعذّر بدء ”%s“
Unable to stop drive,Impossible d’arrêter le lecteur,Laufwerk konnte nicht gestoppt werden,تعذر إيقاف السواقة
Unable to unmount %s,,,تعذر فصْل %s
Unable to unmount volume,,,تعذر فصْل الجزء
Undo,Annuler,Rückgängig,تراجع
Undo last action,Annule la dernière action,Die letzte Aktion zurücknehmen,تراجع عن آخر إجراء
Unhandled error message: %s,Message d’erreur non géré : %s,Unbekannte Fehlermeldung: %s,رسالة عُطل غير معروفة: %s
Unknown,Inconnu,Unbekannt,مجهول
Unmount,Démonter,Aushängen,افصل
Unstar,Démarquer,Von Favoriten entfernen,أول النجمة
Untitled Document,Nouveau document,Unbenanntes Dokument,مستند دون اسم
Untitled Folder,Nouveau dossier,Unbenannter Ordner,مجلد دون اسم
Use Default,,,استخدم المبدئي
Use tree view,Utiliser la vue arborescente,Baumansicht verwenden,استخدم المنظور الشجري
Verifying destination,Vérification de la destination,Ziel wird überprüft,يتحقق من الوِجهة
Video,Vidéo,Video,فيديو
Video CD,,,اسطوانة فديو
Video DVD,,,دي‌ڤي‌دي فيديو
View,Vue,Ansicht,عرض
View of the current folder,,,عرض المجلد الحالي
Views,,,المشاهد
Volume:,,,الجزء:
Wallpapers,,,الخلفيات
WebDAV,WebDAV,WebDAV,WebDAV
What,Quoi,Was,ما
What to do with executable text files when activated,,,ما الذي سيفعل بالملفات التنفيذية عند تنشيطها
"What to do with executable text files when they are activated (single or double clicked). Possible values are “launch” to launch them as programs, “ask” to ask what to do via a dialog, and “display” to display them as text files.",,,"ما الذي سيفعل بالملفات التنفيذية عند تنشيطها (بنقرة بسيطة أو ثنائية). القيم الممكنة هي ""launch"" لإطلاقها كبرامج و ""ask"" للسؤال عما يفعله عن طريق حوار و ""display"" لعرضها كملفات نصيّة."
When,Quand,Wann,متى
"When a folder is visited this viewer is used unless you have selected another view for that particular folder. Possible values are “list-view”, and “icon-view”.",,,"سيستخدم هذا العارض عند زيارة مجلد إلا إذا كنت قد انتقيت منظورا آخر لذلك المجلد. القيم الممكنة هي ""list-view"" (منظور القائمة) و ""icon-view"" (منظور الأيقونات)."
When to show number of items in a folder,Modalités d’affichage du nombre d’éléments d’un dossier,Wann die Anzahl der Objekte in einem Ordner angezeigt werden soll,متى يعرض عدد العناصر في مجلد
When to show thumbnails of files,Modalités d’affichage des miniatures des fichiers images,Wann Miniatur-Vorschaubilder von Dateien angezeigt werden sollen,متى تعرض مُصغّرة للملفّات
Where to perform recursive search,Indique où il faut effectuer la recherche récursive,"Legt fest, wo eine rekursive Suche ausgeführt werden soll",فيما إذا سيفعل الحذف الفوري
Where to position newly open tabs in browser windows,,,أين ستوضع الألسنة المفتوحة حديثا في نوافذ المتصفح
Whether the navigation window should be maximized,Indique si la fenêtre de navigation doit être maximisée,"Legt fest, ob das Navigationsfenster maximiert werden soll",ما إذا وجب أن تكون نافذة الإبحار مكبّرة
Whether the navigation window should be maximized by default.,Indique si la fenêtre de navigation doit être maximisée par défaut.,"Legt fest, ob das Navigationsfenster standardmäßig maximiert werden soll.",ما إذا وجب أن تكون نافذة الإبحار مكبّرة مبدئيا.
"Whether to ask for confirmation when deleting files, or emptying the Trash",,,فيما إذا كان سيسأل عن التأكيد عند نقل الملفات إلى المهملات أو إفراغ سلة المهملات
