
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Logic Functions,Fonctions logiques,Logische Funktionen,وظائف ال XML
Logistic,Logistique,Logistisch,لوغارثمي
Lognormal,Log-normale,Lognormal,عادي
Long Format Toolbar,,,شريط الأدوات
Long format toolbar position,,,موقع المقبض
Long format toolbar visible,,,شريط الأدوات مرئي
LongFormatToolbar,,,شريط الأدوات
Lookup,Recherche,Suche,المظهر
Lookup Functions,Fonctions de recherche,Suchfunktionen,وظائف ال XML
Lower Limit (95%),Limite inférieure (95 %),Untergrenze (95%),الحد الأسفل للمسطرة
Min,Min,Min,ثنائي
Minimum cutoff:,Limite inférieure :,Minimale Unterbrechung:,الحد الأدنى:
Multiply,Multiplication,Multiplizieren,ضرب
Match whole words only,Mot entier seulement,Nur vollständige Wörter berücksichtigen,طابق لكامل الكلمة
Maximum cutoff:,Limite supérieure :,Maximale Unterbrechung:,الحد الأقصى:
Macro%d,Macro%d,Makro%d,ماكاو
Magnification,Zoom,Vergrößerung,تصنيف
Main,Principale,Haupt,ماين
Make error expression,Créer une expression d'erreur,Fehler-Ausdruck erzeugen,جملة غير صالحة
Make string value,Créer une chaîne,Zeichenkettenwert erzeugen,اجعلها شفافة
Make a copy of the current sheet,Effectue une copie de la feuille active,Eine Kopie des momentan angezeigten Blattes erstellen,احفظ نسخة من المستند الحالي
Manage Sheets,Gestion des feuilles,Blätter verwalten,أدر القصاصات...
Manage available plugin modules,Gère les greffons disponibles,Verfügbare Plugin-Module verwalten,يدير المركّبات القابلة للتحميل
Manage sheets...,,,أدر القصاصات...
Manage the sheets in this workbook,Gère les feuilles dans le classeur,Die Blätter in diesem Arbeitsbuch verwalten,تغيير خواص هذا المجلّد
Manager:,Gestionnaire :,Vorgesetzter:,المدير:
Manual,Manuel,Benutzerhandbuch,يدوي
Mar,Mar,Mär,الماورية
Mark Probst,Mark Probst,Mark Probst,وضع علامة
Mark each cell containing a formula,,,ابجث عن المفاتيح التي تحتوي:
Match whole words only,Mot complet seulement,Nur vollständige Wörter berücksichtigen,طابق لكامل الكلمة
Match only whole words,Mot entier seulement,Nur vollständige Wörter berücksichtigen,طابق لكامل الكلمة
Matches,Occurrences,Treffer,مطابقات
Math Functions,Fonctions mathématiques,Mathematische Funktionen,دالّات Qt
Mathematical Functions,Fonctions mathématiques,Mathematische Funktionen,دالات التاريخ و الساعة
Mathematics,Mathématiques,Mathematik,رياضيات
Max,Max,Max,س الكبرى
Max Iterations:,Itérations max :,Max. Iterationen:,عملية دمج جنوم:
Max Time (sec.):,Durée max (sec.) :,Max. Zeit (Sek.):,الوقت (بالملي ثانية):
Max time:,Durée max :,Max. Zeit:,الحد الأقصى:
Max:,Max :,Max:,فاكس:
Maximal Undo Size,Taille maximale du système « Annuler/Rétablir »,Maximale Rückgängig-Größe,مستويات التراجع القصوى
Maximum,Maximum,Maximum,الحد الأقصى
Maximum change:,Écart maximum :,Maximale Änderung:,القيمة القصوى
Maximum iterations:,Maximum d'itérations :,Max. Iterationen:,العدد الأقصى للجلسات عن بعد:
Mean,Moyenne,Mittelwert,المتوسط:
Median,Médian,Medianwert,عدد أوسط:
Median:,,,عدد أوسط:
Medium,Normal,Mittel,عدد أوسط:
Merge,Fusionner,Zusammenführen,ميرينجو
Merge Field,Fusionner le champ,Zusammenführungsfeld,ميرل فيلد
Merge Range:,Fusionner la plage :,Zusammenführungsbereich:,اختر المجال:
Merge and Center %s,Fusionne et centre %s,Zusammenführen und Zentrieren von %s,دمج ألواح الألوان
Merge...,Fusionner...,Zusammenführen …,المزيد...
Merging %s,Fusion de %s,Zusammenführen von %s,إجتماع - %s
Merging data into %s,Fusion des données vers %s,Datenübername in %s,فتح المهام عند %s
Michael Meeks,Michael Meeks,Michael Meeks,إعدادات متنوعة
Min,Min,Min,ماين
Min:,Min :,Min:,عدد أوسط:
Minimum,Minimum,Minimum,الحد الأدنى:
Miscellaneous,Divers,Verschiedenes,متنوع
Missing characters for character encoding,Caractères manquants pour le codage des caractères,Fehlende Zeichen für die Zeichenkodierung,رمز الإفلات لأنماط التراكيب
Missing closing 'E',« E » de fermeture manquant,Abschließendes »E« fehlt,ملفات مفقودة
Missing expression,Expression manquante,Ausdruck fehlt,معلوملت غير موجودة
Missing file name.,Nom de fichier manquant.,Fehlender Dateiname.,اسم الملف مفقود.
Missing filter type,Type de filtre manquant,Fehlender Filtertyp,اسم الملف مفقود.
Missing function category name.,Nom de catégorie de fonction manquant.,Fehlender Funktionenkategoriename,اسم الملف مفقود.
Missing part-id for sheet '%s',L'identifiant de composant (« part-id ») de la feuille « %s » est manquant,Fehlende Stückkennung für Blatt »%s«,معامل %s مفقود
Mode,Mode,Modus,النّموذج
Model,Modèle,Modell,النّموذج
Modern,Moderne,Modern,النّموذج
Modify the formatting of the selected cells,Modifie le formatage des cellules sélectionnées,Die Formatierung der markierten Zellen ändern,تعديل اﻷمر للاختيار
Modify the view properties,Modifie les propriétés de la vue,Die Eigenschaften der Ansicht ändern,خصائص الاتصال
"Module ""%s"" doesn't exist.",Le module « %s » n'existe pas.,Das Modul »%s« existiert nicht.,"العنصر ""%s"" غير موجود."
"Module file ""%s"" has invalid format.",Le format du fichier module « %s » n'est pas valide.,Die Module-Datei »%s« hat ein ungültiges Format.,تنسيق '%s' غير صحيح
Module name not given.,Nom du module non fourni.,Kein Modulname angegeben.,حبات ثلجية متوسطة
Module%d,Module%d,Modul%d,وِحدة
Morten Welinder,Morten Welinder,Morten Welinder,أيرلندا الشّماليّة
Move Object,Déplacer l'objet,Objekt verschieben,جسم
Move selected field up in the sort order,Avance le champ sélectionné d'une position vers le haut,Gewähltes Feld in der Sortierreihenfolge nach oben bewegen,نقل المجلد المُنتقى إلى مجلد آخر
Move the selected field down in the sort order,Recule le champ sélectionné d'une position vers le bas,Gewähltes Feld in der Sortierreihenfolge nach unten bewegen,نقل المجلد المُنتقى إلى مجلد آخر
Moving %s,Déplacement de %s,%s wird verschoben,جاري النقل
Moving Average,Moyenne glissante,Gleitender Mittelwert,متوسط التغير
Moving Average (%s),Moyennes glissantes (%s),Gleitender Mittelwert (%s),متوسط التغير
Moving average...,Moyenne glissante...,Gleitender Mittelwert …,متوسط التغير
Multiple errors,Erreurs multiples,Mehrere Fehler,مفاتيح متعددة
Multiple expressions are not supported in this context,Les expressions multiples ne sont pas prises en charge dans ce contexte,Mehrfache Ausdrücke werden in diesem Zusammenhang nicht unterstützt,صفحات الكتيّبل غير مدعومة في هذا الإصدار.
Number of Failures,Nombre d'échecs,Anzahl der Fehlschläge,عدد الملفات:
Number of Trials:,Nombre de tentatives :,Anzahl der Versuche:,عدد الملفات:
Number of samples:,Nombre d'échantillons :,Anzahl der Stichproben:,عدد النُّسخ:
Name,Nom,Name,الإسم
Name '%s' does not exist,Le nom « %s » n'existe pas,Name »%s« existiert nicht,"العنصر ""%s"" غير موجود."
Name '%s' does not exist in sheet '%s',Le nom « %s » n'existe pas dans la feuille « %s »,Name »%s« existiert im Blatt »%s« nicht,الللغة %s غير موجودة، سأستخدم %s
Name '%s' does not exist in workbook,Le nom « %s » n'existe pas dans le classeur,Name »%s« existiert im Arbeitsbuch nicht,"العنصر ""%s"" غير موجود."
Name of template,Nom du modèle,Der Name der Vorlage,اسم الطابعة
Name:,Nom :,Name:,الإسم:
Negative Binomial,Binomiale négative,Negatives Binomial,امريكي أصلي
New Cell Comment (%s),Nouveau commentaire de cellule (%s),Neuer Zellkommentar (%s),تعليقات الشفرة
New From Template,Nouveau à partir d'un modèle,Neu aus Vorlage,اسم الطابعة
New Name,Nouveau nom,Neuer Name,لعبة جديدة
New Sheet,Nouvelle feuille,Neues Blatt,بذرة جديدة
New Workbook,Nouveau classeur,Neues Arbeitsbuch,نيويورك
New sheet,Nouvelle feuille,Neues Blatt,إجتماع جديد
New workbook,Nouveau classeur,Neues Arbeitsbuch,نيويورك
New graph sheet,Nouvelle feuille graphique,Neues Diagrammblatt,إجتماع جديد
Next Sim.,Sim. suivante,Nächste Simulation,المخطوط التالي
Next Object,Objet suivant,Nächstes Objekt,جسم
Nlsolve,NLsolve,NL-lösen,إذابة
No chart,Aucun diagramme,Kein Diagramm,شمال
No matching records were found.,Aucun enregistrement correspondant n'a été trouvé.,Es wurden keine zutreffenden Einträge gefunden.,لم يُعثر على مفاتيح مطابقة
No password supplied,Aucun mot de passe fourni,Kein Passwort angegeben,نفدت صلاحية كلمة سرك.
No statistics are selected.,Pas de statistiques sélectionnées.,Es sind keine Statistiken ausgewählt.,لم تنتقى أيّة ملفات.
No stream named content.xml found.,Aucun flux nommé content.xml n'a été trouvé.,Kein Datenstrom mit Namen »content.xml« gefunden.,التيار غير موجود
No stream named styles.xml found.,,Kein Datenstrom mit Namen »styles.xml« gefunden.,لا يوجد اسم كهذا
No workbook stream found.,Aucun flux de classeur n'a été trouvé.,Es wurde kein Arbeitsbuch-Datenstrom gefunden.,لا توجد أي نتائج.
None,Aucune,Keine,لا شيء
Normal,Normal,Normal,عادي
Normality Test,Test de normalité,Normalitätstest,نورمان والس
Normality Test (%s),Test de normalité (%s),Normalitätstest (%s),%s (%s)
North,Nord,Nord,شمال
Not Equal,Est différent de,Nicht gleich,مساو
Not a range or name,"Ni une plage, ni un nom",Weder ein Bereich noch ein Name,غيّر اسم المستضيف:
Not a valid function for action: %s,N'est pas une fonction valide pour l'action : %s,Keine gültige Funktion für die Aktion: %s,هوية تنشيط غير سليمة
Not normal,Non normale,Nicht normal,عادي
Note:,Note :,Kommentar:,الإسم:
Number,Nombre,Zahl,الرقم
Number Theory,Théorie des nombres,Zahlentheorie,رقم عند كل
Number of Automatic Clauses,Nombre de clauses automatiques,Anzahl der automatischen Bedingungen,عدد اللاعبين الإنس
Number of Undo Items,Nombre de manipulations annulables,Anzahl der Rückgängig-Objekte,عدد العناصر
Number of random numbers:,Nombre de nombres aléatoires :,Anzahl der Zufallszahlen:,عدد العناصر
Number of lines to import,Nombre de lignes à importer,Anzahl der zu importierenden Zeilen,عدد مرات الدوامات
Numbers,Nombres,Zahlen,الرقم
OLE2 support.,Prise en charge OLE2.,OLE2-Unterstützung.,دعم
Options,Options,Einstellungen,خيارات
"Object ""%s"" is not a dictionary.",L'objet « %s » n'est pas un dictionnaire.,Objekt »%s« ist kein Wörterbuch.,الجسم ليس مخزناً
Object Toolbar,Barre d'outils « objets »,Objektwerkzeugleiste,شريط الأدوات
Object toolbar position,Position de la barre d'outils « objets »,Position der Objektwerkzeugleiste,شريط الأدوات مرئي
Object toolbar visible,Affichage de la barre d'outils « objets »,Objektwerkzeugleiste sichtbar,شريط الأدوات مرئي
ObjectToolbar,,,شريط الأدوات
Objective Value:,Valeur visée :,Zielwert:,Objective Caml
Objective function,Fonction objectif,Zielfunktion,وظائف الجسم
On worksheet %s:,Dans la feuille de calcul %s :,Arbeitsblatt %s:,الأسوء:
One field is not part of the merge zone!,Un champ ne fait pas partie de la zone de fusion !,Eine Feld ist nicht Teil des Übernahmebereichs!,هناك ملف ليس بدليل او ملف عادي
Open %s,Ouvrir %s,%s öffnen,افتح %s
Open Document Format,Format Open Document,Open Document Format,التوثيق
Open a file,Ouvrir un fichier,Eine Datei öffnen,افتح ملف
Open a viewer for Gnumeric's documentation,Affiche la documentation de Gnumeric,Die Gnumeric-Dokumentation anzeigen,ابحث عن توثيق آخر
Open an external file with the specified name,Ouvrir un fichier externe avec le nom donné,Eine externen Datei mit dem angegebenen Namen öffnen,ابحث عن ملفات بالوسْم المحدد
Open in New Window,Ouvrir dans une nouvelle fenêtre,In neuem Fenster öffnen,افتح في نافذة جديدة
Optimal,Optimal,Optimal,خياري
Options,Options,Optionen,خيارات
Options pricers,Options,Optionsberechnungen,لوح الخيارات
Orange,Orangé,Orange,المدى
Orange template,Modèle orangé,Orangefarbene Vorlage,قوالب الصورة
Original data type:,Type de données original :,Ursprünglicher Datentyp:,المراسَل الأصلي:
Other offset,Autre décalage,Anderer Versatz,القيمة
Other value,Autre valeur,Anderer Wert,القيمة
Outline,Contour,Umriss,حدود  الخارجية
Outlines Below,Contours en-dessous,Umriss unten,لون الخط الخارجي
Outlines Right,Contours à droite,Umriss rechts,يمين خط
Output,Sortie,Ausgabe,الخرْج:
Output range:,Plage de sortie :,Ausgabebereich:,لوحة الخرْج:
Output variables:,Variables de sortie :,Ausgabevariablen:,جهاز الخرج:
Outside Borders,Encadrements extérieurs,Außenränder,اشمل الحدود
PATTERN INFILE...,MOTIF FICHIERENTRÉE...,MUSTERDATEI...,ملف...
PDF export,Exportation PDF,PDF-Export,صدِّر
Paste special...,,,يجري تعليق السيد...
Program,Programme,Programm,البرنامج
Password:,Mot de passe :,Passwort:,كلمة السر:
Packaging,Empaquetage,Pakete,يجري التحزيم:
Page,Page,Seite,الصفحة
Page Footer,Pied de page,Fußzeilen,هامش سفلي
Page Header,En-tête de page,Kopfzeilen,ترويسة الرّسالة
Page Setup...,Configuration de l'impression...,Seiteneinstellungen …,إعداد الصفحة..
Page Setup,Configuration de la page,Seiteneinstellungen,إعداد الصفحة
Page Setup For %s,Configuration de l'impression pour %s,Seiteneinstellungen für %s,إعداد الصفحة
Page Setup For All Sheets,Configuration de l'impression pour toutes les feuilles,Seiteneinstellungen für alle Arbeitsblätter,صفحات بكل ورقة
Page:,Page :,Seite:,جهاز النداء:
Pages,Pages,Seiten,الصفحة
Paper,Papier,Papier,Perl
Paradox,Paradox,Paradox,بايكادو
Paradox Importer,Importateur du format Paradox,Paradox-Importer,استيراد آلة التصوير
Parameters,Paramètres,Parameter,معاملات:
Parent workbook,,,نيويورك
Pareto,Pareto,Pareto,أب
Parse error while reading Applix file.,Erreur lors de l'interprétation du fichier Applix.,Fehler beim Einlesen der Applix-Datei.,"خطأ أثناء إنشاء وصلة في ""%s""."
Parse error while trying to parse data into sheet,Erreur d'interprétation lors de l'insertion de données dans la feuille,"Beim Versuch, die Daten in das Blatt einzupassen, ist ein Fehler aufgetreten",حصل خطأ فادح عند محاولة تحميل السِمة.
Parse the text in the selection into data,Crée des données à partir du texte contenu dans la sélection,Den Text in der Markierung als Daten interpretieren,لصق الحاجز المحدد إلى التحديد
Password :,,,كلمة السر:
Paste,Coller,Einfügen,الصق
Paste Copy,Coller la copie,Kopie einfügen,لصق في
Paste Defined Names,Coller les noms définis,Definierte Namen einfügen,حدد المشاهد
Paste Special,Collage spécial,Einfügen spezial,الصق المنتقى
Paste Link,Coller le lien,Link einfügen,لصق إلى
Paste Special,Collage spécial,Einfügen spezial,الصق المنتقى
Paste the clipboard,Colle le contenu du presse-papiers,Inhalt der Zwischenablage einfügen,الصق الحافظة
Pasting into %s,Collage dans %s,In %s wird eingefügt,يجري التأكد من وجود %s
Path,Chemin,Pfad,المسار
Pattern,Motif,Muster,نمط:
Pearson Correlation,Corrélation Pearson,Pearson-Korrelation,المعلومات الشخصية
Period:,Période :,Periode:,نقطة
Percent of Trace,Pourcentage de la trace,Prozent der Gesamtvarianz,النسبة المئوية
Percentage,Pourcentage,Prozentsätze,النسبة المئوية
Percentile Rank,Rang centile,Perzentil-Ränge,نسبة مئوية:
Perform changes within cell comments,Appliquer les changements dans les commentaires des cellules,Änderungen in den Kommentaren der Zellen durchführen,اعمل أفعال بحركات بالفأرة
Perform changes within expressions,Appliquer les changements dans les expressions,Änderungen in den Ausdrücken durchführen,جملة بأقواس غير صالحة
Perform changes within non-string values,Appliquer les changements dans les valeurs non textuelles,"Änderungen auch innerhalb Werte, die keine Zeichenketten sind, durchführen",اعمل أفعال بحركات بالفأرة
Perform changes within string values,Appliquer les changements dans les valeurs textuelles,Änderungen innerhalb der Werte der Zeichenketten durchführen,اعمل أفعال بحركات بالفأرة
Perform no more replacements,Ne plus effectuer de remplacements,Keine weiteren Ersetzungen durchführen,ابحث و استبدل نص
Perform this replacement,Effectuer ce remplacement,Diese Ersetzung durchführen,إزاحة السهم في س
Perl,Perl,Perl,Perl
Perl error:,Erreur Perl :,Perl-Fehler:,خطأ Camel: %s
Perl error: %s,Erreur Perl : %s,Perl-Fehler: %s,خطأ Camel: %s
Perl functions,Fonctions Perl,Perl-Funktionen,دالّات بيرل
Perl plugin loader,Chargeur de greffon en Perl,Perl-Plugin-Starter,افتح مجلد الملحقات
Peter Notebaert,Peter Notebaert,Peter Notebaert,الأسنان الخارجية
Plan Perfect,Plan Perfect,PLN Format,نص
"Please enter a valid
population variance for variable 1.","Saisissez une variance de population
valide pour la variable 1.","Bitte geben Sie eine gültige
Varianz der Grundgesamtheit für die erste Variable ein.",فضلاً أدخل عنوان نطاقٍ سليم و حاول مجدّداً.
"Please enter a valid
population variance for variable 2.","Saisissez une variance de population
 valide pour la variable 2.","Bitte geben Sie eine gültige
Varianz der Grundgesamtheit für die zweite Variable ein.",فضلاً أدخل عنوان نطاقٍ سليم و حاول مجدّداً.
Plugin Details,Détails du greffon,Plugin-Details,الملحق نشط
Plugin List,Liste de greffons,Plugin-Liste,ملحقات
Plugin Manager,Gestionnaire de greffons,Plugin-Verwaltung,مدير الملحقات
Plugin dependencies,Dépendances du greffon,Plugin-Abhängigkeiten,أندبنتس
Plugin directory:,Répertoire des greffons :,Plugin-Ordner:,إفتح الدليل
Plugin name,Nom du greffon,Plugin-Name,اسم الملحق
Plugin services,Services du greffon,Plugin-Dienste,خدمة الطابعة
Point,Point,Punkt,نقطة
Poisson,Poisson,Poisson,فوستون
Polygon Properties,Propriétés du polygone,Polygon-Eigenschaften,خصائص الصفحة
Portrait,Portrait,Hochformat,ثابت
Possible corrupted integer '%s' for '%s',Il se peut que l'entier « %s » soit corrompu pour « %s »,Möglicherweise beschädigte Ganzzahl »%s« für »%s«,لا يُمكن إيجاد عنصر بالعنوان (URI) '%s'
Preferences...,Préférences...,Einstellungen …,تفضيلات...
Prepare an email,Préparer un courriel,Eine E-Mail vorbereiten,أرسل بريد إلكتروني
Prepared,Préparé,Vorbereitung abgeschlossen,فاصل
Preparing,Préparation,Vorbereitung läuft,العلاقة
Preparing to save...,Préparation de l'enregistrement...,Vorbereiten auf das Speichern …,جاري التحضير للنقل...
Preserve,Préservé,Beibehalten,تغيير الضغط
Pressed Button,Bouton poussé,Gedrückter Knopf,زر الحذف
Prev. Sim.,Sim. précédente,Vorh. Sim.,حجم المعاينة
Preview,Aperçu,Vorschau,معاينات
Primary direction:,Direction primaire :,Primäre Richtung:,الإتجاه:
Print Area & Breaks,Zone d'impression et sauts de page,Druckbereich und Umbrüche,مساحة رسم
Print Selection,Imprimer la sélection,Auswahl drucken,تحديد التدرج
Print area:,Région à imprimer :,Druckbereich:,حجم الطباعة:
Print preview,Aperçu avant impression,Druckvorschau,معاينة الطباعة
Print the current file,Imprime le fichier actuel,Die aktuelle Datei drucken,يطبع الملف الحالي
Print the location of each match,Imprimer l'emplacement de chaque correspondance,Übereinstimmungs-Positionen ausgeben,هيّء الحجم المنتقى
Prior moving average,Précédente moyenne glissante,Vorrangiger gleitender Mittelwert,متوسط التغير
Problem Type,,,حجم المجلّد
Program Name,Nom du programme,Programmname,اسم البرنامج
Properties,Propriétés,Eigenschaften,خصائص
Protected,,,مشروع
Protected allow cell formatting,,,معلومات الطاقة
Protected allow column formatting,,,معلومات الطاقة
Protected allow delete columns,,,اطرد الحجم المنتقى
Protected allow row formatting,,,المعلومات الشخصية
Protection,Protection,Schutz,الاتجاه
Psiconv,Psiconv,Psiconv,أيقونة
Pull to Front,Mettre au premier plan,Ganz nach vorn holen,إلى الأمام
Pull Object Forward,Remonter l'objet,Objekt hervorholen,الزر الأمامي
Pull Forward,Avancer d'un niveau,Hervorholen,تحويل المكالمات
Purple,Mauve,Violett,أرجواني
Push to Back,Mettre en arrière-plan,Ganz nach hinten schieben,الزر الخلفي
Push Object to the Back,Mettre l'objet en arrière plan,Objekt ganz nach hinten schieben,اقفل الجسم على الشريط
Push Backward,Reculer d'un niveau,Zurückschieben,للخلف
Python,Python,Python,Python
Python console,Console Python,Python-Eingabefenster,كونسول بيثون
Python exception (%s),Exception Python (%s),Python-Ausnahme (%s),إرجاع إستثناء: %s
Python exception (%s: %s),Exception Python (%s : %s),Python-Ausnahme (%s: %s),إرجاع إستثناء: %s
"Python file ""%s"" has invalid format.",Le format du fichier Python « %s » n'est pas valide.,Format der Python-Datei »%s« ungültig.,تنسيق '%s' غير صحيح
Python functions,Fonctions Python,Python-Funktionen,دالّات Qt
Python plugin loader,Chargeur de greffon Python,Python-Plugin-Starter,لوحة بايثون
QA,Qualité,Qualitätssicherung,A
Quoting:,Citation :,Anführen:,ترتيب:
Query,,,استعلم
Query for replacement,Demander avant de remplacer,Vor dem Ersetzen nachfragen,ابحث و استبدل نص
Quit the application,Quitter l'application,Die Anwendung beenden,إنهاء التطبيق
Quote character:,Caractère de citation :,Anführungszeichen:,عِدّ الأحرف
RPM packaging,Empaquetage RPM,RPM-Pakete,يجري التحزيم:
"Right, then down","À droite, puis en bas","Nach rechts, dann nach unten",ارتفاع النّافذة
Range,Plage,Bereich,مدى
RadioButton,Bouton radio,Radioknopf,زر راديو
Radiobutton Properties,Propriétés du bouton radio,Radiobutton-Eigenschaften,خصائص
Random Number Functions,Fonctions de génération de nombres aléatoires,Zufallszahlen-Funktionen,الوظائف الرقمية
Random Number Generation,Génération de nombres aléatoires,Erzeugung von Zufallszahlen,رقم عشوائي
Random Numbers,Nombres aléatoires,Zufallszahlen,رقم عشوائي
Random Numbers (%s),Nombres aléatoires (%s),Zufallszahlen (%s),رقم عشوائي
Range,Plage,Bereich,مدى
Range as Text,,,مجموعة التغييرات
Range:,Plage :,Bereich:,مدى
Rank,Rang,Wertebereich,رتبة:
Rank and Percentile,Rang et centiles,Rang und Perzentil,نسبة مئوية:
Ranks,Rangs,Wertebereiche,رتبة:
Ranks & Percentiles,Rangs et centiles,Ränge & Perzentile,نسبة مئوية:
Ranks (%s),Rangs (%s),Ränge (%s),%s (%s)
"Ranks, placements and percentiles","Rangs, classements et centiles","Ränge, Platzierungen und Perzentile",الردود والأصول
Rasca,Rasca,Rasca,رامسار
Raw,Brut,Roh,صف
Rayleigh,Rayleigh,Rayleigh,رلايغ
Rayleigh Tail,Queue de Rayleigh,Rayleigh-Tail,رلايغ
Regular expression,Expression rationnelle,Regulärer Ausdruck,عبارة منتظمة
Rename,,,أعِد التسمية
Replace,Remplacer,Ersetzen,استبدال
Reading file...,Lecture du fichier...,Datei wird gelesen …,إفتح ملف...
Ready,Prêt,Fertig,اقرأ
Reattach to main window,,,ارتفاع النّافذة الرّئيسيّة
Recalculate,Recalculer,Neu berechnen,آلة حاسبة
Recalculate all cells,Recalculer toutes les cellules,Alle Zellen neu berechnen,آلة حاسبة
Recalculate all cells before writing the result,Recalcule toutes les cellules avant d'écrire le résultat,Alle Zellen vor dem Ausgeben des Ergebnisses neu berechnen,احذف كل العناصر في المهملات
Recalculate the spreadsheet,Recalcule le classeur,Arbeitsblatt neu berechnen,احسب النتيحة
Recalculation:,Recalculer :,Neu berechnen:,آلة حاسبة
Recently Used,Récemment utilisés,Zuletzt verwendet,مضاف حديثاُ
Recently Used Files,,,مضاف حديثاُ
Reconfigure Graph,Reconfigurer le graphique,Ausgabe neu konfigurieren,تركيب الشبكة
Rectangle,Rectangle,Rechteck,مستطيل
Redo the undone action,Rétablir une action annulée,Rückgängig gemachte Aktion wiederherstellen,أعِد آخر عملية متراجع عنها
Refreshing DataSlicer in %s,Actualisation de l'extrait des données dans %s,Datenbegrenzer in %s wird aktualisiert,انشيء قائمة مهام جديدة
Regression,Régression,Regressionsanalyse,جلسة
Regression (%s),Régression (%s),Regression (%s),اﻻصدارة %s
Released Button,Bouton relâché,Losgelassener Knopf,زر راديو
Remaining Error:,Erreur résiduelle :,Verbleibende(r) Fehler:,متبق:
Remove,Enlever,Entfernen,احذف
Remove Autofilter from %s,Enlever le filtre automatique de %s,Auto-Filter von %s entfernen,حذف متعدد
Remove Hyperlink,Supprimer l'hyperlien,Verknüpfung entfernen,حذف وصلة
Remove Name %s,Suppression du nom %s,Namen %s entfernen,احذف %s
Remove Auto Filter,Enlever les filtres automatiques,Auto-Filter entfernen,حذف متعدد
Remove Data Slicer,Enlever un extrait de données,Demodulator entfernen,ملفّات محذوفة
Remove a Data Slicer,Enlève un extrait de données,Einen Demodulator entfernen,انشيء قائمة مهام جديدة
Remove a filter,Enlève un filtre,Einen Filter entfernen,ملفّات محذوفة
Remove an outline group,Supprime un groupe,Diese Übersichtsgruppe löschen,السطر المحذوف
Remove borders,Enlever les bordures,Ränder entfernen,احذف الترويسات
Remove format,Supprimer le format,Format entfernen,أزل بُت
Remove the selected field from the sort specification,Supprime le champ sélectionné des spécifications de tri,Gewähltes Feld aus der Sortierangabe entfernen,احذف العنصر المحدد من شريط الأدوات
Rename,Renommer,Umbenennen,اعادة تسمية
Rename the current sheet,Renomme la feuille active,Das aktuelle Blatt umbenennen,استبدل التحديد الحالي
Renaming %d sheets,,,إعادة تسمية %s إلى %s.
Renaming sheet,,,إعادة تسمية %s إلى %s.
Reorganizing Sheets,Réorganisation des feuilles,Blätter werden neu angeordnet,تعلم الشطرنج
Repeat,Répéter,Wiederholen,إعادة
Repeat the previous action,Répète l'action précédente,Die letzte Aktion wiederholen,شغّل الأغنية السابقة
Replacing,Remplacement,Wird ersetzt,العلاقة
Report,Rapport,Bericht,التقارير
Report Created:,Rapport créé :,Bericht erstellt:,إنشاء
Report a Problem,Signaler un problème,Fehlerbericht erstellen,مشكلة إسبات
Report problem,Signale un problème,Einen Fehlerbericht erstellen,مشكلة إسبات
Reports,Rapports,Berichte,التقارير
Resize Object,Redimensionner l'objet,Objektgröße verändern,حذف الكائن
Resize Sheet,Redimensionner la feuille,Blattgröße ändern,حذف الكائن
Resize...,Redimensionner...,Größe ändern …,كرة...
Resizing sheet,Modification de la taille de la feuille,Größenanpassung des Blattes,إعادة تسمية %s إلى %s.
Response Variable,Variable de réponse,Reaktionsvariable,متغيرات
Result,Résultat,Ergebnis,النتائج
Result Cells:,Cellules de résultat :,Ergebniszelle:,النتائج
Result cell,Cellule de résultat,Ergebniszelle,إعادة قسمة الأسّات
Results entry did not contain valid cell names.,La case résultats ne contient pas des noms de cellules valides.,Ergebniseintrag enthielt keine gültigen Zellnamen.,لا يحتوي هذا المرفق على رسالة تقويم صحيحة
Retain output range formatting,Garder le format de la plage de sortie,Formatierung im Ausgabebereich beibehalten,معلومات توجيه الغاية لـ OSI
Reverse Diagonal,Diagonale inversée,Umgekehrt diagonal,اعكس الوصلة
Reverse Diagonal Stripe,Hachures diagonales inversées,Diagonale Streifen rückwärts,عرضيّ مقلوب
Reverse landscape,Paysage inversé,Querformat umdrehen,اعكس الوصلة
Reverse portrait,Portrait inversé,Hochformat umdrehen,اعكس الوصلة
Right,Droite,Rechts,يمين
Right margin:,Marge droite :,Rechter Rand:,زر الفأرة الأيمن
Right to Left,De droite à gauche,Rechts nach Links,من اليمين إلى اليسار
Risk Simulation,Simulation de risque,Risikosimulation,محاكاة
Ross Ihaka,Ross Ihaka,Ross Ihaka,موزس ليك
Row,Ligne,Zeile,صف
Row %d,Ligne %d,Zeile %d,صفوف
Row %i,Ligne %i,Zeile %i,صف
Row %s,Ligne %s,Zeile %s,صفوف
Row Height,Hauteur de ligne,Zeilenhöhe,نمو الارتفاع
Row and column headings,En-têtes de lignes et colonnes,Beschriftungen der Zeilen und Spalten,عمود إمتداد السطر
Row height in points:,Hauteur de ligne en points :,Zeilenhöhe (Pkt.):,وزن الظل (%)
Row major,Ligne principale,Haupt-Zeile,صف بالأعلى
Row/Column,Ligne/Colonne,Zeile / Spalte,العمود
Rows,Lignes,Zeilen,صفوف:
Rows number in the sheet,,,اسم الخط المنتقى
Rows per sample:,Lignes par échantillon :,Zeilenanzahl pro Stichprobe:,بيتات لكل نموذج
