(Empty),(Vide),(Leer),(فارغة)
Move focus to the other pane in a split view window,Active l'autre panneau d'une fenêtre divisée,"Den Fokus, in einem Fenster mit geteilter Ansicht, an die andere Leiste übergeben",نقل التركيز إلى الجزء الآخر في نافذة العرض المقسمة
Move or copy files previously selected by a Cut or Copy command,Déplace ou copie les fichiers précédemment sélectionnés avec la commande « Couper » ou « Copier »,Zuvor durch »Ausschneiden« oder »Kopieren« ausgewählte Dateien verschieben oder kopieren,نقل أو نسخ الملفات المحددة مسبقاً بواسطة الأمر قص أو نسخ
Move or copy files previously selected by a Cut or Copy command into the selected folder,Déplace ou copie les fichiers précédemment sélectionnés avec la commande « Couper » ou « Copier » dans le dossier sélectionné,Zuvor durch »Ausschneiden« oder »Kopieren« ausgewählte Dateien in den gewählten Ordner verschieben oder kopieren,نقل أو نسخ الملفات المحددة مسبقاً بواسطة الأمر قص أو نسخ إلى المجلد المحدد
Move or copy files previously selected by a Cut or Copy command into this folder,Déplace ou copie les fichiers précédemment sélectionnés avec la commande « Couper » ou « Copier » dans ce dossier,Zuvor durch »Ausschneiden« oder »Kopieren« gewählte Dateien in diesen Ordner verschieben oder kopieren,نقل أو نسخ الملفات المحددة مسبقاً بواسطة الأمر قص أو نسخ إلى هذا المجلد
Move tab left,Déplacer l’onglet vers la gauche,Reiter nach links verschieben,انقل التبويب إلى اليسار
Move tab right,Déplacer l’onglet vers la droite,Reiter nach rechts verschieben,انقل التبويب إلى اليمين
Move the current selection to the desktop,Déplace la sélection actuelle vers le bureau,Die aktuelle Auswahl auf den Schreibtisch verschieben,نقل التحديد الحالي إلى سطح المكتب
Move the current selection to the home folder,Déplace la sélection actuelle vers le dossier personnel,Die aktuelle Auswahl in den persönlichen Ordner verschieben,نقل التحديد الحالي إلى المجلد الرئيسي
Move the current selection to the other pane in the window,Déplace la sélection actuelle vers l'autre panneau de cette fenêtre,Die aktuelle Auswahl in die andere Leiste dieses Fensters verschieben,نقل التحديد الحالي إلى جزء آخر في النافذة
"Move the open folder out of the trash to ""%s""",Déplace le dossier ouvert de la corbeille vers « %s »,Den geöffneten Ordner aus dem Papierkorb nach »%s« verschieben,"نقل المجلد المفتوح من سلة المهملات إلى ""%s"""
Move the open folder to the Trash,Met le dossier ouvert à la corbeille,Den geöffneten Ordner in den Papierkorb verschieben,نقل المجلد المفتوح إلى سلة المهملات
Move this folder to the Trash,Met ce dossier à la corbeille,Diesen Ordner in den Papierkorb verschieben,نقل هذا المجلد إلى سلة المهملات
Move to Trash,Mettre à la corbeille,In den Papierkorb verschieben,أنقل إلى المهملات
Move to trash,Déplacer vers la corbeille,In den Papierkorb verschieben,نقل إلى سلّة المهملات
"Moving ""%B"" to ""%B""",Déplacement de « %B » vers « %B »,»%B« wird nach »%B« verschoben,"نقل ""%B"" إلى ""%B"""
Moving Files,Déplacement des fichiers,Dateien werden verschoben,نقل الملفات
"Moving file %'d of %'d (in ""%B"") to ""%B""",Déplacement du fichier %'d sur %'d (de « %B ») vers « %B »,Datei %'d von %'d (in »%B«) wird nach »%B« verschoben,"نقل %'d ملف من %'d (في ""%B"") إلى ""%B"""
"Moving file %'d of %'d to ""%B""",Déplacement du fichier %'d sur %'d vers « %B »,Datei %'d von %'d wird nach »%B« verschoben,"نقل %'d ملف من %'d إلى ""%B"""
Moving files to trash,Mise à la corbeille des fichiers,Dateien werden in den Papierkorb verschoben,نقل الملفات إلى سلة المهملات
My Computer,Poste de travail,Mein Rechner,الكمبيوتر
Name,Nom,Name,الاسم
Name: %s,Nom : %s,Name: %s,الاسم: %s
Navigate to the folder that the selected item is stored in,Naviguer jusqu'au dossier contenant l'élément sélectionné,"Den Ordner öffnen, der das ausgewählte Element enthält",انتقل إلى المجلد الذي تم تخزين العنصر المحدد فيه
Navigate to the original file that this symbolic link points to,Naviguer jusqu'au fichier d'origine auquel ce lien symbolique fait référence,"Zur Originaldatei navigieren, zu welcher diese symbolische Verknüpfung zeigt.",انتقل إلى الملف الأصلي الذي يشير إليه هذا الرابط الرمزي
Navigation,Navigation,Navigation,التنقل
Nemo,Nemo,Nemo,Nemo
"Nemo cannot handle ""%s"" locations.",Nemo ne peut pas gérer les emplacements « %s ».,Nemo kann Orte wie »%s« nicht verarbeiten.,"لا يمكن لـNemo التعامل مع المواقع ""%s""."
Nemo cannot handle this kind of location.,Nemo ne peut pas gérer ce type d'emplacement.,Nemo kann diese Art von Ort nicht verarbeiten.,لا يمكن لـNemo التعامل مع هذا النوع من الموقع.
"Nemo could not create the required folder ""%s"".","Nemo n'a pas pu créer le dossier nécessaire ""%s"".",Nemo konnte den benötigten Ordner »%s« nicht anlegen.,"تعذر على Nemo إنشاء المجلد المطلوب ""%s""."
Nemo has no installed viewer capable of displaying the folder.,Nemo n'a aucun visionneur installé capable d'afficher le dossier.,Nemo hat keinen installierten Betrachter der diesen Ordner darstellen kann.,لا يحتوي Nemo على عارض مثبت قادر على عرض المجلد.
"Nemo is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the GNU General Public License for more details.","Nemo est distribué dans l'espoir d'être utile, mais SANS AUCUNE GARANTIE ; sans même la garantie implicite de COMMERCIALISABILITÉ ou D'ADÉQUATION À UN USAGE PARTICULIER. Voir la GNU General Public License pour plus de détails.","Nemo wird verteilt in der Hoffnung dass es Brauchbar sein möge, aber OHNE JEGLICHE GEWÄHRLEISTUNG; selbst ohne die ausdrückliche Gewährleistung der MARKTFÄHIGKEIT oder EIGNUNG FÜR EINEN BESTIMMTEN ZWECK. Siehe die GNU General Public License für Einzelheiten.",يتم توزيع Nemo على أمل أنه سيكون مفيداً، ولكن بدون أي ضمانات؛ وبدون حتى الضمان الضمني للرواج أو الملاءمة لغرض معين. انظر رخصة GNU العمومية للحصول على مزيد من التفاصيل.
"Nemo is free software; you can redistribute it and/or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version 2 of the License, or (at your option) any later version.","Nemo est un logiciel libre ; vous pouvez le redistribuer et/ou le modifier suivant les termes de la GNU General Public License telle que publiée par la Free Software Foundation ; soit en version 2 de la licence, soit (à votre gré) en toute version ultérieure.","Nemo ist freie Software und kann, unter den Bedingungen der GNU General Public License wie durch die Freie Software Stiftung veröffentlicht, als solche nach belieben weiter verteilt und/oder modifiziert werden; entweder unter Version 2 der Lizenz, oder (wie Sie möchten) gemäß irgend einer späteren Version.",إن Nemo هو برمجيات حرة. يمكنك إعادة توزيعها / أو تعديلها بموجب شروط رخصة GNU العمومية كما نشرتها مؤسسة البرمجيات الحرة؛ إما بالإصدار 2 من الترخيص، أو (حسب اختيارك) أي إصدار لاحق.
"Nemo lets you organize files and folders, both on your computer and online.","Nemo vous permet d'organiser les fichiers et dossiers, aussi bien sur votre ordinateur qu'en ligne.","Mit Nemo können Ordner und Dateien verwaltet werden, sowohl auf Ihrem Rechner als auch im Internet.",يتيح لك Nemo تنظيم الملفات والمجلدات، سواء على الكمبيوتر أو عبر الإنترنت.
Nemo's main menu is now hidden,Le menu principal de Nemo est maintenant caché,Nemos Hauptmenü ist nun ausgeblendet,يتم إخفاء القائمة الرئيسية Nemo الآن
Network,Réseau,Netzwerk,الشبكة
Never,Jamais,nie,كلا
New Tab,Nouvel onglet,Neuer Reiter,علامة تبويب جديدة
New Window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
New folder,Nouveau dossier,Neuer Ordner,مجلد جديد
New tab,Nouvel onglet,Neuer Reiter,لسان جديد
New window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
Next,Suivant,Vorwärts,التّالي
No,Non,Nein,لا
No actions found,Aucune action n’a été trouvée,Keine Aktionen gefunden,لم يتم العثور على أي إجراءات
No bookmarks defined,Aucun marque-page n’a été défini,Keine Lesezeichen vorhanden,لا توجد إشارات مرجعية محددة
No desktop icons,Pas d'icônes de bureau,Keine Schreibtischsymbole,لا يوجد أيقونات لسطح المكتب
No extensions found,Aucune extension trouvée,Keine Erweiterungen gefunden,لم يتم العثور على ملحقات
No files found,Aucun fichier trouvé,Keine Dateien gefunden,لم يتم العثور على ملفات
No scripts found,Aucun script trouvé,Keine Skripte gefunden,لم يتم العثور على برامج نصية
No templates installed,Aucun modèle installé,Keine Vorlagen installiert,لا توجد قوالب مثبتة
None,Aucun,Keine,لا شيء
Normal,Normale,Normal,عادي
Normal Size,Taille normale,Normale Größe,الحجم العادي
Not a valid executable.  Spaces in the file path must be escaped with backslash (\).,Exécutable non valide. Les espaces dans le chemin doivent être précédés d'anti-slash (\).,Die ausführbare Datei ist nicht gültig. Leerstellen im Pfad müssen mit Rückstrich (\) ausgeschlossen werden.,غيرصالح للتنفيذ. يجب أن يتم إخلاء المسافات في مسار الملف مع خط مائل عكسي (\).
Not allowed to set group,Vous n'êtes pas autorisé à définir le groupe,Einstellen der Gruppe nicht erlaubt,غير مسموح بتعيين المجموعة
Not allowed to set owner,Vous n'êtes pas autorisé à définir le propriétaire,Einstellen des Besitzers ist nicht erlaubt,غير مسموح بتعيين المالك
Not allowed to set permissions,Vous n'êtes pas autorisé à définir les permissions,Einstellen der Zugriffsrechte ist nicht erlaubt,غير مسموح بتعيين الأذونات
Not supported in this location,Emplacement non pris en charge,An diesem Ort nicht unterstützt,غير مدعوم في الموقع الحالي
Octal Permissions,Permissions en octal,Oktale Zugriffsrechte,أذونات Octal
Only create windows for explicitly specified URIs.,Ne créer de nouvelles fenêtres que pour les URI explicitement spécifiés.,Nur für ausdrücklich angegebene Adressen die Fenster erstellen.,إنشاء النوافذ لـURIs المحددة بشكل واضح فقط.
Open,Ouvrir,Öffnen,افتح
Open %s,Ouvrir %s,%s öffnen,فتح %s
"Open Expo to add, remove, or organize workspaces",Ouvrir Expo pour gérer les espaces de travail,"Arbeitsflächenübersicht öffnen, um Arbeitsflächen hinzuzufügen, zu entfernen oder zu organisieren",فتح Expo لإضافة أو إزالة أو تنظيم مساحات العمل
Open File and Close window,Ouvrir le fichier et fermer la fenêtre,Datei öffnen und Fenster schließen,فتح الملف وإغلاق النافذة
Open URIs in an existing window.,Ouvrir les adresses dans une fenêtre existante.,Adressen in einem bestehenden Fenster öffnen.,إفتح URIs في النوافذ الموجودة.
Open URIs in tabs.,Ouvrir les URIs dans des onglets,Adressen in Reitern öffnen.,إفتح URIs في ألسنة.
Open With,Ouvrir avec,Öffnen mit,فتح باستخدام
Open With,Ouvrir avec,Öffnen Mit,فتح باستخدام
Open With %s,Ouvrir avec %s,Mit %s öffnen,فتح باستخدام %s
Open With Other Application...,Ouvrir avec une autre application…,Mit anderer Anwendung öffnen …,فتح باستخدام تطبيق آخر...
Open Parent,Ouvrir le dossier parent,Übergeordneten Ordner öffnen,فتح الأصل
Open a terminal in the active folder,Ouvrir un terminal dans le dossier courant,Terminal im aktiven Ordner öffnen,فتح المجلد النشط في محطة الطرفية
"Open all files of type ""%s"" with",Ouvrir tous les fichiers de type « %s » avec,Alle Dateien des Typs »%s« öffnen mit,"فتح جميع الملفات من نوع ""%s"" باستخدام"
Open an extra folder view side-by-side,Affiche une autre vue du dossier dans un panneau supplémentaire disposé à côté,Eine weitere Ordneransicht nebeneinander öffnen,فتح عرض المجلد الإضافي جنباً إلى جنب
Open another Nemo window for the displayed location,Ouvre une nouvelle fenêtre de Nemo pour l'emplacement affiché,Ein neues Nemo-Fenster für den angezeigten Ort öffnen,افتح نافذة Nemo أخرى للموقع المعروض
Open another tab for the displayed location,Ouvre un nouvel onglet pour l'emplacement affiché,Einen weiteren Reiter für diesen Ort öffnen,فتح علامة تبويب أخرى للموقع المعروض
Open as Root,Ouvrir en tant que superutilisateur,Als Systemverwalter öffnen,فتح كجذر
Open containing folder,Ouvrir le dossier contenant le fichier,Übergeordneten Ordner öffnen,فتح المجلد المحتوي
Open each folder in its own window,Ouvrir chaque dossier dans sa fenêtre propre,Jeden Ordner in seinem eigenen Fenster öffnen,فتح كل مجلد في النافذة الخاصة به
Open each selected item in a navigation window,Ouvre chaque élément sélectionné dans une fenêtre de navigation,Jedes gewählte Objekt in einem einzelnen Navigationsfenster öffnen,فتح كل عنصر محدد في نافذة التنقل
Open each selected item in a new tab,Ouvre chaque élément sélectionné dans un nouvel onglet,Jedes gewählte Objekt in einem neuen Reiter öffnen,فتح كل عنصر محدد في علامة تبويب جديدة
Open in Navigation Window,Ouvrir dans une fenêtre de navigation,In Navigationsfenster öffnen,فتح في نافذة التنقل
Open in New Tab,Ouvrir dans un nouvel onglet,In neuem Reiter öffnen,فتح في علامة تبويب جديدة
Open in New Window,Ouvrir dans une nouvelle fenêtre,In neuem Fenster öffnen,فتح في نافذة جديدة
Open in Terminal,Ouvrir dans un terminal,Im Terminal öffnen,فتح في محطة الطرفية
Open in new tab,Ouvrir dans un nouvel onglet,In neuem Reiter öffnen,افتح في لسان جديد
Open in new window,Ouvrir dans une nouvelle fenêtre,In neuem Fenster öffnen,افتح في نافذة جديدة
Open in terminal,Ouvrir dans un terminal,Im Terminal öffnen,إفتح في الطرفية
Open item location (recent files and search only),Ouvrir l'emplacement (fichiers récents et recherches),Ort des Elements öffnen (nur letzte Dateien und Suche),افتح موقع الملف (البحث والملفات الأخيرة فقط)
Open terminal in the selected folder,Ouvre un terminal dans le dossier sélectionné,Terminal im gewähltem Ordner öffnen,فتح المجلد المحدد في محطة الطرفية
"Open the contents of the File System
%s","Ouvrir le contenu du Système de fichiers
%s","Die Inhalte des Dateisystems öffnen
%s","فتح محتويات نظام الملفات
%s"
Open the contents of your desktop in a folder,Ouvre le contenu de votre bureau dans un dossier,Den Inhalt des Schreibtisches in einem Ordner öffnen,فتح محتويات سطح المكتب في المجلد
Open the folder with administration privileges,Ouvre le dossier avec les privilèges de l'administrateur,Ordner mit Administratorrechten öffnen,فتح المجلد بامتيازات المسؤول
Open the parent folder,Ouvre le dossier parent,Den übergeordneten Ordner öffnen,فتح المجلد الأصلي
Open the selected item in this window,Ouvre l'élément sélectionné dans cette fenêtre,Das gewählte Objekt in diesem Fenster öffnen,فتح العنصر المحدد في هذه النافذة
Open the trash,Ouvrir la corbeille,Papierkorb öffnen,فتح سلة المهملات
Open this folder in a navigation window,Ouvre ce dossier dans une fenêtre de navigation,Diesen Ordner in einem einzelnen Navigationsfenster öffnen,فتح هذا المجلد في نافذة التنقل
Open this folder in a new tab,Ouvre ce dossier dans un nouvel onglet,Diesen Ordner in einem neuen Reiter öffnen,فتح هذا المجلد في علامة تبويب جديدة
Open with,Ouvrir avec,Öffnen mit,فتح باستخدام
Open your personal folder,Ouvrir votre dossier personnel,Persönlichen Ordner öffnen,فتح مجلدك الشخصي
"Open your personal folder
%s","Ouvrir votre dossier personnel
%s","Persönlichen Ordner öffnen
%s","فتح مجلدك الشخصي
%s"
Open your personal templates folder,Ouvre votre dossier des modèles personnels,Persönlichen Vorlagenordner öffnen,فتح مجلد القوالب الشخصية
Open your personal trash folder,Ouvre votre corbeille personnelle,Persönlichen Papierkorb öffnen,فتح مجلد المهملات الشخصية
Opening,Ouverture,Wird geöffnet,الفتح
"Opening ""%s"".",Ouverture de « %s ».,»%s« wird geöffnet.,"يتم فتح ""%s""."
Operation cancelled,Opération annulée,Vorgang abgebrochen,تم إلغاء العملية
Options,Options,Optionen,الخيارات
Original Location,Emplacement d'origine,Ursprungsort,الموقع الأصلي
Original file,Fichier original,Originaldatei,الملف الأصلي
Original location of file before moved to the Trash,Emplacement d'origine du fichier avant sa mise à la corbeille,Speicherort der Datei vor dem Löschen,الموقع الأصلي للملف قبل نقله إلى سلة المهملات
Other Application...,Autre application…,Andere Anwendung …,تطبيق أخر...
Others:,Autres :,Andere:,آخرى:
Owner,Propriétaire,Eigentümer,المالك
Owner:,Propriétaire :,Eigentümer:,المالك:
Pin,Épingler,Anheften,ثبّت
Password:,Mot de passe :,Passwort:,كلمه المرور:
Paste,Coller,Einfügen,لصق
Paste the text stored on the clipboard,Colle le texte contenu dans le presse-papiers,Einfügen des in der Zwischenablage gespeicherten Texts,لصق النص المخزن فى الحافظة
Perform a quick set of self-check tests.,Lancer un jeu de tests rapides d'auto-contrôle.,Eine Reihe schneller Selbsttests durchführen.,إجراء مجموعة سريعة من اختبارات الفحص الذاتي.
Permissions,Permissions,Zugriffsrechte,الأذونات
Pin the selected file so it always appears at the top of this location's file list,"Épingler le fichier sélectionné, afin qu’il apparaisse toujours en haut de la liste de fichiers de cet emplacement","Die ausgewählte Datei anheften, so dass sie immer ganz oben in der Dateiliste dieses Ortes erscheint.",ثبت الملف المحدد لكي يصبح في أعلى قائمة ملفات الموقع الحالي بشكل دائم.
Pin/Unpin selection,Épingler/désépingler la sélection,Auswahl anheften/aufheben,ثبّت/أزل-تثبيت المحدد
Places,Emplacements,Orte,الأماكن
Please check the spelling and try again.,Vérifiez l'orthographe et essayez à nouveau.,Bitte überprüfen Sie die Schreibweise und versuchen Sie es erneut.,يرجى التدقيق الإملائي وحاول مرة أخرى.
Please drag just one image to set a custom icon.,Ne faites glisser qu'une seule image pour définir une icône personnalisée.,"Bitte ziehen Sie immer nur ein Bild, um ein benutzerdefiniertes Symbol festzulegen.",يرجى سحب صورة واحدة فقط لتعيين أيقونة مخصصة.
Please verify your user details.,Veuillez vérifier vos paramètres utilisateur.,Bitte überprüfen Sie Ihre Angaben.,يرجى التحقق من تفاصيل المستخدم الخاصة بك.
Plugins,Greffons,Module,المكونات الإضافية
Preferences,Préférences,Einstellungen,تفضيلات
Prepare the selected files to be copied with a Paste command,Prépare la copie des fichiers sélectionnés avec la commande « Coller »,"Die gewählten Dateien, auf das Kopieren, mit dem Einfügenbefehl, vorbereiten",تحضير الملفات المحددة ليتم نسخها باستخدام الأمر لصق
Prepare the selected files to be moved with a Paste command,Prépare le déplacement des fichiers sélectionnés avec la commande « Coller »,"Die gewählten Dateien, auf das Verschieben, mit dem Einfügenbefehl, vorbereiten",تحضير الملفات المحددة ليتم نقلها باستخدام الأمر لصق
Prepare this folder to be copied with a Paste command,Prépare la copie de ce dossier avec la commande « Coller »,Diesen Ordner auf Kopieren mit »Einfügen« vorbereiten,تحضير هذا المجلد ليتم نسخه باستخدام الأمر لصق
Prepare this folder to be moved with a Paste command,Prépare le déplacement de ce dossier avec la commande « Coller »,Diesen Ordner auf Verschieben mit »Einfügen« vorbereiten,تحضير هذا المجلد ليتم نقله باستخدام الأمر لصق
Preparing,En préparation,Vorbereitung,التجهيز
"Preparing to Move to ""%B""",Préparation du déplacement vers « %B »,Verschieben nach »%B« wird vorbereitet …,"التحضير للنقل إلى ""%B"""
Presentation,Présentation,Präsentation,عرض تقديمي
Preview,Prévisualisation,Vorschau,معاينة
Previous,Précédent,Zurück,السّابق
Print but do not open the URI,"Imprimer, mais sans ouvrir l'URI","Drucken, aber nicht die Adresse öffnen",الطباعة ولكن لا تفتح URI
Program,Application,Programm,البرنامج
Prompt or autorun/autostart programs when media are inserted,Demander ou lancer automatiquement des programmes à l'insertion des médias,"Eingabeaufforderung oder Programme automatisch starten, wenn ein Medium eingesteckt/eingelegt wurde",مطالبة أو تشغيل تلقائي/بدء تلقائي عندما يتم إدراج وسائط
Properties,Propriétés,Eigenschaften,الخصائص
Public FTP,FTP public,Öffentlicher FTP,FTP العام
Quit Nemo Desktop.,Quitter Nemo Desktop.,Nemo-Schreibtisch beenden.,إنهاء سطح مكتب Nemo.
Quit Nemo.,Quitter Nemo.,Nemo beenden.,إنهاء Nemo.
Rating,Évaluation,Bewertung,التقييم
Rename,Renommer,Umbenennen,إعادة تسمية
Reversed Order,Ordre inversé,Umgekehrte Reihenfolge,ترتيب معكوس
Read and write,Lecture et écriture,Lesen und schreiben,القراءة والكتابة
Read-only,Lecture seule,Nur lesen,قراءة-فقط
Recent,Récent,Kürzlich,الأخيرة
Recent files,Fichiers récents,Kürzlich verwendete Dateien,الملفات الأخيرة
Redo Edit,Rétablir la modification,Bearbeiten wiederherstellen,إعادة تحرير
Redo last undone action,Rétablit la dernière action annulée,Die zuletzt rückgängig gemachte Aktion wiederholen,إعادة إجراء التراجع الأخير
Redo the edit,Rétablit la modification,Die Bearbeitung wiederherstellen,إعادة التحرير
Redo the last undone action,Rétablit la dernière action annulée,Die zuletzt rückgängig gemachte Aktion wiederherstellen,إعادة إجراء التراجع الأخير
Refresh,Actualiser,Auffrischen,حدّث
Refresh view,Actualiser la vue,﻿Ansicht auffrischen,إعادة تحديث العرض
Regular expression,Expression régulière,Regulärer Ausdruck,تعبير نمطي
Reload the current location,Actualise l'emplacement actuel,Den aktuellen Ort aktualisieren,إعادة تحميل الموقع الحالي
Remove from Recent,Enlever des récents,Aus »Kürzlich« entfernen,إزالة من الأخيرة
Remove,Supprimer,Entfernen,إزالة
Remove each selected item from the recently used list,Enlève tous les éléments sélectionnés de la liste des fichiers récents,Jedes gewählte Objekt von der Liste zuletzt verwendeter entfernen,إزالة كل عنصر محدد من القائمة المستخدمة مؤخراً
Remove from favorites,Retirer des favoris,Aus Favoriten entfernen,أزل من المفضّلة
Remove the currently active workspace,Supprimer l'espace de travail actif,Die aktuell aktive Arbeitsfläche entfernen,إزالة مساحة العمل النشطة حالياً
Remove the selected file from your favorites,Retirer le fichier sélectionné de vos favoris,Die ausgewählte Datei aus Ihren Favoriten entfernen,أزل الملف المحدد من المفضّلة الخاصة بك
Remove workspace,Supprimer l'espace de travail,Arbeitsfläche entfernen,إزالة مساحة العمل
Rename,Renommer,Umbenennen,إعادة تسمية
Rename '%s' as '%s',Renommer « %s » en « %s »,»%s« in »%s« umbenennen,إعادة تسمية '%s' كـ'%s'
Rename selected item,Renomme l'élément sélectionné,Ausgewähltes Objekt umbenennen,إعادة تسمية العنصر المحدد
"Renaming ""%s"" to ""%s"".",Renommage de « %s » en « %s ».,»%s« wird in »%s« umbenannt.,"إعادة تسمية ""%s"" إلى ""%s""."
Repair the user thumbnail cache - this can be useful if you're having trouble with file thumbnails.  Must be run as root,Réparer le cache de vignettes de l’utilisateur. Peut être pratique si vous avez des problèmes avec les vignettes. Cette commande doit être utilisée en tant que superutilisateur,"Bitte den Benutzervorschaubildpuffer reparieren - das kann nützlich sein, wenn Sie Probleme mit den Vorschaubildern haben. Muss als Systemverwalter ausgeführt werden.",إصلاح ذاكرة التخزين المؤقت المصغرة للمستخدم - قد يكون هذا مفيداً إذا كنت تواجه مشكلة في الصور المصغرة للملفات. يجب أن يتم تشغيله كجذر
Replace,Remplacer,Ersetzen,استبدال
Replace All,Tout remplacer,Alle ersetzen,استبدال الكل
"Replace file ""%s""?",Remplacer le fichier « %s » ?,Datei »%s« ersetzen?,"استبدال الملف ""%s""؟"
"Replace folder ""%s""?",Remplacer le dossier « %s » ?,Ordner »%s« ersetzen?,"استبدل المجلد ""%s""؟"
Replace with,Remplacer par,Ersetzen mit,استبدال مع
Replacing it will overwrite its content.,Son remplacement écrasera son contenu.,Ersetzen wird den gesamten Inhalt überschreiben.,سيؤدي استبداله إلى الكتابة فوق محتواه.
Replacing it will remove all files in the folder.,Le remplacement de ce dossier supprimera tous les fichiers qu'il contient.,Ersetzen führt zur Löschung aller vorhandenen Dateien in diesem Ordner.,سيؤدي استبداله إلى إزالة جميع الملفات في المجلد.
Reposition icons to better fit in the window and avoid overlapping,Replace les icônes pour les disposer au mieux dans la fenêtre et éviter tout chevauchement,"Die Symbole neu anordnen, damit sie besser ins Fenster passen und sich nicht überlagern",تغيير موضع اﻷيقونات لتناسب النافذة بشكل أفضل وتجنب التداخل
Reset,Réinitialiser,Zurücksetzen,إعادة تعيين
Reset View to Defaults,Réinitialiser la vue aux valeurs par défaut,Ansicht auf Vorgaben zurücksetzen,إعادة تعيين العرض إلى الافتراضيات
Reset sorting order and zoom level to match preferences for this view,Applique à cette vue l'ordre de tri et le niveau de zoom indiqués dans les préférences,Sortierreihenfolge und Vergrößerungsstufe auf Vorgaben für diese Ansicht zurücksetzen,إعادة تعيين ترتيب الفرز ومستوى التكبير/التصغير لمطابقة تفضيلات هذا العرض
Reset to system defaults,Rétablir les valeurs par défaut,Auf Systemvorgabe zurücksetzen,إعادة تعيين إلى افتراضيات النظام
Reset zoom,Réinitialiser le zoom,Vergrößerung zurücksetzen,إعادة ضبط نسبة التكبير
Resize Icon...,Redimensionner l’icône…,Symbolgröße ändern …,تغيير حجم الأيقونة...
Restore '%s' from trash,Restaure « %s » depuis la corbeille,»%s« aus dem Papierkorb wiederherstellen,استعادة '%s' من سلة المهملات
Restore '%s' to '%s',Restaurer « %s » vers « %s »,»%s« nach »%s« wiederherstellen,استعادة '%s' إلى '%s'
Restore Icon's Original Size,Restaurer la taille initiale de l'icône,Symbolgröße wiederherstellen,استعادة حجم الأيقونة الأصلي
Restore Icons' Original Sizes,Restaurer la taille initiale des icônes,Originalgröße der Symbole wiederherstellen,استعادة احجام الأيقونات الأصلية
Restore Selected Items,Restaurer les éléments sélectionnés,Ausgewählte Objekte wiederherstellen,استعادة العناصر المحددة
Restore each selected icon to its original size,Redonne à chaque icône sa taille initiale,Alle gewählten Symbole auf Originalgröße zurücksetzen,استعادة كل اﻷيقونات المحددة لحجمها الأصلي
Restore group of '%s' to '%s',Restaurer le groupe de « %s » à « %s »,Gruppe von »%s« auf »%s« wiederherstellen,استعادة المجموعة من '%s' إلى '%s'
Restore original permissions of '%s',Restaurer les permissions d'origine de « %s »,Ursprüngliche Zugriffsrechte von »%s« wiederherstellen,استعادة الأذونات الأصلية لـ'%s'
Restore original permissions of items enclosed in '%s',Rétablir les permissions d'origine des éléments inclus dans « %s »,Ursprüngliche Zugriffsrechte aller Objekte in »%s« wiederherstellen,استعادة الأذونات الأصلية للعناصر الموجودة في '%s'
Restore owner of '%s' to '%s',Restaure le propriétaire de « %s » à « %s »,Eigentümer von »%s« als »%s« wiederherstellen,استعادة المالك من '%s' إلى '%s'
Restore selected items to their original position,Restaure les éléments sélectionnés à leur emplacement initial,Ausgewählte Objekte an ihrem ursprünglichen Ort wiederherstellen,استعادة العناصر المحددة إلى موضعها الأصلي
Reverse sort,Tri inversé,Sortierung umkehren,ترتيب عكسي
Revert,Rétablir,Rückgängig,تراجع
"Run ""%s"" on any selected items",Lance « %s » sur tous les éléments sélectionnés,»%s« mit allen gewählten Objekten starten,"تشغيل ""%s"" على أي عناصر محددة"
Run in Terminal,Lancer dans un terminal,Im Terminal ausführen,تشغيل في محطة الطرفية
Run scripts,Exécuter des scripts,Skripte ausführen,تشغيل البرامج النصية
SELinux Context,Contexte SELinux,SELinux-Kontext,سياق SELinux
SELinux context:,Contexte SELinux :,SELinux-Kontext:,سياق SELinux:
SSH,SSH,SSH,SSH
Skip All,Tout ignorer,Alle überspringen,تخطي الكل
Switch to Other Pane,Basculer vers l'autre panneau,Zur anderen Leiste wechseln,التبديل إلى جزء آخر
Same Location as Other Pane,Emplacement identique à l'autre panneau,Gleicher Ort wie andere Leiste,نفس الموقع كجزء آخر
Safely remove the drive associated with the open folder,Retire sans risque le volume associé au dossier ouvert,Das zum geöffneten Ordner gehörende Laufwerk sicher entfernen,إزالة محرك الأقراص المقترن بالمجلد المفتوح بأمان
Safely remove the selected drive,Retire le volume sélectionné sans risque,Gewähltes Laufwerk sicher entfernen,إزالة محرك الأقراص المحدد بأمان
Saved search,Recherche enregistrée,Gespeicherte Suche,البحث المحفوظ
Scripts,Scripts,Skripte,البرامج النصية
Scripts: All executable files in this folder will appear in the Scripts menu.,Scripts : tous les fichiers exécutables présents dans ce dossier apparaîtront dans le menu des scripts.,"Skripte: Alle ausführbaren Dateien, in diesem Ordner, werden im Skriptmenü erscheinen.",البرامج النصية: ستظهر جميع الملفات القابلة للتنفيذ في هذا المجلد في قائمة البرامج النصية.
Search,Rechercher,Suchen,إبحث
Search content:,Chercher du contenu :,Nach Inhalt suchen:,إبحث عن المضمون:
