Arabic Term,Definition (Arabic),Definition (English),English Term
"المُعالَجَةُ الدَوائِيَّةُ","التدخلات التي تتضمن تطهير الجسم من السموم والعلاج بشوابة الأفيون وبمواد مناهضة ذات المفعول الأفيوني.","Interventions that include cleansing the body of toxins and opium treatment And anti-opioid substances.","Pharmacological Treatment"
"المُعالَجَةُ الكِيمْيائِيَّةُ (لِلنُفاياتِ الخَطِرَةِ)","طرق معالجة تستخدم لإحداث التحلل الكامل للنفايات الخطرة وتحويلها إلى غازات غير سامة أو - في معظم الأحيان- لتعديل الخصائص الكيميائية للنفايات، مثلا عن طريق تخفيض قابلية الذوبان في المياه أو معادلة الحموضة أو القلوية.","Chemical treatment (of hazardous waste) refers to the treatment methods that are used to effect the complete breakdown of hazardous waste into non-toxic gases or, more frequently, to modify the chemical properties of the waste, for example, through reduction of water solubility or neutralisation of acidity or alkalinity.","Chemical Treatment (of Hazardous Waste)"
"المُعامَلاتُ المَصْرِفِيَّةُ الإلكترونِيَّةُ","عمليات مصرفية تتمّ باستخدام الإنترنت .","Banking operations conducted using the internet.","E-banking"
"المُعْتَمِرُ","هو الشخص المحرم سعودي أو غير سعودي ذكًرا أو أنثى الذي قام بتأدية مناسك العمرة خلال سنة الإحصاءات.","A person - Saudi or Non-Saudi, male or female - who performs Umrah during the year of the statistics.","Umrah Performer"
"المُقابَلاتُ الذاتِيَّةُ بِمُساعَدَةِ الكُمْبْيُوتَر","وهي طريقة لجمع المعلومات باستخدام الممسوحات الموجودة على شبكة الإنترنت من خلال طرق آمنة للمعلومات ويقوم بها مستجيب مُطّلع.","Collects data using questionnaires placed on the Internet using secure methods and completed by a knowledgeable respondent.","Computer-Assisted Self Interviewing (CASI)"
"المُقابَلاتُ الهاتِفِيَّةُ بِمُساعَدَةِ الكُمْبْيُوتَر","جمع بيانات الملكيات بالهاتف، مع وجود عامل التحويل في مستوى مركزي يقرأ ويستكمل الاستبيان على الكمبيوتر.","Collects data from the holdings by telephone, with the operator located at central level reading and completing the questionnaire on the computer.","Computer-Assisted Telephone Interview (CATI)"
"المُقِيمُ","هو أي فرد أو منشأة أو منظمة مقيمة داخل المملكة العربية السعودية ولديهم الرغبة بأن يقيموا بها لمدة تزيد عن سنة واحدة.","Any individual, establishment or organization residing in Saudi Arabia and want to reside in it for more than one year.","Resident"
"المُلُوحَةُ","درجة الأملاح الذائبة في الماء وتقاس بالوزن بأجزاء في الألف.","Degree of dissolved salts in water measured by weight in parts per thousand.","Salinity"
"المُمْتَلَكاتُ","تمتلك الوحدات المؤسسية السلع والخدمات حينما تصبح هذه الوحدات المؤسسية المالكة الجديدة للسلع أو عند إكمال تقديم الخدمات لها.","Goods (including assets) and services are acquired by institutional units when they become the new owners of the goods or when the delivery of services to them is completed","Acquisitions"
"المُناخُ","ظروف الجوفي موقع معين (مناخ منطقة صغيرة) على مدى فترة زمنية طويلة وهو المحصلة الطويلة المدى للعناصر الجوية وتغيراتها مثل الحرارة، الإشعاع الشمسي، الرطوبة، الضغط الجوي، نوع الهطول المطري، تواتره وكميته، والرياح (سرعتها واتجاها) .","Climate refers to the condition of the atmosphere at a particular location (microclimate) or region over a long period of time. It is the long-term summation of atmospheric elements – such as solar radiation, temperature, humidity, precipitation type (frequency and amount) , atmospheric pressure and wind (speed and direction) – and their variations.","Climate"
"المُنْتَجاتُ العُضْوِيَّةُ","تعرف المنتجات العضوية بأّنها المنتجات التي تّمت زراعتها أو إنتاجها دون استخدام الهرمونات المعدلة وراثيًا أو المواد الكيميائية، كالمواد الحافظة والمنكهات، حيث يعتمد الُمَزارع في إنتاجه للمحاصيل على استخدام الأسمدة الطبيعية؛ من أجل تقوية وزيادة نمو النباتات حّتى يتّم تصنيفها ضمن الأغذية العضوية، وتتكون من نوعين (المنتجات العضوية الحيوانية والمنتجات العضوية النباتية) .","Organic products are defined as products that were grown or produced without use of genetically modified hormones or chemicals, such as preservatives and flavourings. In producing crops, the farmer resorts to using natural fertilizers; in order to strengthen and increase plant growth so that it is classified as organic food, it consists of animal organic products and organic plant products","Organic Products"
"المُنْشَأَةُ","هي وحدة اقتصادية ذات كيان قانوني (لديها سجل تجاري) تزاول نشاطًا اقتصادًيا محددا يملكها شخص، أو مجموعة أشخاص، أو شركة، أو قطاع شبه حكومي، أو مؤسسة.","An economic unit with a legal entity (having a commercial register) engaged in a specific economic activity owned by an individual, group of individuals, company, semi governmental sector, or institution.","Establishment"
"المِساحَةُ الكُلِّيَّةُ لِلحِيازَةِ","هي مساحة كل أجزاء الحيازة مجتمعة، بما في ذلك المساحة المملوكة أو المساحة المستأجرة من آخرين وأي مساحات يحوزها الحائز وفق حقوق استغلال أخرى، 'ويستبعد منها المساحة التي يملكها الحائز إذا كان قد قام بتأجيرها للآخرين'، وتتكون الحيازة من الأراضي المزروعة والأراضي المشغولة ببيت المزرعة وحظائر الحيوانات والساحات والطرق، وتقاس المساحة للحيازة بالدونم والذي يعادل 1000 متر مربع، وتنقسم المساحة الكلية للحيازة حسب نظام حيازة الأرض.","It is the area of all parts of the holding put together, including the owned area or the area rented from others and any areas held by the holder in accordance with other exploitation rights. The total area of the holding excludes the holder's area if it is rented to other. The holding consists of cultivated lands and lands occupied with a farmhouse, animal shelters, yards and roads. Dunam is used as a measurement unit to measure the holding area. One dunam is equivalent to 1,000 square meters.","Total Area of the Holding"
"المِنْطَقَةُ الإِدارِيَّةُ","هي جزء من المملكة العربية السعودية يشرف على إدارتها جهاز حكومي تابع مباشرة لوزارة الداخلية مثل منطقة الرياض ومنطقة مكة المكرمة، ويوجد في كل منطقة إدارية مدينة تكون مقرًا لإمارتها.","Part of Saudi Arabia managed by a governmental agency directly under the Ministry of Interior, such as the Riyadh Region or the Makkah Region. Each administrative region has a city that serves as the headquarters for its Principality.","Administrative Region"
"المِنْطَقَةُ المَبْنِيَّةُ","وهي عبارة عن الأراضي التي تحمل المباني بجميع أنواعها، بالإضافة إلى أي سطح يصنف على أنه سطح اصطناعي مثل الطرق المعبد كما تشمل هذه الأراضي المكشوفة ذات الاتصال المباشر بالمناطق المبنية.","A land that carries buildings of all kinds, in addition to any surface classified as artificial surface such as paved roads and includes these exposed lands directly connected to the built areas.","Built-up Area"
"المِهْنَةُ الرَئِيسِيَّةُ","هي الحرفة أو نوع العمل الذي يباشره الفرد إذا كان مشتغلًا أو الذي باشره سابقًا إذا كان متعطلًا سبق له العمل، والمقصود بالمهنة الرئيسية هي المهنة التي يقضي فيها المشتغل أكثر من نصف وقت العمل أو الأكثر تكرارًا خلال الأشهر الثلاثة السابقة للفترة المرجعية.","The job or type of work preformed by the employed person or used to be performed by the unemployed ever worked. The occupation refers to the activity in which the employed works more than half of work hours or the most frequent job during the last three months before reference data.","Main Occupation"
"المِياهُ","وهي المناطق التي توجد فيها المياه بشكل رئيسي على مدار العام أو (معظم أيام السنة) .","These are areas where water is found mainly throughout the year (or most days of the year) .","Water"
"المِياهُ الجَوْفِيَّةُ","هي مياه عذبة أو مالحة توجد تحت سطح الأرض (عادة في مستودعات المياه الجوفية) وتزود الآبار بالمياه.","Underground fresh water or saline water (usually in aquifers) supplies water to wells.","Groundwater"
"المِياهُ السَطْحِيَّةُ","كل المياه المكشوفة للغلاف الجوي، وتشمل الأنهار، والبحيرات، والخزانات، والجداول المائية، وأماكن الاحتجاز، والبحار والمصبات وسواها، ويشمل المصطلح أيضا الينابيع والآبار، ومستجمعات المياه الأخرى التي تتأثر مباشرة بالمياه السطحية.","All water naturally open to the atmosphere, including rivers, lakes, reservoirs, streams, impoundment’s, seas, estuaries and so on. The term also covers springs, wells or other collectors of water that are directly influenced by surface waters.","Surface Water"
"المِياهُ العَذْبَةُ","هي مياه تظهر طبيعيا، وتركيز الأملاح فيها منخفض، وُتقبل بصفة عامة كمياه ملائمة للاستخراج والمعالجة لإنتاج مياه صالحة للشرب.","Water with low salts concentration, and it is considered suitable water for extraction and treatment to produce potable water.","Fresh Water"
"المِيزانُ التِجارِيُّ","هو الفرق بين قيمة الصادرات والواردات خلال فترة معينة من الزمن.","The difference between the value of exports and imports during a certain period of time.","Trade Balance"
"المِيزانُ الخارِجِي الجارِي","هو بند توازن في الحساب الخارجي للدخول الأولية والتحويلات الجارية.","The current external balance is the balancing item in the external account of primary income and current transfers","Current External Balance"
"المِيناءُ","منشأة ساحلية تتكون من مرفأ أو أكثر، تقام على سواحل، أو شواطئ البحار، أو المحيطات، أو الأنهار، أو البحيرات، يتم فيها عمليات تفريغ وتحميل السفن بالبضائع أو الركاب وتحتوي الموانئ على الرافعات والأرصفة والمخازن للسفن.","A maritime facility comprising one or more wharves established on the coasts or shores of seas, oceans, rivers, or lakes, where ships load and discharge cargo and passengers. Ports contain cranes, berths and stores for ships.","Port"
"الناتِجُ الصافِي لِلقِطاعِ","هو مجموع مبيعات نواتج المؤسسات في القطاع إلى قطاعات الاقتصاد الأخرى. الناتج الإجمالي للقطاع أقل من مبيعات ناتج القطاع داخل القطاع.","The sum of the sales of output of the establishments in the sector to other sectors of the economy. Gross sector output for the sector less the sales of the sector’s output within the sector.","Net Sector Output"
"الناتِجُ المَحَلِّيُّ الإِجْمالِيُّ","هو القيمة النقدية (السوقية) لجميع السلع والخدمات النهائية المنتجة في اقتصاد ما خلال فترة معينة عادة تكون سنة.","The monetary (market) value of all final goods and services produced in an economy during a given period, usually a year.","Gross Domestic Product (GDP)"
"النَباتاتُ المَغْمُورَةُ","المناطق التي تضم أي نوع من النباتات (أعشاب، أشجار أو شجيرات) مع اختلاط واضح للمياه في معظم أيام السنة ومن أمثلتها أشجار المانغروف.","Areas that include any type of plant (grass, trees, or shrubs) with clear mixing of water on most days of the year, such as mangroves.","Submerged Plants"
"النَزِيلُ","هو الشخص الذي يسجل دخول في منشأة القامة ويمكث ليلة واحدة على الأقل فيها.","A person who check-in at the residence facility and stays at least one night there.","Guest"
"النَشاطُ الاِقْتِصادِيُّ","هو جميع ما تمارسه أو تقدمه المنشأة من أعمال أو خدمات تحقق لها عائدًا، وأحيانًا لا تجني المنشأة من أعمالها مردودًا ماديًا كما هو الحال في الجمعيات الخيرية التي تعتمد على التبرعـات، وفي حالة وجود نشاطين اقتصاديين أو أكثر للمنشأة الواحدة يتم اختيار النشاط الاقتصادي الأكثر إيرادًا. يعتمد تصنيف النشـاط الاقتصادي للمنشآت على الدليل الدولي للتصنيف الصنـاعي (ISIC REV. 4) .","All the activities or services practiced or provided by the establishment. It might be profitable, or non-profitable (as is the case with charities which depend upon donations. ) . In the case of multiple economic activities for a single establishment, the economic activity with the highest revenue is selected. Classification of the economic activity of the establishments relies on International Standard Industrial Classification (ISIC REV. 4) .","Economic Activity"
"النَشاطُ الرَئِيسِيُّ لِلحِيازَةِ","هو النشاط الغالب الذي تمارسه الحيازة فعلًا والذي يتفق مع عائدها الاقتصادي بحيث يمثل أكثر من 50% من العائد السنوي لهذه الحيازة، ولأغراض المسوح الزراعية فقد تم تقسيم النشاط الرئيس للحيازة إلى خمسة أقسام هي: نباتية: هو النشاط الذي يمثل أكثر من 50% من العائد السنوي للحيازة المتحقق خلال السنة الزراعية من مختلف أنواع المحاصيل الدائمة والمؤقتة الصيفية والشتوية. حيوانية: هو النشاط الذي يمثل أكثر من 50% من العائد السنوي للحيازة المتحقق خلال السنة الزراعية من مختلف أنواع الثروة الحيوانية الحيوانات التي تربى في الحيازة (كالضأن، أو الماعز أو الإبل أو الأبقار أو حيوانات الجر والركوب وغيرها) . دواجن: هو النشاط الذي يمثل أكثر من 50% من العائد السنوي للحيازة المتحقق خلال السنة الزراعية من مختلف أنواع الدواجن (كالدجاج اللاحم، الدجاج البياض، أمهات الدجاج، جدات الدجاج، الدواجن البلدية وغيرها من الطيور الداجنة كالنعام أو البط أو الإوز أو السمان . . . ) كما تصنف الأرانب من الدواجن. أسماك: هو النشاط الذي يمثل أكثر من 50% من العائد السنوي للحيازة المتحقق خلال السنة الزراعية من تربية واستزراع الأسماك في المياه الداخلية والبحرية كمزارع الأسماك المتخصصة في إنتاج الأسماك أو الروبيان. مختلطة: هو النشاط المتنوع في الحيازة والذي لا يشكل في أي من مكوناته نسبة تصل إلى أكثر من 50% من العائد السنوي للحيازة المتحقق خلال السنة الزراعية، ويشترط أن تمارس الحيازة ثلاثة أنشطة مختلفة فأكثر من الأنشطة التالية: (نباتية، حيوانية، دواجن، أسماك) وكلًا منها تمثل أقل من 50% من نشاطها.","The predominant activity practiced by the holding, which is consistent with its economic return, so that it represents more than 50% of the annual return of this holding, and for the purposes of agricultural surveys, the main activity of holding has been divided into five sections: 1. Plant: It is the activity that represents more than 50% of the annual revenue of the holding achieved during the agricultural year from various types of permanent, summer, and winter crops. 2. Livestock: It is the activity that represents more than 50% of the annual return of possession achieved during the agricultural year from various types of livestock, animals raised in possession (such as sheep, goats, camels, cows, draught animals, etc. ) as well as beehives. 3. Poultry: The activity that represents more than 50% of the annual yield of tenure achieved during the agricultural year from various types of poultry (broiler chicken, white chicken, chicken mothers, chicken grandmothers, municipal poultry and other poultry such as ostrich, duck, geese, quail, etc. ) Rabbits are also classified as poultry. 4. Fish: It is the activity that represents more than 50% of the annual return of tenure achieved during the agricultural year from fish farming and cultivation in inland waters such as fish farms specialized in fish or shrimp production. 5. Mixed: It is the diversified activity in the holding, which does not constitute in any of its components up to more than 50% of the annual return of holding achieved during the agricultural year, and the acquisition is required to practice three or more different activities from the following activities: (Plants, animals, poultry, fish) , each of which represents less than 50% of its activity.","Main Activity of Holding"
"النَفَقاتُ التَشْغِيلِيَّةُ","هي المستلزمات السلعية والخدمية والتي تمثل جميع ما تنفقه المنشأة نتيجة مزاولة النشاط الاقتصادي الذي تقوم به، سواء كانت هذه المستلزمات مشتراة في نفس العام أو مسحوبة من مخزون تم شراؤه في سنوات سابقة.","Goods supplies and services which cover all payments made by the establishment to practice an economic activity, whether purchased in the same year or taken from stocks purchased in previous years.","Operating Expenses"
"النَقْلُ","سيارة معدة لنقل الحيوانات والأشياء، وتنقسم إلى نوعين: نقل عام: لنقل الحيوانات والأشياء والبضائع بأجر. نقل خاص: لنقل الحيوانات والأشياء والبضائع دون أجر.","A vehicle designed to transport animals and goods, divided into two types: - Public transport: for transporting animals, goods, and cargo for a fee. - Private transport: for transporting animals, goods, and cargo without charge.","Transport"
"النَقْلُ البَحْرِيُّ التِجارِيُّ","النقل البحري التجاري لأغراض تجارية مقابل أجور (أي الاستئجار والمكافأة) أو لحساب المشروع نفسه جزء من نشاط اقتصادي أوسع.","Sea transport undertaken for commercial purposes either for payment (i. e. hire and reward) or on the enterprise’s own account as part of a wider economic activity.","Commercial Sea Transport"
"النَقْلُ البَرِّيُّ","يشمل نقل الركاب والبضائع داخل المدن والضواحي أو بين المدن أو دوليا.","Includes the transportation of passengers and goods within cities and suburbs, between cities, or internationally.","Land Transport"
"النَقْلُ المُوَجَّهُ","هو نشاط نقل الركاب، بتوجيه سيارات الأجرة الخاصة أو السيارات الخاصة لنقل الركاب بأجر بواسطة تطبيقات الأجهزة الذكية.","The activity of transporting passengers by directing private taxis or private cars for a fee through smart device applications.","Directed Transportation"
"النَمُوذَجُ المِعْيارِيُّ لِإِدارَةِ العَمَلِيّاتِ الإِحْصائِيَّةِ (GSBPM)","النموذج المعياري لإدارة العمليات الإحصائية (GSBPM) ينظم مراحل العملية الإحصائية لإحصاءات المؤسسات ويوفر المصطلحات العامة لوصفها. يستخدم هذا النموذج لمواءمة البنية التحتية الإحصائية المحوسبة، وتسهيل تبادل البرمجيات لتوفير إطار لتقييم جودة العملية وتطويرها. يتوقع من GSBPM أن ينطبق على جميع الأنشطة التي يضطلع بها منتجو الإحصاءات الرسمية على الصعيدين الوطني والدولي والتي ينتج عنها مخرجات بيانات. وقد صمم النموذج ليكون مستقلًا عن مصادر البيانات، لذلك يمكن استخدامه لوصف وتقييم جودة العمليات التي تعتمد على المسوح والتعدادات، والسجلات الإدارية، والمصادر الأخرى غير الإحصائية أو تلك التي تعتمد على مصادر مختلطة.","The Generic Statistical Business Process Model (GSBPM) models the phases of the statistical business process and provides generic terms to describe them. The GSBPM is used to harmonise statistical computing infrastructures, facilitate the sharing of software components and provide a framework for process quality assessment and improvement. The GSBPM is intended to apply to all activities undertaken by producers of official statistics, at both the national and international levels, that result in data outputs. It is designed to be independent of the data source, so it can be used for the description and quality assessment of processes based on surveys, censuses, administrative records, and other non-statistical or mixed sources.","GSBPM"
"النُفاياتُ","هي مخلفات نشاط الإنسان في حياته اليومية، ونجد أن نسبتها تتزايد في البلدان النامية خاصة في ظل التضخم السكاني، وقد تؤدي هذه النفايات - في ظل غياب الوعي الصحي - إلى أضرار جسيمة، ولا تشمل المواد التي يعاد تدويرها أو يعاد استخدامها، وتقسم إلى نفايات عضوية ونفايات غير عضوية والنفايات البلدية والنفايات البلدية المتولدة والنفايات البلدية المجمعة والنفايات الصناعية.","Everyday waste resulting from human activities. Its percentage is on the rise in developing countries, especially where there is overpopulation. Without public health awareness, waste can lead to serious harm. It does not include recycled or reused materials; and is divided into organic waste, inorganic waste , municipal waste , municipal waste generated , collected municipal waste and industrial waste.","Waste"
"النُفاياتُ البَلَدِيَّةُ","هي مواد نفايات تتولد بصفة عامة في بيئة سكنية، وقد تتولد نفايات ذات خصائص مماثلة في نشاطات اقتصادية أخرى.","Waste material usually generated in the residential environment. Waste with similar characteristics may be generated in other economic activities.","Municipal Waste"
"النُفاياتُ البَلَدِيَّةُ المُتَوَلِّدَةُ","هي مجموع النفايات البلدية المجموعة مضاف إليها تقدير كمية النفايات البلدية من المناطق التي لا تشملها خدمة جمع النفايات البلدية.","The sum of the amount of municipal waste collected plus the estimated amount of municipal waste from areas not served by a municipal waste collection service.","Municipal Waste Generated"
"النُفاياتُ البَلَدِيَّةُ المُجَمَّعَةُ","هي النفايات البلدية التي تقوم البلديات بجمعها أو يتم جمعها بالنيابة عن هذه البلديات، وكذلك النفايات البلدية التي يجمعها القطاع الخاص، وتشمل النفايات المختلطة والأجزاء المجموعة على نحو منفصل لعمليات الاستعادة (من خلال المرور على المنازل أو جلبها طوعا إلى مراكز محددة) .","Municipal waste collected by or on behalf of municipalities, as well as municipal waste collected by the private sector. It includes mixed waste, and fractions collected separately for recovery operations (through door-to-door collection and/or through voluntary deposits) .","Collected Municipal Waste"
"النُفاياتُ الصَلْبَةُ","مادة عديمة النفع وخطرة أحيانًا ذات محتوى منخفض من السوائل. وتشمل النفايات البلدية، والنفايات الصناعية والتجارية، ونفايات ناتجة عن العمليات الزراعية وتربية الحيوانات، والنشاطات الأخرى المرتبطة بها ونفايات الهدم ومخلفات التعدين.","Solid waste is useless and sometimes hazardous material with low liquid content. Solid wastes include municipal garbage, industrial and commercial waste, sewage sludge, wastes resulting from agricultural and animal husbandry operations and other connected activities, demolition wastes and mining residues.","Solid Waste"
"النُفاياتُ الصَلْبَةُ المَحَلِّيَّةُ","تتكون نفايات البلدية من منتجات يتم حرقها مباشرة لإنتاج الحرارة و / أو الطاقة وتتألف من النفايات التي تنتجها القطاعات السكنية والتجارية والخدمات العامة التي تجمعها السلطات المحلية للتخلص منها في موقع مركزي. يتم تضمين نفايات المستشفى في هذه الفئة.","Municipal waste consists of products that are combusted directly to produce heat and/or power and comprises wastes produced by the residential, commercial and public services sectors that are collected by local authorities for disposal in a central location. Hospital waste is included in this category.","Municipal Waste (for Energy)"
"النُفاياتُ الصِناعِيَّةُ","يقصد بها النفايات الصلبة والسائلة والغازية الناشئة عن تصنيع المنتجات.","Solid, liquid and gaseous waste arising from the manufacture of products.","Industrial Waste"
"النُمُوُّ الاِقْتِصادِيُّ المُسْتَدامُ","بالنسبة للعمليات، يعني هذا المصطلح الاتجاه الصاعد في صافي الناتج المحلي المكيف بيئيًا في ظل ظروف وافتراضات معينة (برتلموس، 1994) .","Sustainable economic growth in operational terms is the upward trend in environmentally adjusted net domestic product (EDP) under certain conditions and assumptions (Bartelmus, 1994).","Sustainable Economic Growth"
"النِظامُ البِيئِيُّ","وحدة تنظيمية تتكون من مجموعة من النباتات والحيوانات (بما في ذلك البشر) والكائنات الحية الدقيقة، إلى جانب المكونات غير الحية للبيئة.","An organizational unit consisting of an aggregation of plants, animals (including humans) and microorganisms, along with the non-living components of the environment.","Ecosystem"
"النِفْطُ","هيدروكربونات سائلة من أصل أحفوري تشمل (1) النفط الخام؛ (2) السوائل المُستخرجة من الغاز الطبيعي (سوائل الغاز الطبيعي) ؛ (3) المنتجات المُستخرجة بشكل تام أو جزئي من عمليات تكرير النفط؛ و (4) الهيدروكربونات السائلة المتشابهة وظيفيا والمواد الكيميائية العضوية ذات الأصول النباتية والحيوانية.","Liquid hydrocarbons of fossil origins comprising (i) crude oil; (ii) liquids extracted from natural gas (NGL) ; (iii) fully or partly processed products from the refining of crude oil, and (iv) functionally similar liquid hydrocarbons and organic chemicals from vegetal or animal origins.","Oil"
"النِفْطُ الخامُّ التَقْلِيدِيُّ","نفط معدني ذو أصل أخفوري يُستخرج بطريقة من الخزانات الجوفية ويحتوي على هيدروكربونات سائلة أو شبه سائلة وشوائب مُصاحبة كالكبريت والمعادن.","A mineral oil of fossil origin extracted by conventional means from underground reservoirs and comprising liquid or near-liquid hydrocarbons and associated impurities such as sulphur and metals.","Conventional Crude Oil"
"الهَرَمُ السُكّانِيُّ","رسم بياني للتوزيع الإجمالي للسكان (للمواطنين وغير المواطنين) حسب العمر والجنس.","A chart of the total population distribution (for citizens and non-citizens) by age and sex.","Population Pyramid"
"الهِجْرَةُ","حركة الأفراد من مكان إلى آخر عبر الحدود السياسية أو الإدارية، ولها نوعان: الهجرة الدولية والهجرة الداخلية.","The movement of individuals from one place to another across political or administrative borders, which are two types: international migration and internal migration.","Migration"
"الهِجْرَةُ الدَوْلِيَّةُ","حركة الأفراد من وإلى البلد عبر حدوده السياسية، وتُقاس معدلاتها باستخدام طرق مختلفة.","The movement of individuals from the country and to the country across its political borders, and its rates are measured using various methods.","International Migration"
"الواجِباتُ المَنْزِلِيَّـةُ غَيْرُ مَدْفُوعَةِ الأَجْرِ","هو الفرد غير مشتغل وغير منتظم في دراسة معينة ويقوم بأعمال المنزل بهدف خدمة الأسرة ولا يشمل ذلك خدمة بيوت الغير مقابل أجر نقدي، أو عيني، إذ إن هذا النوع من الخدمة يُعد ضمن العمل.","The individual who are not worked and not regulated in regular study and worked at home in order to serve the household and dose not include the paid housekeeping service for others, as this type of service is within the work definition.","Household duties- Unpaid"
"الوارِداتُ السِلْعِيَّةُ","تشير إلى جميع السلع الداخلة إلى البلاد من أجل تلبية احتياجاتها المحليَّة بعد خضوعها للإجراءات الجمركية، ويستند التقييم على أساس التكلفة والتأمين والشحن (CIF) .","All goods entering the country in order to meet its local needs after undergoing customs procedures, and the evaluation is based on the cost, insurance, and freight (CIF) basis.","Imports of goods"
"الوارِداتُ مِنْ البَضائِعِ وَالخَدَماتِ","قيمة البضائع التي انتقلت ملكيتها أو قيمة الخدمات المقدمة من غير المقيمين بالدولة إلى المقيمين، وتشمل البضائع التي تعبر الحدود إلى داخل الدولة والسلع التي يتم شراؤها في موانئ أجنبية بواسطة ناقلين محليين، كما تشمل تلك الخدمات المقدمة للمقيمين بما في ذلك النقل والاتصالات والتأمين وخدمات البناء والخدمات المالية وحقوق الامتياز ورسوم الترخيص والخدمات الشخصية والثقافية والخدمات الحكومية.","The value of goods whose ownership has been transferred or the value of services provided from non-residents of the state to residents and includes goods that cross borders into the state and goods that are purchased in foreign ports by local carriers. It also includes those services provided to residents, including transportation, communications, insurance, financial services, and property rights. Franchise, license fees, personal and cultural services, and government services.","Imports of Goods and Services"
"الوالِدانِ","والد ووالدة المشارك في عينة الدراسة، وهم المعنيون بتعبئة بيانات الاستمارة والمقاييس، ويمكن أن يتشاركا أو ينفردا بعملية إكمال البيانات وتقييم النماذج. ويمكن أن يساهم معهم في حالات الضرورة كلا من أخ المستجيب أو أخته.","The father and mother of the participant in the study sample, who are responsible for filling out the forms and scales. They may either share or individually complete the data and assess the forms. In cases of necessity, both the respondent's brother or sister may also contribute.","Parents"
"الوحْدَةُ الإِحْصائِيَّةُ","هي أصغر جزء مستقل من الإطار العام، يتم إجراء الدراسة الإحصائية عليه ويكون لها مكان ثابت، تستخدم كأساس لجمع البيانات.","The smallest independent part of the general framework on which a statistical study is conducted. It has a fixed location and is used as a basis for data collection.","Statistical Unit"
"الوحْدَةُ الإِحْصائِيَّةُ المِعْيارِيَّةُ","الوحدة الإحصائية هي الوحدات التي يجري البحث عن معلومات حولها ومعالجة إحصاءات بشأنها في نهاية المطاف. وبشكل شائع فإن الوحدات الإحصائية التي يتم استخدامها للإحصاءات الاقتصادية هي، إما مؤسسات أو مجموعات مؤسسات، وحدات الإنتاج بحسب نوع النشاط (KAU) ، الوحدة المحلية والمنشأة (وتدعى في أوروبا وحدة الأنشطة المحلية العينية (LKAU) . وفي نظام الحسابات القومية، الوحدة المؤسسية ذات أهمية أيضًا.","Statistical units are the units for which information is sought and for which statistics are ultimately compiled. Commonly used types of statistical units for economic statistics are the enterprise, the enterprise group, the kind-of-activity unit (KAU) , the local unit and the establishment (in Europe called local kind-of-activity unit (LKAU) ) . In national accounts also the institutional unit is of importance.","Standard Statistical Units"
"الوحْدَةُ الإِدارِيَّةُ","يتم تعريف الوحدة الإدارية لأغراض المطابقة مع التشريعات الإدارية، مثال ذلك، لأغراض التسجيل أو لأغراض محاسبية للضريبة على القيمة المضافة والضرائب الأخرى","An administrative unit is designed for the purposes of conforming with an administrative regulation, for example for registration purposes or for accounting purposes of VAT and other taxes","Administrative Unit"
"الوَحْدَةُ الاِقْتِصادِيَّةُ","الوحدة الاقتصادية هي وحدة قانونية، أو جزء من وحدة قانونية، إنتاجها الاقتصادي كما هو معرف في النسخة الحالية من نظام الحسابات القومية SNA.","An economic unit is a legal unit, or part of a legal unit, with economic production as defined in the current version of the SNA.","Economic Unit"
"الوَزْنُ الصافِي","يقصد به كامل وزن البضاعة مستبعدا منه وزن مواد التغليف والتعبئة.","Means the full weight of the goods excluding the weight of the packaging materials.","Net Weight"
"الوَزْنُ القائِم","يقصد به كامل وزن البضاعة بما فيها وزن مواد التغليف والتعبئة.","Means the full weight of the goods including the weight of the packaging materials.","Existing weight"
"الوَفاةُ","الأشخاص المتوفون وقت الحادث أو من توفي خلال 30 يومًا بسبب الحادث.","People who died at the time of the accident or who died within 30 days due to the accident.","Death"
"الوَفْرُ فِي الطاقَةِ الأَوَّلِيَّةِ","الوفر المباشر الناتج من مبادرات تحسين كفاءة الطاقة.","Direct savings resulting from energy efficiency improvement initiatives.","Primary Energy Savings"
"الوَقُودُ","هو أي مادة تستعمل لإنتاج طاقة، بواسطة تفاعل حراري كيميائي.","Any substance used to produce energy through a chemical thermal reaction.","Fuel"
"الوَقُودُ الحَيَوِيُّ السائِلُ","السوائل المشتقة من الكتلة الحيوية والمستخدمة كوقود.","Liquids derived from biomass and used as fuels.","Liquid biofuels"
"الوَقُودُ الحَيَوِيُّ الصلْبُ","هي أنواع الوقود الصلب المشتقة من الكتلة الحيوية.","Solid fuels derived from biomass.","Solid biofuels"
