English Term,Arabic Term,Arabic Description
Graph Retrieval-Augmented Generation,توليد ُمَعَّزز بالاسترجاع الشبكي,() أسلوب يجمع بين تمثيل المعرفة القائم على الشبكة والتوليد الُمَعَّزز بالاسترجاع لتحسين دقة النصوص المولدة وملاءمتها.
Graph Traversal,مسح الشبكة,عملية المرور على جميع الُعَقد في الشبكة. .
Graphical Model,نموذج شبكي,فئة من النماذج الإحصائية التي تستخدم الرسوم الشبكية لتمثيل العلاقات الاحتمالية بين المتغيرات. .
Graphics Processing Unit (GPU),وحدة معالجة الرسوميات,دائرة إلكترونية تقوم بحوسبة متوازية لتسريع إنشاء الصور لعرضها على جهاز إلكتروني. .
Greedy Algorithm,خوارزمية جشعة,خوارزمية تختار أفضل حل فوري لمشكلة ما أثناء إيجاد الحل الأمثل الشامل. .
Grid Computing,حوسبة شبكية,مجموعة من أجهزة الحاسب المتصلة بالشبكة، وتعمل كأنها جهاز حاسب عمالق افتراضي لتنفيذ المهام الكبيرة. .
Ground Truth,حقيقة أساسية,المعلومات المكتسبة من المالحظة المباشرة بد ًال من الاستنتاج. .
Group Attribution Bias,تحُّيز الانتساب للمجموعة,افتراض أ َّن ما ينطبق على فرد واحد ينطبق على كل أفراد المجموعة. .
Hadoop,هدوب,إطار مفتوح المصدر يوفر معالجة موَّزعة لمجموعات كبيرة من البيانات عبر مجموعات من أجهزة الحاسب. .
Hadoop Distributed File System )HDFS(,نظام هدوب للملفات الموَّزعة,ُمَحِّرك تخزين مفتوح المصدر، يعتمد على معمارية نظام ملفات جوجل، ومصَّمم للتخزين الفاعل للملفات الكبيرة.   () .
Hard Prompting,أوامر صلبة,تعليمات نصية ُمصاغة یدوًّیا ُتعطى للنموذج من أجل الحصول على نوع معين من الاستجابة. .
Hashing Trick,حيلة التهشير,انظر تهشير الخصائص. .
Heteronomy )or Heteronomous( ),تحكم غير ذاتي (أو غير ذاتي,خاصية نظام يعمل تحت قيود تحكم خارجي. .
Heuristic,أسلوب إرشادي,أسلوب لتقديم حل سريع لمشكلة ما قد لا يكون هو الحل الأمثل، ولكنه تقريبي. .
Heuristic Search,بحث إرشادي,أسلوب لإيجاد حل جيد، ليس بالضرورة الحل الأمثل، في غضون فترة زمنية معقولة. .
Hidden Layer,طبقة مخفية,طبقة مصطنعة تقع بين طبقتي الُمْدَخلات والمخرجات في الشبكة العصبية. .
Hierarchical Clustering,تجميع هرمي,نوع من خوارزميات التجميع المناسبة للبيانات الهرمية لتوليد شجرة من المجموعات. .
Hinge Loss,خسارة مفصلية,دالة خسارة للتصنيف الذي يهدف إلى تعظيم الهامش بين أمثلة التدريب والحد، وذلك عن طريق وضع حد القرار أبعد ما يمكن عن كل مثال. .
Holdout Data,بيانات مستثناة,مجموعة البيانات التي لم ُتستخدم عن قصد أثناء التدريب، وسُتستخدم لتقييم قدرة النموذج على التعميم. .
Horizontal Scaling,توسيع أفقي,طريقة لزيادة الأداء وسعة التخزين والتوُّفر عن طريق تقسيم مجموعات البيانات، ونسخها إلى مجموعات من الخوادم. .
Hot Data Storage,تخزين البيانات النشطة,بيانات مخَّزنة يمكن الوصول إليها بسرعة لالستخدام الفوري. .
Human Action Recognition,تعُّرف على الأفعال البشرية,انظر تعُّرف على الأفعال. .
Human Activity Recognition )HAR(,تعُّرف على النشاط البشري,انظر تعُّرف على الأفعال. .
Human Augmentation,تعزيز البشر,مجال يركز على تعزيز قدرات الإنسان باستخدام التقنية كأنها جزء متكامل مع جسم الإنسان. .
Human Takeover,تد ّخل بشري,ميزة احتياطية في بوت محادثة تسمح بتولي موظف مركز الاتصال المحادثة بدًال من بوت المحادثة. .
Human-Computer Interaction )HCI(,تفاعل بين الإنسان والحاسب,دراسة تصميم وتنفيذ التفاعل بين المستخدمين وأجهزة الحاسب. .
Human-in-the-Loop )HITL(,إنسان في الحلقة,طريقة تدمج الُمْدَخلات البشرية في دورة حياة أنظمة الذكاء الاصطناعي لتقديم المالحظات وتحسين النتائج. .
Human-Machine Teaming,تكامل بين الإنسان والآلة,تكامل التفاعل البشري وقدرات ذكاء الآلة. .
Human-Robot Interaction )HRI(,تفاعل بين الإنسان والروبوت,مجال يركز على تبادل المعلومات والأفعال بين الإنسان والروبوت ألداء المهام عن طريق واجهة المستخدم. .
Humanoid Robot,روبوت بشري,روبوتات مصممة لتشبه وتحاكي بنية جسم الإنسان وسلوكه. .
Hyper-Heuristic,إرشاد فائق,منهجية بحث عالية المستوى تعمل على أتمتة عملية اختيار الأساليب الإرشادية، أو دمجها لحل مشكالت البحث المعقدة. .
Hyperbolic Tangent )Tanh( Function,دالة الظل الزائدي,دالة تنشيط ُتعِّين الِقَيم الُمْدَخلة إلى نطاق يتراوح بين  و. .
Hyperparameter,ُمعاِمل ضبط,ُمعاِمل ُيضَبط قبل بدء عملية التعُّلم للتحكم في سلوك خوارزمية التعُّلم. .
Hyperparameters Tuning,ضبط ُمعاِمالت الضبط,عملية اختيار ُمعاِمالت الضبط المثلى لتدريب نموذج ما على مجموعة بيانات معينة. .
Hyperplane,مستوي متعدد الأبعاد,حد فاصل بين مساحتين فرعيتين ُيستخدم لفصل مساحة البيانات من أجل التصنيف. .
Hypothesis,فرضية,فكرة أو تنبؤ بحاجة إلى بحث واختبار عن طريق التجربة. .
Hypothetical Document Embeddings )HyDE(,تضمين المستندات الافتراضي,أسلوب استرجاع ُينشئ تضمينات افتراضية للمستندات، ثم يستخدمها السترداد مستندات مماثلة من نفس مساحة التضمين. .
Image Classification,تصنيف الصور,انظر َتعُّرف على الصور. .
Image Processing,معالجة الصور,استخدام خوارزمية لمعالجة الصور أو استخراج معلومات مفيدة منها. وُيطلق عليه أيًضا معالجة الصور الرقمية.    . .
Image Recognition,َتعُّرف على الصور,عملية تحديد الأشياء أو الأنماط أو المفاهيم الموجودة في الصورة. وُيطلق عليها أيًضا تصنيف الصور أو تعُّرف مرئي.     . .
Image Segmentation,تقسيم الصور,عملية تقسيم الصورة الرقمية إلى مجموعات من البكسالت. .
ImageNet,إيمج نت,قاعدة بيانات كبيرة للصور تتكون من أكثر من  مليون صورة مَوَّصفة ومصَّنفة في  ألف فئة، معدة ألبحاث رؤية الحاسب. .
Imbalanced Dataset,بيانات غير متوازنة,انظر بيانات غير متوازنة الأصناف. .
Implicit Bias,تحُّيز ضمني,نوع من التحُّيز يكون فيه الارتباط أو الافتراض وفًقا لعقل الشخص وذكرياته. .
Imputation,استبدال تقديري,عملية وضع بيانات منمذجة أو مقدرة بدًال من بيانات مفقودة. .
In-Context Learning,تعُّلم سياقي,أسلوب في هندسة الأوامر يتعلم فيه النموذج أداء المهام، عن طريق تزويده ببعض الأمثلة في سياق ُمدخلات الأمر. ُيطلق عليه أيًضا تعُّلم قائم على الأوامر. .    .
In-Database Analytics,تحليالت في قاعدة البيانات,معالجة البيانات وتحليلها مباشرة داخل قاعدة البيانات التي ُتخَّزن فيها البيانات. .
In-Group Bias,تحُّيز داخل المجموعة,نوع من التحُّيز يكون فيه التفضيل لمجموعة الشخص أو خصائصه. .
In-Memory Database )IMDB(,قاعدة بيانات في الذاكرة,قاعدة بيانات تخزن البيانات في الذاكرة الرئيسة بدًال من ُمَحِّرك الأقراص لتسريع أوقات الاستجابة. .
In-Processing Algorithm,خوارزمية أثناء المعالجة,خوارزمية ُتستخدم لتعديل النموذج أثناء تدريبه. .
Incompatibility of Fairness Metrics,عدم توافق مقاييس الإنصاف,تصُّور يقوم على أن بعض مفاهيم الإنصاف لا يمكن تحقيقها في وقت واحد؛ وِمن َثّم لا يوجد مقياس واحد لتحديد الإنصاف في جميع مشكالت تعُّلم الآلة. .
Incremental Learning,تعُّلم تدريجي,طريقة من ُطُرق تعُّلم الآلة يكون التدريب والتعُّلم فيها مستمًّرا كلما ظهرت أمثلة جديدة. .
Independent and Identically Distributed )IID(,متغيرات مستقلة ومتطابقة التوزيع,متغيرات عشوائية مستقلة عن بعضها البعض، ولها نفس التوزيع الاحتمالي. .
Individual Fairness,إنصاف فردي,مقياس إنصاف لفحص ما إذا كان الأفراد المتشابهون قد ُصِّنفوا بنفس الطريقة. .
Induction,استقراء,انظر استدلال استقرائي. .
Inductive Programming,برمجة استقرائية,مجال يهتم بتصميم خوارزميات لبرامج حاسب ذات تحكم معقد من مواصفات غير كاملة. .
Inductive Reasoning,استدلال استقرائي,عملية استخلاص استنتاجات عامة من مالحظات أو أمثلة محددة. وُيطلق عليها أيًضا استقراء.   . .
Industrial Robot,روبوت صناعي,روبوت مؤتمت وقابل للبرمجة ُيستخدم في التطبيقات الصناعية. .
Industrial Robot Cell,خلية روبوتات صناعية,نظام أو أنظمة روبوت صناعية تشمل آلات ومساحات محمية.  ()  () .
Industrial Robot Line,مسار روبوت صناعي,مجموعة من خلايا الروبوتات الصناعية التي تؤدي بعض الوظائف مع المعدات المرتبطة بها في أماكن محمية. .
Inertia,قصور ذاتي,مقياس لمدى نجاح خوارزمية التجميع في تجميع نقاط البيانات. .
Inference,استنتاج,عملية استخدام نموذج ُمدَّرب للتنبؤ أو اتخاذ القرارات بناًء على بيانات جديدة. .
Inference Engine,ُم َحِّرك استنتاج,ُمكِّون من ُمكِّونات الُّن ُظم الخبيرة يقوم بعملية الاستدلال الستنتاج معلومات جديدة من الحقائق والقواعد المخزنة في قاعدة المعرفة. .
Information,معلومات,بيانات معالجة لها معنى في سياق معين. .
Information Extraction,استخراج المعلومات,عملية الحصول على المعرفة، عن طريق استعراض النصوص بحًثا عن أصناف محَّددة للأشياء وعلاقاتها. .
Information Retrieval,استرجاع المعلومات,عملية الحصول على المعلومات ذات الصلة باحتياجات المستخدم من مجموعة كبيرة من البيانات. .
Information Theory,نظرية المعلومات,دراسة العمليات التي ُتجرى على المعلومات الرقمية، مثل: النقل والتخزين والضغط. .
Input Data )or Input( ),بيانات ُمْد َخلة (أو ُمدخلات,أي شكل من أشكال البيانات الُمْد َخلة إلى نظام معالجة معلومات أو أي من ُمكِّوناته لغرض المعالجة أو التخزين. .
Input Layer,طبقة ُمدخلات,الطبقة الأولى في الشبكة العصبية التي تتلقى البيانات الُمْدَخلة. .
Instance,حالة,انظر مثال. .
Instance Segmentation,تقسيم الأشياء,مهمة في رؤية الحاسب تتضمن تحديد وتوضيح كل شيء ُممَّيز داخل الصورة، وُتعِّين حدوًدا دقيقة واسًما فريًدا لكل الأشياء فيها. .
Instruction Data,بيانات التعليمات,البيانات التي تحتوي على: أمثلة للمهام، والاستجابات المطلوبة، وأحياًنا سياق إضافي؛ لتحسين نموذج ُمدَّرب. .
Instruction Tuning,ضبط التعليمات,شكل من أشكال الضبط الدقيق ُيدَّرب فيه النموذج بناًء على سلسلة من التعليمات لتحسين أدائه في مهام محددة. .
Intelligence Amplification )IA(,تضخيم الذكاء,استخدام التقنية لزيادة الذكاء البشري. .
Intelligence Augmentation,تعزيز الذكاء,انظر ذكاء ُمَعَّزز. .
Intelligence Explosion,طفرة الذكاء,فرضية تصف حالة يمكن فيها للآلات الفائقة الذكاء أن تنتج آلات أكثر ذكاء، يفوق ذكاؤها الذكاء البشري. ُيطلق عليها أيًضا تفُّرد تقني أو تفُّرد.   . .
Intelligent Agent )IA(,وكيل ذكي,كيان ذاتي التحكم يدرك بيئته ويقوم بأفعال لتحقيق أهداف محددة. .
Intelligent Automation,أتمتة ذكية,استخدام الذكاء الاصطناعي والتقنيات الأخرى ألداء المهام والعمليات دون تدخل بشري. .
Intelligent Control,تحكم ذكي,نوع من آليات التحكم التي تستخدم أساليب الذكاء الاصطناعي المختلفة لمحاكاة خصائص الذكاء البشري. .
Intelligent Document Processing )IDP(,معالجة ذكية للوثائق,أتمتة استخراج البيانات من المستندات المختلفة ومعالجتها وتحليلها باستخدام تقنيات الذكاء الاصطناعي. .
Intelligent Personal Assistant,مساعد شخصي ذكي,وكيل برمجيات يستخدم الذكاء الاصطناعي لمساعدة الأشخاص في المهام الأساسية. .
Intelligent Product,ُمنَتج ذكي,ُمنَتج يستخدم التقنية والبيانات والتحليالت لتحسين نفسه بصورة مستمرة وتقديم تجربة مستخدم أفضل. .
Intelligent Robot,روبوت ذكي,روبوت يمكنه تنفيذ المهام عن طريق استشعار محيطه، والتفاعل مع المصادر الخارجية، وتكييف سلوكه وفًقا لذلك. .
Inter-Annotator Agreement,اتفاق الُموِّصفين,انظر اتفاق الُمقِّيمين. .
Inter-Rater Agreement,اتفاق الُمقِّيمين,مقياس لحساب عدد المرات التي يتفق فيها المقِّيمون البشريون عند القيام بمهمة ما. وُيطلق عليه أيًضا اتفاق    . الُموِّصفين أو موثوقية الُمقِّيمين. .
Inter-Rater Reliability,موثوقية الُمقِّيمين,انظر اتفاق الُمقِّيمين. .
Internet of Things )IoT(,إنترنت الأشياء,شبكة من الأجهزة الإلكترونية والبرمجيات وأجهزة الاستشعار التي ُتتيح للآلات التفاعل مع بعضها. .
Internet of Things )IoT( Device,جهاز إنترنت الأشياء,جهاز استشعار أو ُمشِّغل في نظام إنترنت الأشياء يتفاعل مع العالم المادي. .
Interpretability,قابلية الشرح,انظر قابلية التفسير. .
Intersection over Union )IoU(,تقاطع على الاتحاد,مقياس لتحديد دقة مهام اكتشاف الأشياء أو الصور عن طريق مقارنة إطار التحديد المتوقع مع إطار التحديد الفعلي. .
Intrinsic Motivation,دافع داخلي,آلية تشجع الوكيل على أداء سلوك معين نابع من طبيعته، ومن دون تغذية راجعة مباشرة من البيئة. .
Item Matrix,مصفوفة العناصر,مصفوفة من التضمينات في أنظمة التوصية ُموَّلدة بواسطة تحليل المصفوفة إلى عوامل تتضمن إشارات كامنة حول كل عنصر. .
Iteration,تكرار,تحديث واحد ألوزان النموذج أثناء التدريب. .
Iterative Prompting,أوامر تكرارية,أسلوب في هندسة الأوامر ُتح ِّسن الأوامر وُتعِّدلها بناًء على استجابات النموذج، عبر تكرارات متعددة للحصول على نتائج مرغوبة وأكثر دقة. .
JavaScript Object Notation )JSON(,صيغة جيسون,صيغة خفيفة لتبادل البيانات يمكن للإنسان قراءتها، وُتستخدم على نطاق واسع لهيكلة البيانات ونقلها بين الأنظمة. .
K-Fold Cross-Validation,تحقق تقاطعي ُم َجَّزأ,أسلوب لتقييم النماذج عن طريق تقسيم مجموعة البيانات إلى عدد (ك) مجموعات فرعية لتدريب النماذج واختبارها بصورة تكرارية، ثم حساب متوسط النتائج لتقدير الأداء العام. .
K-Means )or K-Means Clustering(,تجميع بالمتوسط,خوارزمية تجميع تستخدم المتوسط لتصنيف البيانات إلى عدد (ك) من المجموعات بناًء على تشابه خصائصها. .
K-Medians )or K-Medians Clustering(,تجميع بالوسيط,خوارزمية تجميع تستخدم الوسيط لتصنيف البيانات إلى عدد (ك) من المجموعات بناًء على تشابه خصائصها. .
K-Modes )or K-Modes Clustering(,تجميع بالمنوال,خوارزمية تجميع تستخدم المنوال لتصنيف البيانات إلى عدد (ك) من المجموعات بناًء على تشابه خصائصها. .
K-Nearest Neighbor (KNN),خوارزمية أقرب الجيران,خوارزمية ُتصِّنف نقاط البيانات الجديدة بناًء على أغلبية أو متوسط أقرب نقاط البيانات التي عددها (ك) في مجموعة بيانات التدريب. .
Keras,كيراس,واجهة برمجة تطبيقات بلغة البايثون ُتستخدم في تعُّلم الآلة، وتعمل على عدد من ُأطر التعُّلم العميق. .
Kernel,نواة,انظر ُمر ِّشح. .
Kernel Function,دالة النواة,دالة لقياس التشابه بين حالتين وتحويل البيانات إلى فضاء ُمَّتجه كثير الأبعاد. .
Kernel Support Vector Machine (KSVM),آلة الُمَّتجهات الداعمة باستخدام النواة,خوارزمية تصنيف ُتحِّول ُمَّتجهات البيانات الُمْدَخلة إلى مساحة ُبعدية أكثر لزيادة الهامش بين الأصناف الموجبة والسالبة.
Kernel Trick,حيلة النواة,طريقة إلسقاط البيانات غير الخطية إلى فضاء ذي أبعاد أكثر لتسهيل تصنيف البيانات. .
Keypoint,نقطة مهمة,موقع الخصائص ذات الأهمية في الصورة. وُيطلق عليه . أيًضا َمعَلم. .
Keyword-Based Chatbot,بوت محادثة قائم على كلمات مفتاحية,انظر بوت محادثة موَّجه. .
Knowledge Base,قاعدة معرفة,قاعدة بيانات تتضمن قواعد الاستنتاج ومعلومات حول الخبرة البشرية في مجال ما. .
Knowledge Cutoff,تاريخ آخر تحديث للمعرفة,النقطة الزمنية التي كان فيها آخر تحديث للبيانات المستخدمة لتدريب النموذج. .
Knowledge Distillation,تقطير المعرفة,عملية نقل المعرفة من نموذج كبير ُمدَّرب سابًقا إلى نموذج أصغر. .
Knowledge Engineering,هندسة المعرفة,مجال يركز على اكتساب المعرفة من خبراء المجال والمصادر الأخرى، وتخزينها في قاعدة المعرفة. .
Knowledge Graph,شبكة معرفية,شبكة ُتمِّثل أشياء العالم الحقيقي وعلاقاتها. وُتسَّمى أيًضا شبكة دلالية.     . .
Knowledge Representation,تمثيل المعرفة,مجال في الذكاء الاصطناعي يركز على تمثيل معلومات العالم الحقيقي في شكل يمكن للحاسب استخدامه ألداء مهام معقدة. .
Knowledge Representation and Reasoning (KRR),تمثيل المعرفة والاستدلال,مجال فرعي في الذكاء الاصطناعي يهتم بترميز المعرفة البشرية في أنظمة الحاسب الستخالص استنتاجات منطقية. .
Knowledge-Based System )KBS(,نظام قائم على قاعدة معرفة,نظام حاسب يستخدم قاعدة معرفة لتخزين معرفة الخبراء البشريين، إضافة إلى ُمَحِّرك استنتاج لحل المشكالت. .
Kullback-Leibler )KL( Divergence,تباعد كولباك-ليبلر,مقياس يحدد الفرق بين توزيعين احتماليين. ُيطلق عليه أيًضا انتروبيا نسبية.    . .
L1 Loss 1,خسارة إل,دالة خسارة ُتستخدم لحساب القيمة المطلقة للفرق بين القيم المتوقعة والقيم الفعلية. .
L1 Regularization 1,ضبط إل,نوع من الضبط يضيف جزاًء إلى الأوزان بقدر مكافئ لمجموع القيم المطلقة للأوزان. .
L2 Loss 2,خسارة إل,انظر مربع الخسارة. .
L2 Regularization 2,ضبط إل,نوع من الضبط يضيف جزاًء إلى الأوزان بقدر مكافئ لمجموع مربعات الأوزان. وُيطلق عليه أيًضا ضبط ريدج. .    .
Label,اسم,جانب الإجابة أو النتيجة من مثال في التعُّلم الموَّجه. .
Label Smoothing,تنعيم الأسماء,أسلوب ضبط ُيستخدم لمنع فرط التخصيص وتحسين قدرات التعميم في النماذج. .
Labeled Example,مثال ُمسًّمى,مثال يشتمل على اسم. .
Labeler,ُم َسِّمي,انظر ُمَوِّصف. .
Labeling,تسمية,انظر توصيف البيانات. .
Lambda,المدا,انظر معدل الضبط. .
Landmark,َمعَلم,انظر نقطة مهمة. .
Language Model,نموذج لغوي,نموذج يحدد احتمالية وجود تسلسل معين من كلمات في جملة. .
Language Model For Dialogue Applications,نموذج لغوي للتطبيقات الحوارية,)( نموذج لغوي كبير يعتمد على ُمحِّول لتوليد استجابات تحاورية. .
Language Operations )LangOps(,عمليات لغوية,مجموعة من الممارسات والأدوات التي تمِّكن المؤسسات من إدارة دورة حياة النماذج اللغوية. .
Large Language Model (LLM),نموذج لغوي كبير,نموذج لغوي ُمكَّون من عدد كبير من الُمعاِملات. .
Large Language Model Alignment,مواءمة النماذج اللغوية الكبيرة,عملية جعل أنظمة النماذج اللغوية الكبيرة تعمل بطرق تتماشى مع الأهداف والقيم الإنسانية. .
Large Language Model Operations )LLMOps(,عمليات النماذج اللغوية الكبيرة,مجموعة من الممارسات والأدوات لإدارة دورة حياة النماذج اللغوية الكبيرة. .
Latency,تأخير,تأخير في نقل البيانات أو معالجتها. .
Latent Space,فضاء كامن,تمثيل للبيانات القليلة الأبعاد يتضمن الخصائص والعلاقات الأساسية في البيانات الأصلية. .
Layer,طبقة,مجموعة من الخلايا العصبية في شبكة عصبية ما، تعالج خصائص الُمْدَخلات أو مخرجات تلك الخلايا العصبية. .
Layer Width,عرض الطبقة,عدد الخلايا العصبية في طبقة معينة من الشبكة العصبية. .
LayerNorm Tuning,ضبط طبقات التسوية,أسلوب ضبط دقيق يقتصر تحديثه على طبقات التسوية في النموذج. .
Lazy Learning,تعُّلم كسول,طريقة تعُّلم تؤجل معالجة بيانات التدريب حتى َتلِّقي عملية استعلام. .
Leaky ReLU Function,دالة ريلو المتسربة,دالة تنشيط تسمح بتدرج صغير غير صفري لقيم الُمْدَخلات السالبة. .
Learning Rate,معدل التعُّلم,ُمعاِمل ضبط ُيستخدم في خوارزميات التحسين لتحديد حجم الخطوة في كل تكرار. وُيطلق عليه أيًضا حجم الخطوة.   . .
Learning Theory,نظرية التعُّلم,انظر نظرية التعُّلم الحوسبي. .
Least Square Error )LSE(,خطأ تربيعي أقل,طريقة للعثور على أفضل ملاءمة للبيانات لتقليل مربع الأخطاء بين البيانات الفعلية وخط الملاءمة. .
Least Squares Regression,انحدار المربعات الصغرى,انحدار خطي ُمدَّرب، عن طريق تقليل دالة خسارة إل . .
Leave-One-Out Cross-Validation (LOOCV),تحقق تقاطعي عن طريق عزل نقطة,حالة خاصة من التحقق التقاطعي الُمَجَّزأ يكون فيها عدد المجموعات مساوًيا لعدد المشاهدات. .
Lemmatization,تجريد,عملية إعادة الكلمات إلى شكلها الأساسي الموجود في القاموس. .
Likelihood,أرجحية,احتمال حدوث حدث ما ضمن فئة أو صنف معين. .
Linear Algebra,جبر خطي,فرع من فروع الرياضيات يختص بمعالجة المعادالت الخطية. .
Linear Model,نموذج خطي,طريقة لوصف متغير الاستجابة كمجموعة خطية من متغيرات التنبؤ. .
Linear Regression,انحدار خطي,نوع من التحليل الإحصائي يوضح العلاقة بين عدة متغيرات لإنشاء نموذج تنبؤي وتوضيح الاتجاهات في البيانات. .
Locally Weighted Regression (LWR),انحدار موزون محلًّيا,أسلوب غير ُمعاِملي ينفذ الانحدار حول نقطة معينة باستخدام بيانات تدريب محلية. .
Location Data,بيانات الموقع,البيانات المتعلقة بالموقع الجغرافي لجهاز ما أو أصل آخر. .
Log File,ملف سجل,ملف ُموَّلد بواسطة الحاسب يشتمل على سجل لجميع الأنشطة داخل خادم أو نظام تشغيل أو تطبيق. .
Log Loss,خسارة لوغاريثمية,مقياس أداء ُيستخدم لتقييم نماذج التصنيف، عن طريق تحديد الفرق بين الاحتمالات المتوقعة والأسماء الفعلية. وُيطلق عليه أيًضا خسارة الإنتروبيا التقاطعية. . .
Log Odds,احتمالات لوغاريثمية,لوغاريثم احتمالات لحدث ما. .
Logic Programming,برمجة منطقية,إحدى ُطُرق البرمجة التي يعتمد التنفيذ فيها على قواعد المنطق. .
Logistic Regression,انحدار لوجستي,نموذج إحصائي يستخدم دالة لوجستية لتحويل تنبؤ النموذج الخطي إلى قيمة بين  و . وُيطلق عليه أيًضا نموذج لوجيت. .    .
Logit,لوجيت,ُمَّتجه للتنبؤات بدون تسوية ينشئها نموذج التصنيف. .
Logit Model,نموذج لوجيت,انظر انحدار لوجستي. .
Long Short-Term Memory )LSTM(,ذاكرة قصيرة المدى ُم َطَّولة,نوع من الشبكات العصبية التكرارية التي تعالج تسلسل البيانات بأداء مقبول لكل التوابع الطويلة والقصيرة. .
Long-Term Memory,ذاكرة طويلة المدى,ذاكرة تسمح للنموذج بتخزين المعلومات لفترة ممتدة واستخدامها عند توليد الاستجابات. .
Loss Curve,منحنى الخسارة,رسم بياني يوضح خطأ النموذج في تكرارات التدريب. .
Loss Function,دالة الخسارة,دالة ُتستخدم لتحديد الخطأ بين مخرجات الخوارزمية والقيمة المستهدفة. وُيطلق عليها أيًضا دالة التكلفة.  . .
Loss Surface,سطح الخسارة,رسم بياني يمثل الأوزان مقابل الخسارة. .
Low Rank Adaptation )LoRA(,َتَكُّيف منخفض الرتبة,أسلوب تدريبي لتكييف النماذج مع مهام جديدة عن طريق تقديم عدد صغير من الُمعاِملات القابلة للتدريب بدًال من تعديل جميع المعامالت الأصلية. .
Machine Data,بيانات الآلة,البيانات الُموَّلدة تلقائًّيا بواسطة الآلة. .
Machine Hearing,سماع الآلة,انظر استماع الآلة. .
Machine Intelligence,ذكاء الآلة,انظر ذكاء اصطناعي. .()
Machine Learning )ML(,تعُّلم الآلة,مجال فرعي من الذكاء الاصطناعي يركز على تمكين الآلات من التعُّلم من البيانات وتحسين أدائها في مهام محددة دون الحاجة إلى برمجة صريحة. .
Machine Learning Algorithm,خوارزمية تعُّلم الآلة,خوارزمية تنشئ نماذج تعُّلم الآلة باستخدام بيانات التدريب. .
Machine Learning Model,نموذج تعُّلم الآلة,انظر نموذج. .
Machine Learning Operations )MLOps(,عمليات تعُّلم الآلة,مجموعة من الممارسات والأدوات التي تعمل على أتمتة جميع مراحل دورة حياة تعُّلم الآلة وإدارتها. .
Machine Learning Pipeline,سير عمل تعُّلم الآلة,تسلسل من الخطوات التي تؤتمت عملية بناء نماذج تعُّلم الآلة وتدريبها وتقييمها ونشرها. .
Machine Listening,استماع الآلة,استخدام معالجة الإشارة وتعُّلم الآلة لتمكين الآلة من فهم الأصوات. وُيطلق عليه أيًضا سماع الآلة.  . .
Machine Perception,منظور الآلة,قدرة النظام على تلقي البيانات من البيئة الخارجية وتفسيرها بطريقة مماثلة لكيفية استخدام البشر حواسهم. .
Machine Touch,لمس الآلة,مجال في إدراك الآلة يهتم بمعالجة المعلومات اللمسية بواسطة الآلة. .
Machine Translation,ترجمة الآلة,فرع من اللغويات الحوسبية يهتم بترجمة النص أو الكالم من لغة إلى أخرى. .
Machine Vision,رؤية الآلة,انظر رؤية الحاسب. .
Majority Class,صنف الأغلبية,الصنف الذي لديه أكبر عدد من الحالات في مجموعة البيانات. .
Markov Chain,سلسلة ماركوف,نموذج عشوائي يصف تسلسل من الأحداث المحتملة التي يعتمد فيها احتمال كل حدث على الحدث السابق فقط. وُيطلق عليه أيًضا عملية ماركوف.  . .
Markov Decision Process )MDP(,عملية قرار ماركوف,عملية تحكم عشوائي ذات وقت منفصل ُتستخدم لنمذجة صنع القرار في مشكالت التحسين عند عدم التيقن. .
Markov Process,عملية ماركوف,انظر سلسلة ماركوف. .
Markov Property,خاصية ماركوف,مفهوم يصف عملية عشوائية يعتمد فيها احتمال الحالات المستقبلية على الحالة الحالية فقط، وليس على تسلسل من الأحداث التي قبلها. .
Masked Language Model,نموذج لغوي مقَّنع,نموذج لغوي للتنبؤ باحتمالية ملء الكلمات الُمرَّشحة للفراغات بناًء على السياق المحيط. .
Master Data,بيانات رئيسة,مجموعة من المعرفات والسمات التي تحدد كيانات الأعمال الرئيسة، وتوفر سياًقا لعمليات الأعمال. .
Master Data Management (MDM),إدارة البيانات الرئيسة,الأدوات والعمليات المستخدمة لحوكمة البيانات الرئيسة وصيانتها. .
Mathematical Optimization,تحسين رياضي,انظر تحسين. .
Matplotlib,ماتبلوتليب,مكتبة رسومية مفتوحة المصدر بلغة بايثون ُتستخدم لتصوير جوانب مختلفة من تعُّلم الآلة. .
Matrix Factorization,تحليل المصفوفة إلى عوامل,آلية لإيجاد المصفوفات التي يقترب حاصل ضربها النقطي من المصفوفة المستهدفة. .
Max-Norm Regularization,ضبط تسوية أقصى,نوع من الضبط ُيقِّيد المعيار الأقصى لمتجهات الوزن في كل طبقة من الشبكة العصبية. .
Maximal Marginal Relevance (MMR),أهمية هامشية قصوى,أسلوب يوازن بين الصلة والتنوع عند استرجاع العناصر. .
Maximum Likelihood Estimation )MLE(,تقدير الأرجحية الأعلى,طريقة لتحديد قيم الُمعاِملات التي تزيد من احتمالية البيانات المرصودة. .
Mean Absolute Error )MAE(,متوسط الخطأ المطلق,مقياس ُيستخدم لتقييم دقة النموذج، عن طريق حساب متوسط الفرق المطلق بين القيم المتوقعة والتنبؤ لجميع أمثلة التدريب. .
Mean Squared Error )MSE(,متوسط الخطأ التربيعي,متوسط الخسارة التربيعية لكل مثال، محسوًبا بقسمة الخسارة التربيعية على عدد الأمثلة. .
