‘Syn’-Tax,نحوي متزامن
Translation theory,نظرية ترجمة
Translatorial relativity,نسبية ترجمية (بين المترجمي)
Translotorese,مترجم سقيم الترجمة
Transluciferation,اختراق إشعاعي
Transmission model of communication,نموذج إرسال للتواصل
Transparent translation,ترجمة صريحة
Transtextualization,اختراق التشكيل النصي
Trauma,صدمة (نفسية)/ هلع
Traumatic hysteria,هستيريا صدمية/ هلعية
Traumatic neurosis,عصاب صدمي/ هلعي
Travails,متاعب مريرة
Tributary territories,مناطق تابعة للدولة دافعة للجزية
Tribute,إتاوة
Trigger-Words,كلمات محفزة
Triglossia,ثلاثية لغوية
Tropes,صورة بلاغية
True meaning,معنى حقيقي
True translation,ترجمة دقيقة
Truncated,مبتور/ مقتضب
Trust,ثقة
Turning round upon the subject’s own self,ارتداد على الشخص ذاته
Turnout,صافي الأرباح
Two-Place predicate,محمول ذو مكانين
Tycoons,ملوك المال
Type/ token (s),نمط/ تحقق (علاقة)/ أنماط ونماذج
Typologizing,تصنيف تنميطي
Typology,نمطية
Tyranny,طغيان
Unarticulated Codes,شيفرات غير متمفصلة
Unconscious,لاوعي/ لاواع/ لا شعور
Unconscious Association,استدعاء غير الواعي
Underlying,باطني، كامن/ مضمر
Underlying-Level,مستوى مضمر (مستتر)
Undoing (What has been done),إلغاء رجعي
Ungrounded Difference,اختلاف بلا أرضية
Unified Work,عمل متوحد
Uniformitarian Principle,مبدأ التماثل
Uninflected Form,صورة غير متصرفة
Universal,جامع/ كلي (ج. جوامع/ كليات)
Universal Grammar,قواعد كلية
Universal Quantifier Variable,محدد كمي كلي متغير
Universals Translation,جوامع ترجمية
Unlimited Semiotics,سيرورة معنى غير محدودة
Unstratified System,نسق مصمت
Untouchable original,أصل محصن (غير قابل للمساس)
Urbanization,تحضر
Urethral erotism,غلمة بولية
Utopia,يوتوبيا
Value,قيمة
Value-Free method,منهج لاتقويمي
Variability,تنوعية/ تنوع(مقولة/ سمة تعبيرية)
Variation,تنوع
Variation in regimes,تنوع أنظمة الحكم
Variation Theory,نظرية التنوع
Verb,فعل
Verb Raising,رفع الفعل
Verbal function,وظيفة لفظية
Verisimilitude,شبه الحقيقة، محاكاة
Virtual,افتراضي
Visibility,شفافية
Visibility condition,شرط الرؤية
Vitriolic,لاذع/ قاس
Vortex,دوامة
Vorticism,دوامية
Weak crossover,عبور ضعيف
Welfare,رفاهية/ شؤون اجتماعية
Wh-Clefts,جمل مشقوقة بميم
Wh-Expression,تعبير - ميم
Wh-Island,جزيرة - ميم
Wh-Movement,حركة - ميم
Wh-Questions,أسئلة - ميم
Wh-Word,كلمة - ميم
Wild analysis,تحليل نفسي وحشي
Wildcatters,منقبون في مناطق مجهولة
Wish,رغبة
Wish fulfillment,إنجاز الرغبة
Witchcraft,سحر وسحرة
Withdrawal of cathexis,سحب التوظيف
Work,عمل
Work of mourning,عمل الحداد
Working - through,عمل الاستيعاب
Working off mechanisms,(أوالية- )
Working on mechanisms,أواليات تخلص
Workshop Translation,ورشة الترجمة
World Bank,البنك الدولي
Writing,كتابة
X 2 -Theory,نظرية - س 2
X 8 -Movement,حركة - س 8
y - Criterion,معيار - م
y -Roles,أدوار - م
y -Theory,نظرية - م
Youth,شباب
Zealotry,تعصب
