%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
Layer Mode: Select Next,Mode de calque : sélectionner le suivant,Ebenenmodus: Nächsten auswählen,اختيار طبقة
Layer Mode: Select Previous,Mode de calque : sélectionner le précédent,Ebenenmodus: Vorigen auswählen,قناع الطبقة إلى التحديد
Layer Opacity: Set,Opacité du calque : régler,Ebenen-Deckkraft: Festlegen,إعتام الأساس
Layer Select,Sélection de calque,Ebenenauswahl,اختيار طبقة
Layer Size,Taille du calque,Ebenengröße,حجم الطبقة
Layer Mode,Mode de calque,,طور الطبقة
Layer name:,Nom du calque :,Ebenenname:,اسم الطبقة:
Layer cannot be lowered more.,Le calque ne peut pas être descendu plus bas.,Diese Ebene kann nicht weiter abgesenkt werden.,لا يمكن خفض الطبقة أكثر.
Layer cannot be raised higher.,Le calque ne peut pas être monté plus haut.,Diese Ebene kann nicht weiter angehoben werden.,لا يمكن رفع الطبقة أعلى.
Layer mask type:,Type de masque de calque :,Typ der Ebenenmaske:,نوع ملء الطبقة
Layer masks on layer groups,Des masques de calque sur les groupes de calques.,,لا يمكن الرسم على مجموعات الطبقات.
Layer name:,Nom du calque :,Ebenenname:,اسم الطبقة:
Layer to Image Size,Calque aux dimensions de l’image,Ebene auf Bildgröße skalieren,الطبقة إلى حجم الصورة
Layer to Bottom,Calque tout en bas,,الطبقة إلى القاع
Layer to Image Size,,,الطبقة إلى حجم الصورة
Layer to Top,Calque tout en haut,,الطبقة إلى السطح
Layer/Channel,Calque/canal,Ebene/Kanal,طبقة/قناة
Layer/Channel modification,Modification calque/canal,Ebene/Kanal modifizieren,تعديل الطبقة/القناة
Layers,Calques,Ebenen,الطبقات
Layers Menu,Menu des calques,Ebenenmenü,قائمة الطبقات
Layers Merge Options,Options de fusion des calques,Ebenen-vereinen-Eigenschaften,خيارات دمج الطبقات
Learn more,En savoir plus,Mehr erfahren,تعرف على المزيد
Left,Gauche,Links,يسار
Left Color Type,Type de couleur gauche,Linke Farbe,نوع اللون الأيسر
Left Endpoint Color,Couleur de l’extrémité gauche,Farbe des linken Endpunktes,لون نقطة النهاية اليسرى
Left color:,Couleur gauche :,Linke Farbe:,نوع اللون الأيسر
Left-handed,Gaucher,Linkshänder,أيسر اليد
"Left/Right to move, Space to fire, 'p' to pause, 'q' to quit","Gauche/Droite pour se déplacer, Espace pour tirer, « p » pour pause, « q » pour quitter","Links/Rechts zum Bewegen, Leertaste zum Schießen, »p« zum Anhalten, »q« zum Beenden",يمين/يسار للتحرك، مفتاح المسافة لإطلاق النار، 'p' للإلباث، 'q' للخروج
Lens Distortion,Distorsion de lentille,,تشوه العدسات
Lens Distortion...,,,تشوه العدسات...
Lens Flare,Effet d’éblouissement,,سطوع العدسات
Lens Flare...,,,سطوع العدسات...
Let GIMP try to restore your last saved session on each startup.,"Laisser GIMP tenter de restaurer, à chaque démarrage, votre dernière session enregistrée.","Wenn diese Option ausgewählt ist, versucht GIMP bei jedem Start, die letzte Sitzung wieder herzustellen.",دع جمب يحاول استعادة آخر جلسة محفوظة عند كل بداية.
Letter spacing,Espacement des lignes,Zeichenabstand,تباعد الخطوط
"Level: %s,  Lives: %s","Niveau : %s, Vies : %s","Level: %s,  Leben: %s",المستوى: %s،  الأرواح: %s
Levels,Niveaux,Farbwerte,المستويات
Light check color,Couleur claire du damier,Helle Schachbrettfarbe,لون الاختيار الفاتح
Lighten only,Éclaircir seulement,Nur Aufhellen,تفتيح فقط
Lighten only (l),Éclaircir seulement (a),Nur Aufhellen (v),تفتيح فقط
Lighten only (legacy),Éclaircir seulement (ancien),Nur Aufhellen (veraltet),تفتيح فقط
Lightness,Luminosité,Helligkeit,الإضاءة
Lightness (LCH),,,الإضاءة (LCH)
Limit rotation steps to 15 degrees,Limite les pas de rotation à 15 degrés,Drehvorgänge auf 15 Grad beschränken,اقصر خطوات التدوير على 15 درجة
Line,Ligne,Linie,سطر
Line style:,Style de ligne :,Linienstil:,أسلوب السطر:
Line spacing,Espacement des lignes,Linienabstand,تباعد الخطوط
Line style,Style de ligne,Linienstil,أسلوب السطر:
Line style used for the grid.,Style de ligne utilisé pour la grille.,Der für das Raster verwendete Linienstil.,طراز السطر المستخدم للشبكة.
Line width,Épaisseur de ligne,Linienbreite,عرض السطر:
Line width:,Épaisseur de ligne :,Linienbreite:,عرض السطر:
Line:,Ligne :,Linie:,سطر
Linear,Linéaire,Linear,خطي
Linear burn,Assombrissement linéaire,Lineare Nachbelichtung,خطي
Linear histogram,Histogramme linéaire,Lineares Histogramm,رسم بياني خطي
Linear light,Lumière linéaire,Lineares Licht,ضوء خطي
Link Angle,Lier l’angle,Winkel verknüpfen,زاوية نقطة الحبر
Link Aspect Ratio,Lier les proportions,Seitenverhältnis verknüpfen,ربط نسبة الأبعاد
Link Hardness,Lier la dureté,Härte verknüpfen,الصلابة
Link Size,Lier la taille,Größe verknüpfen,حجم الطباعة
Link Spacing,Lier l’espacement,Abstand verknüpfen,تباعد الخطوط
Link brush angle to brush native,Lier l’angle de la brosse à sa valeur par défaut,Winkel mit dem nativen Winkel des Pinsels verknüpfen,اربط زاوية الفرشاة بزاويتها الطبيعية
Link brush aspect ratio to brush native,Lier les proportions de la brosse à leurs valeurs par défaut,Seitenverhältnis mit dem nativen Seitenverhältnis des Pinsels verknüpfen,اربط نسبة أبعاد الفرشاة بنسبتها الطبيعية
Link brush hardness to brush native,Lier la dureté de la brosse à sa valeur par défaut,Härte auf die native Härte des Pinsels zurücksetzen,اربط صلابة الفرشاة بصلابتها الطبيعية
Link brush size to brush native,Lier la taille de la brosse à sa valeur par défaut,Größe mit der nativen Größe des Pinsels verknüpfen,اربط حجم الفرشاة بحجمها الطبيعي
Link brush spacing to brush native,Lier l’espacement de la brosse à sa valeur par défaut,Abstand auf die native Größe des Pinsels zurücksetzen,اربط تباعد الفرشاة بتباعدها الطبيعي
Link to brush default,Lier à la brosse par défaut,Mit Pinselstandard koppeln,اربط الفرشاة بالمبدئيات
Link/Unlink item,,,اربط/افصل العنصر
Load Icon Image,Charger l’image d’icône,Symbolbild laden,حمّل صورة أيقونة
Load Right Color From,Charger la couleur droite depuis,Rechte Farbe laden von,حمل اللون الأيمن من
Load text from file,Charger le texte depuis le fichier,Text aus Datei laden,حمّل نصا من ملف
Loading preview...,Chargement de l’aperçu…,Vorschau wird geladen …,يحمّل المعاينة...
Lock Tab to Dock,Verrouille l’onglet au groupe de fenêtres,Reiter sperren,أوصِد اللسان في المرساة
Location:,Emplacement :,Speicherort:,المكان:
Lock,Verrouiller,Sperre,أوصِد
Lock Alpha Channel,Verrouiller le canal alpha,Alphakanal sperren,أوصد طبقة ألفا
Lock alpha,Verrouiller le canal alpha,Alphakanal sperren,أوصِد قناة الشفافية
Lock pixels,Verrouiller les pixels,Pixel sperren,أوصِد البكسلات
Lock alpha channel,Verrouiller le canal alpha,Alphakanal sperren,أوصِد قناة الشفافية
Lock brush to view,Fixer la brosse à l’affichage,Pinsel an Ansicht koppeln,أوصد حجم الفرشاة لمستوى التقريب
Lock path position,Verrouiller la position du chemin,Pfadposition sperren,أوصِد موضع المسار
Lock path strokes,Verrouiller les tracés de chemin,,أوصِد سماكة المسارات
Lock path position,Verrouiller la position du chemin,Pfadposition sperren,أوصِد موضع المسار
Lock path strokes,Verrouiller les tracés de chemin,,أوصِد سماكة المسارات
Lock pixels,Verrouiller les pixels,Pixel sperren,أوصِد البكسلات
Lock position and size,Verrouiller la position et la taille,Position und Größe sperren,أوصد الموضع و الحجم
Lock position and size,Verrouiller la position et la taille,Position und Größe sperren,أوصد الموضع و الحجم
Lock/Unlock alpha channel,Verrouiller/déverrouiller le canal alpha,Alphakanal sperren/entsperren,أوصد/افتح قناة الشفافية
Lock/Unlock content,Verrouiller/déverrouiller le contenu,Inhalt sperren/entsperren,أوصد/افتح المحتوى
Lock/Unlock position,Verrouiller/déverrouiller la position,Position sperren/entsperren,أوصد/افتح الموضع
Lock:,,,أوصِد:
Logarithmic histogram,Histogramme logarithmique,Logarithmisches Histogramm,رسم بياني لوغارتمي
Long dashes,Tirets longs,Lange Striche,شرُط طويلة
Looking for data files,Recherche des fichiers de données,Es wird nach Arbeitsdaten gesucht,يبحث عن ملفات البيانات
Low,Basse,Niedrig,منخفض
Low Input,Entrée basse,Niedrige Eingabe,الإدخال الأدنى
Low Output,Sortie basse,Niedrige Ausgabe,الإخراج الأدنى
Low Swap Space Warning,,,تحذير انخفاض مساحة منطقة التبديل
Low threshold,Seuil bas,Unterer Schwellwert,العتبة الدنيا
Lower Channel,Descendre le canal,Kanal absenken,أخفض قناة
Lower Channel to Bottom,Envoyer le canal au bas de la pile,Kanal nach ganz unten absenken,أخفض القناة إلى القاع
Lower Channel to Bottom,,,أخفض القناة إلى القاع
Lower Layer,Descendre le calque,Ebene absenken,اخفض الطبقة
Lower Layer to Bottom,Envoyer le calque tout en bas,Ebene nach ganz unten,اخفض الطبقة إلى القاع
Lower Path,Descendre le chemin,Pfad absenken,اخفض المسار
Lower Path to Bottom,Envoyer le chemin en bas de la pile,Pfad nach ganz unten absenken,اخفض المسار إلى القاع
Lower Path to Bottom,Placer le chemin tout en bas,,اخفض المسار إلى القاع
Lower this channel one step in the channel stack,,,أخفض هذه القناة درجة في رصة القنوات
Lower this channel to the bottom of the channel stack,,,أخفض القناة إلى أسفل رصة القنوات
Lower this layer one step in the layer stack,Descendre ce calque d’un rang dans la pile des calques,,أخفض الطبقة درجة واحدة في رصة الطبقات
Lower this path,Descendre le chemin,,اخفض هذا المسار
Lower this path to the bottom,Placer le chemin tout en bas,,اخفض هذا المسار إلى القاع
Lower this tool,,,اخفض هذه الأداة
Lower this tool to the bottom,,,اخفض هذه الأداة إلى القاع
Luma darken only,Assombrir en Luma seulement,Nur Luma abdunkeln,تغميق فقط
Luma lighten only,Éclaircir en Luma seulement,Nur Luma aufhellen,تفتيح فقط
Luma/Luminance lighten only,Éclaircir en Luma/Luminance seulement,Nur Luma/Leuchtkraft aufhellen,تفتيح فقط
Luminance: %0.1f    Opacity: %0.1f,Luminance : %0.1f   Opacité : %0.1f,Leuchtkraft: %0.1f    Deckkraft: %0.1f,الإضاءة: %I0.1f    الإعتام: %I0.1f
Master,Maître,Alle,الرئيسي
Move to Screen,Aller à l’écran,,انقل إلى الشاشة
MyPaint Brush,Brosses MyPaint,MyPaint-Pinsel,فرشاة ماي پينت
Magenta,Magenta,Magenta,ماجنتا
Magenta-Green,Magenta-Vert,Magenta-Grün,ماجنتا-أخضر
Maintain aspect ratio when scaling (%s),Conserver les proportions lors de la mise à l’échelle (%s),Seitenverhältnis beim Skalieren beibehalten (%s),حافظ على نسبة الأبعاد أثناء التحجيم (%s)
Make transparent,Rendre transparent,Transparent machen,اجعلها شفافة
Make all warnings fatal,Rendre tous les signaux fatals,Alle Warnungen als kritisch einstufen,اجعل جميع التحذيرات فادحة
Manage Saved Presets,Gestion des préréglages enregistrés,Gespeicherte Einstellungen verwalten,أدِر الإعدادات المحفوظة
Manage presets,Gestion des préréglages,Einstellungen verwalten,أدِر الإعدادات المحفوظة
Mapping matrix,Matrice de correspondance,Abbildungsmatrix,مصفوفة المقابلة
Marching ants speed:,,,سرعة النمل الزاحف:
Mask Selected Areas,Masquer les régions sélectionnées,Maske aus Auswahl,ضع قناعا على المناطق المحددة
Mask Unselected Areas,Masquer les régions non sélectionnées,Maske aus invertierter Auswahl,ضع قناعا على المناطق غير المحددة
Matting Global,Extraction Globale,Globales Matting,استخراج عام
Matting Levin,Extraction Levin,Levin-Matting,استخراج ليڤن
Matting engine to use,Moteur d’extraction à utiliser,Freistellmethode,محرك الاستخراج المستخدم
Max depth,Profondeur max,Max. Tiefe,العمق الأقصى
Max strokes X,Max coups de pinceau X,Max. X-Pinselstriche,أوصِد الحدود
Max strokes Y,Max coups de pinceau Y,Max. Y-Pinselstriche,أوصِد الحدود
Maximum History Size:,,,أقصى حجم للتأريخ:
Maximum filesize for thumbnailing:,Taille maximale pour les fichiers de vignettes :,Maximale Dateigröße für Vorschaubilder:,أقصى حجم لملف المضغرات:
Maximum new image size:,Taille maximale de la nouvelle image :,Maximale Größe neuer Bilder:,أقصى حجم للصور الجديدة:
Maximum color difference,Différence maximale de couleur,Maximale Farbdifferenz,أقصى اختلاف لوني
Maximum number of colors:,Nombre maximal de couleurs :,Maximale Anzahl der Farben:,أكبر عدد من الألوان:
Maximum number of strokes on the X axis,Nombre maximal de coups de pinceau sur l’axe des X,Maximale Anzahl der Pinselstriche auf der X-Achse,أكبر عدد من الألوان:
Maximum number of strokes on the Y axis,Nombre maximal de coups de pinceau sur l’axe des Y,Maximale Anzahl der Pinselstriche auf der Y-Achse,أكبر عدد من الألوان:
Maximum undo memory:,Mémoire maximale pour l’annulation :,Maximaler Speicher für das Journal:,أعلى ذاكرة تراجع:
Maze,Labyrinthe,,متاهة
Mean:,Moyenne :,Durchschnitt:,المتوسط:
Measure,Mesure,Maßband,قِس
Measure Distances and Angles,Mesurer les distances et les angles,Abstände und Winkel messen,قِس المسافات والزوايا
Measure Tool: Measure distances and angles,Outil de mesure : mesure les distances et les angles,Maßband: Abstände und Winkel messen,أداة القياس: لقياس المسافات والزوايا
Measure the rulers and enter their lengths:,Mesurez les règles et saisissez leurs longueurs :,Bitte messen Sie die Lineale aus und tragen Sie die Längen unten ein:,قِس المساطر وأدخل أطوالها:
Median:,Médiane :,Median:,الأوسط:
Medium,Moyenne,Mittel,متوسط
Medium dashes,Tirets moyens,Striche,شرُط متوسطة
Medium size,,Mittel,شرُط متوسطة
Merge,Fusionner,Vereinen,ادمج
Merge Down,Fusionner vers le bas,Nach unten vereinen,ادمج لأسفل
Merge Down,Fusionner vers le bas,Nach unten vereinen,ادمج لأسفل
Merge Layer Group,Fusionner le groupe de calques,Ebenengruppe vereinen,ادمج مجموعة الطبقات
Merge Layers,Fusion des calques,Ebenen vereinen,ادمج الطبقات
Merge Layers Dialog,Boîte de dialogue « Fusionner les calques »,Dialog zum Vereinen von Ebenen,ادمج الطبقات
Merge Palettes,Fusionner les palettes,Paletten vereinen,ادمج ألواح الألوان
Merge Visible Layers,Fusionner les calques visibles,Sichtbare Ebenen vereinen,ادمج الطبقات المرئية
Merge Visible Paths,Fusionner les chemins visibles,Sichtbare Pfade vereinen,ادمج المسارات المرئية
Merge Visible Layers...,Fusionner les calques visibles…,Sichtbare Ebenen vereinen …,ادمج الطبقات المرئية...
Merge Visible Layers...,Fusionner les calques visibles…,Sichtbare Ebenen vereinen …,ادمج الطبقات المرئية...
Merge Visible Paths,Fusionner les chemins visibles,Sichtbare Pfade vereinen,ادمج المسارات المرئية
Merge all layers into one and remove transparency,Fusionner tous les calques en un seul et supprimer la transparence,Alle Ebenen in einer vereinen und die Transparenz entfernen,ادمج كل الطبقات في واحدة واحذف الشفافية
Merge all visible layers into one layer,Fusionner tous les calques visibles dans un seul,Alle sichtbaren Ebenen in einer Ebene vereinen,ادمج كل الطبقات المرئية في طبقة واحدة
Merge imported paths,Fusionner les chemins importés,Importierte Pfade vereinen,ادمج المسارات المستوردة
Merge layers,Fusionner les calques,Ebenen vereinen,ادمج الطبقات
Merge palettes,Fusionner les palettes,Paletten vereinen,ادمج ألواح الألوان
Merge paths,Fusionner les chemins,Pfade vereinen,ادمج المسارات
Merge the layer group's layers into one normal layer,,,ادمج طبقات مجموعة الطبقات في طبقة عادية واحدة
Merge this layer with the first visible layer below it,,,ادمج هذه الطبقة بأول طبقة مرئية أسفلها
Merge within active group only,,,ادمج داخل المجموعة النشطة فقط
Merge within active group only,,,ادمج داخل المجموعة النشطة فقط
Merged layer size:,Taille du calque fusionné :,Größe der vereinten Ebene:,ادمج الطبقات
Message,Message,Meldung,رسالة
Messages are redirected to stderr.,Les messages sont redirigés vers stderr.,Die Ausgabe erfolgt nun auf der Standardfehlerausgabe.,تمرر الرسائل إلى الخطأ القياسي.
Metadata,Métadonnées,Metadaten,بيانات فوقية
Midpoint %d,Point médian %d,Mittelpunkt %d,نقطة
Minimal number of undo levels:,Nombre minimal de niveaux d’annulation :,Minimale Anzahl an Journalschritten:,أقل عدد من مستويات التراجع:
Mirror,Miroir,Spiegeln,خطأ
Miter limit,Limite de pointe,Gehrungslimit,حاد
Mode,Mode,Modus,الوضع
Mode:,Mode :,Modus:,النمط:
Modify Perspective,Modifier le plan de perspective,Perspektive ändern,عدّل المنظور
Modify active gradient,Modifier le dégradé actif,Aktiven Farbverlauf bearbeiten,حرّر التدرجات النشطة
Modify paint mode and opacity of the last pixel manipulation,,,عدّل نمط رسم و عتامة التعامل مع آخر بكسل
Modify the active gradient in-place,Modifier le dégradé actif en place,Aktiven Farbverlauf an Ort und Stelle bearbeiten,حرّر التدرجات النشطة
Module,Module,,الوحدات
Module Folders,Dossiers des modules,Modulordner,مجلدات الوحدات
Module Manager,Gestionnaire de modules,Modulverwaltung,مدير الملحقات
Modules,Modules,Module,الوحدات
Monitor Resolution,Définition du moniteur,Bildschirmauflösung,ميْز الشاشة
Mosaic,Mosaïque,,فسيفساء
Motion Blur,Flou cinétique,,غشاوة حركية
Motion only,Déplacement seulement,Nur Bewegung,حركة فقط
Mounting remote volume,Montage d’un volume distant,Entfernten Datenträger einhängen,ضم جزء بعيد
Mouse Button Events,Évènements des boutons de la souris,,أحداث أزرار الفأرة
Mouse Buttons,Boutons de souris,,أزرار الفأرة
Mouse Pointers,,,مؤشرات الفأرة
Mouse Wheel,Roulette de la souris,Mausrad,بكرة الفأرة
Mouse Wheel Events,Évènements de la roulette de la souris,Mausradereignisse,أحداث بكرة الفأرة
Move,Déplacer,Verschieben,انقل
Move Anchors,Déplacer des ancres,Anker verschieben,انقل المربط
Move Channel,Déplacer le canal,Kanal verschieben,انقل القناة
Move Floating Selection,Déplacer la sélection flottante,Schwebende Auswahl bewegen,انقل التحديد الحر
Move Guide,Déplacer le guide,Hilfslinie verschieben,انقل الدليل
Move Guide:,Déplacer un guide :,Hilfslinie verschieben:,انقل الدليل:
Move Layer,Déplacer le calque,Ebene bewegen,انقل الطبقة
Move Layer Group,Déplacer le groupe de calques,Ebenengruppe bewegen,انقل مجموعة الطبقات
Move Layer Mask,Déplacer le masque de calque,Ebenenmaske bewegen,انقل قناع الطبقة
Move Path,Déplacer le chemin,Pfad verschieben,انقل مسار
Move Sample Point,Déplacer le point d’échantillonnage,Prüfpunkt verschieben,انقل النقطة العينة
Move Sample Point:,Déplacer le point d’échantillonnage :,Prüfpunkt verschieben:,انقل عينة نقطة:
Move Selection,Déplacer la sélection,Auswahl verschieben,انقل التحديد
Move Text Layer,Déplacer le calque de texte,Textebene verschieben,انقل الطبقة النصية
Move Tool,Outil de déplacement,Verschiebewerkzeug,أداة النقل
"Move Tool: Move layers, selections, and other objects","Outil de déplacement : déplace les calques, sélections et autres objets","Verschieben: Ebene, Auswahl oder anderes Objekt verschieben",أداة النقل: انقل الطبقات والتحديدات والكائنات الأخرى
Move item,Déplacer l’élément,Objekt verschieben,انقل العنصر
Move pixels,Déplacer les pixels,Pixel bewegen,انقل البكسلات
Move selection,Déplacer la sélection,Auswahl verschieben,انقل التحديد
Move the active layer,,,انقل الطبقة النشطة
Move the active path,Déplacer le chemin actif,Aktiven Pfad verschieben,انقل المسار النشط
Move the mouse to change threshold,Déplacer la souris pour changer le seuil,Bewegen Sie zum Ändern des Grenzwertes die Maus,حرّك الفأرة لضبط العتبة
Move the selected controller down,Déplacer vers le bas le contrôleur sélectionné,Die gewählte Steuerung nach unten verschieben,انقل الضابط المحدد نحو الأسفل
Move the selected controller up,Déplacer vers le haut le contrôleur sélectionné,Die gewählte Steuerung nach oben verschieben,انقل الضابط المحدد نحو الأعلى
Move the selected filter down,Déplacer vers le bas le filtre sélectionné,Den gewählten Filter nach unten verschieben,انقل المرشح المختار نحو الأسفل
Move the selected filter up,Déplacer vers le haut le filtre sélectionné,Den gewählten Filter nach oben verschieben,انقل المرشح المختار نحو الأعلى
Move the selected pixels to a named buffer,Déplacer les pixels sélectionnés dans un presse-papiers nommé,Ausgewählte Pixel in eine benannte Ablage verschieben,انقل البكسلات المحددة إلى براح مُسمّى
Move the selected pixels to the clipboard,Déplacer les pixels sélectionnés dans le presse-papiers,Ausgewählte Pixel in die Zwischenablage verschieben,انقل البكسلات المحددة إلى الحافظة
Move this layer to the bottom of the layer stack,Déplacer ce calque tout en bas de la pile des calques,,انقل الطبقة إلى أسفل رصة الطبقات
Move this layer to the top of the layer stack,Déplacer ce calque tout en haut de la pile des calques,,انقل الطبقة إلى أعلى رصة الطبقات
Move this window to screen %s,Déplacer cette fenêtre vers l’écran %s,Dieses Fenster auf Bildschirm %s verschieben,انقل هذه النافذة إلى الشاشة %s
Move to Screen,Aller à l’écran,Auf Bildschirm verschieben,انقل إلى الشاشة
Move:,Déplacer :,Verschieben:,انقل:
Multiply,Multiplier,Multiplizieren,تكرار
Multiply (l),Multiplier (a),Multiplizieren (v),تكرار
Multiply (legacy),Multiplier (ancien),Multiplizieren (veraltet),تكرار
MyPaint Brush,Brosse MyPaint,MyPaint-Pinsel,فرشاة ماي پينت
MyPaint Brush Folders,Dossiers des brosses MyPaint,MyPaint-Pinselordner,مجلدات فرش ماي پينت
MyPaint Brush Tool: Use MyPaint brushes in GIMP,Outil Brosses Mypaint : utiliser des brosses MyPaint dans GIMP,MyPaint-Pinselwerkzeug: MyPaint-Pinsel in GIMP verwenden,أداة فرشاة ماي پينت: استخدم فرش ماي پينت في جمب
MyPaint Brushes,Brosses MyPaint,MyPaint-Pinsel,فرش ماي پينت
MyPaint Brushes Menu,Menu des brosses MyPaint,MyPaint-Pinselmenü,قائمة فرش ماي پينت
MyPaint brush '%s' is not editable,La brosse MyPaint « %s » n’est pas modifiable,,الفرشاة '%s' غير قابلة للتعديل
MyPaint brush '%s' is not renamable,La brosse MyPaint « %s » ne peut pas être renommée,,الفرشاة '%s' غير قابلة للتعديل
MyPaint brush '%s' not found,Impossible de trouver la brosse MyPaint « %s »,,الفرشاة '%s' غير موجودة
"MyPaint brush file is unreasonably large, skipping.","Le fichier de brosse Mypaint est déraisonnablement gros, on passe.","Die MyPaint-Pinseldatei ist ungewöhnlich groß, wird übersprungen.",ملف فرشاة ماي پينت كبير بشكل غير مناسب، سنتجاوزه.
Mybrush,MyBrush,MyPaint-Pinsel,Mybrush
Noise,Bruit,Rauschen,ضجيج
Number of colors:,Nombre de couleurs :,Anzahl der Farben:,عدد الألوان:
Navigation,Navigation,Navigation,الإبحار
Navigation Window,Fenêtre de navigation,Navigationsfenster,نافذة الإبحار
Navigation preview size:,Taille de l’aperçu de navigation :,Vorschaugröße in der Navigation:,حجم معاينة الإبحار:
Name,Nom,Name,الاسم
Name:,Nom :,Name:,الاسم:
Named buffer '%s' not found,Impossible de trouver le tampon nommé « %s »,Benannte Ablage »%s« wurde nicht gefunden,البراح المسمى '%s' غير موجود
Navigate the image display,Naviguer dans l’affichage d’image,In der Bildansicht navigieren,تصفّح عرض الصورة
Navigation,Navigation,Navigation,إبحار
New Channel,Nouveau canal,Neuer Kanal,قناة جديدة
New Channel Color,Nouveau canal de couleur,Farbe für neuen Kanal,لون القناة الجديدة
New Channel Dialog,Boîte de dialogue « Nouveau canal »,Dialog für neuen Kanal,لون القناة الجديدة
New Color Profile,Nouveau profil de couleur,Neues Farbprofil,لاحة الألوان
New Color from BG,Nouvelle couleur depuis l’AP,Neue Farbe aus Hintergrund,لون جديد من الخلفية
New Color from FG,Nouvelle couleur depuis le PP,Neue Farbe aus Vordergrund,لون جديد من المقدمة
New Layer,,,طبقة جديدة
New Layer Dialog,Boîte de dialogue « Nouveau calque »,Dialog für neue Ebene,طبقة جديدة
New Layer In Place,Nouveau calque en place,,طبقة جديدة في مكانها
New Layer Group,Nouveau groupe de calques,Neue Ebenengruppe,مجموعة طبقات جديدة
New Path,Nouveau chemin,Neuer Pfad,مسار جديد
New Path Dialog,Boîte de dialogue « Nouveau chemin »,Dialog für neuen Pfad,خيارات المسار الجديد
New Seed,Nouveau germe,Neue Zufallsdaten,بذرة جديدة
New Template,Nouveau modèle,Neue Vorlage,قالب جديد
New Toolbox,,,صندوق أدوات جديد
New Layer,Nouveau calque,,طبقة جديدة
New channel,Nouveau canal,Neuer Kanal,قناة جديدة
New from Visible,Nouveau depuis le visible,Neu aus Sichtbarem,جديدة من المرئي
New import,Nouvel import,Neu importiert,استيراد جديد
New layer,Nouveau calque,Neue Ebene,طبقة جديدة
New path,Nouveau chemin,Neuer Pfad,مسار جديد
Next Image,Image suivante,Nächstes Bild,الصّورة التّالية
No,Non,Nein,بدون
No MyPaint brushes available for use with this tool.,Aucune brosse MyPaint disponible pour être utilisée avec cet outil.,Es sind keine MyPaint-Pinsel für dieses Werkzeug vorhanden.,لا فرش ماي پينت متاحة للاستخدام مع هذه الأداة.
