%s — Private key,%s — Clé privée,%s — Geheimer Schlüssel,‏%s — مفتاح سري
%s — Public key,%s — Clé publique,%s — Öffentlicher Schlüssel,‏%s — مفتاح علني
%u:%u:%u,,,%Iu:%Iu:%Iu
Export Secret Key:,,,صدِّر المفتاح السري:
Find keys via:,,,ابحث عن المفاتيح بواسطة:
Find remote keys…,Chercher des clés distantes…,Entfernte Schlüssel suchen …,اعثر على مفاتيح بعيدة…
Help,Aide,Hilfe,مساعدة
Just Create Key,,,أنشئ مفتاح فقط
Key Servers,Serveurs de clés,Schlüssel-Server,خواديم المفاتيح
Keyring:,Trousseau :,,حلقة المفاتيح:
Lock,Verrouiller,Sperren,أوصد
Login name:,Identifiant de connexion :,,اسم الولوج:
Never expires,N’expire jamais,Läuft nie ab,لا ينتهي أبدا
Not at all,Pas du tout,Überhaupt nicht,بتاتا
OK,Valider,,حسنا
Only display the signatures of people I trust,,,لا تظهر سوى توقيعات من أثق بهم
Open,Ouvrir,,افتح
Other Names:,,,الأسماء الأخرى:
Others may not see this signature,Les autres ne peuvent pas voir cette signature,Andere sollen diese Signatur nicht sehen können,يمكن للآخرين رؤية هذا التوقيع
Password:,Mot de passe :,,كلمة السر:
People who have signed this key:,,,الأشخاص الذين وقّعوا هذا المفتاح:
Preferences,Préférences,Einstellungen,التفضيلات
Properties,Propriétés,Eigenschaften,الخصائص
Publish keys to:,Publier les clés sur :,Schlüssel veröffentlichen auf:,انشر المفاتيح في:
Reason:,Raison :,,السبب:
Resize,Redimensionner,Größe anpassen,أعِد التحجيم
Revoke Signature,,,انقض التوقيع
Save,Enregistrer,Speichern,احفظ
Search,Chercher,Suche,ابحث
Search for keys containing:,Chercher des clés contenant :,,ابحث عن المفاتيح التي تحتوي:
Server address:,Adresse du serveur :,,عنوان الخادوم:
Set as default,Par défaut,Zur Vorgabe machen,اجعلها المبدئية
Sign,Signer,Signieren,وقِّع
Sign message with key:,,,وقّع الرسالة بالمفتاح:
Sign this Key,,,وقِّع هذا المفتاح
Signer:,Signataire :,,المُوقّع:
Subkeys,,,المفاتيح الفرعية
Sync,Synchroniser,Abgleichen,زامِن
Sync and publish keys…,Synchroniser et publier des clés…,Schlüssel abgleichen und veröffentlichen …,زامن وانشر المفاتيح…
Unlock,Déverrouiller,Entsperren,افتح
Very Carefully,Très sérieusement,Sehr sorgfältig,بحرص شديد
calendar:weekstart:0,,,calendar:weekstart:0
eg: fileserver.example.com:port,ex : serveur.exemple.com:port,,مثلا: fileserver.example.com:port
initial temporary item,élément temporaire initial,,عنصر مؤقت أولي
keyring;encryption;security;sign;ssh;,,,حلقة مفاتيح;تعمية;سرية;أمن;ssh;
openssh://%s,openssh://%s,openssh://%s,openssh://%s
org.gnome.seahorse.Application,,,org.gnome.seahorse.Application
