
%(uri)s link to %(file)s,lien %(uri)s vers %(file)s,%(uri)s Link auf %(file)s,%s وصلة لـ %s
%.2f kilobytes,%.2f kilooctets,%.2f Kilobytes,%.2f كيلوبايت
%.2f megabytes,%.2f mégaoctets,%.2f Megabytes,%.2f ميغابايت
%s default voice,voix par défaut %s,%s Standardstimme,%s صوت افتراضي
%s link,lien %s,%s Link,%s وصلة
%s panel,,,%s لوحة
%s screen,,,%s شاشة
percent,,,نسبة مئوية
pgbar,barprog,pgbar,عمود التقدم
pgt,ong,pgt,لسن
pixels above lines,pixels au-dessus des lignes,Pixel über Zeilen,بكسلات فوق السطر
pixels below lines,pixels au-dessous des lignes,Pixel unter Zeilen,بكسلات تحت السطر
pixels inside wrap,pixels entre les lignes d’un paragraphe,Pixel innerhalb Umbruch,بكسلات في الإلتفاف
plus,plus,Plus,زائد
plus or minus,,,زائد أو ناقص
pnl,tdb,pnl,شريط
politeness level %s,niveau de politesse %s,Höflichkeitsstufe %s,مستوى التهذيب %s
popmnu,mnuctxt,popmnu,قائمة منبثقة
pounds,,,جنيه استرليني
present new mail if this script is not active.,,,قدِّم البريد الجديد ان لم يكن هذا البرنامج النصي نشطًا.
pressed,pressé,gedrückt,مضغوط
prime,,,فتحة
pwd,pass,pwd,ب.أ.د
question,,,سؤال
quote,,,اقتباس
radio,boutrad,radio,اختيار
rdmnuitm,élemrad,rdmnuitm,عنصر زر راديو
rdonly,lectseule,nur lesbar,ق.فقط
read only,lecture seule,nur lesbar,قراءة فقط
registered,,,مسجل
required,requis,Eingabe erforderlich,مطلوب
return,entrée,Enter,عودة
right,droite,rechts,يمين
right alt,alt droit,Alt rechts,زر alt اليميني
right arrow,flèche vers la droite,Pfeil nach rechts,قوس مغلق
right brace,,,قوص أيمن
right bracket,,,قوس أيمن
right control,contrôle droit,Steuerung rechts,زر كنترول اليميني
right double angle bracket,,,قوس مزدوج أيمن
right double quote,,,علامة إقتباس مزدوجة يمنى
right margin,marge de droite,Rechter Rand,الهامش اليمين
right meta,méta droit,Metataste rechts,ميتا يميني
right paren,,,قوس مغلق
right shift,maj droit,Umschalt rechts,زر التغيير اليميني
right single quote,,,علامة اقتباس احادية يمنى
right super,touche Super droite,rechte Metataste,السوبر اليميني
right-pointing arrow,flèche vers la droite,Dicker Pfeil nach rechts mit breiter Spitze,سهم نحو اليمين
right-pointing arrowhead,pointe de flèche vers la droite,"Dreidimensionaler Pfeil nach rechts, oben weiß",رأس سهم نحو اليمين
ring,rond en chef,Kreisakzent,a حلقة
rise,élévation,Anhebung,ارتفاع
rl,dg,rechts-links,rl
rl-tb,dg-hb,rechts-links oben-unten,rl-tb
row %(index)d of %(total)d,ligne %(index)d sur %(total)d,Zeile %(index)d von %(total)d,صف %d من %d
row %d,ligne %d,Zeile %d,صف %d
rtl,dvg,rechts nach links,يميني
rtpn,vltrac,rtpn,لوحة جذرية
rwhdr,têtelig,rwhdr,ترويسة السطر
s sharp,,,s حاد
same page,page identique,Die selbe Seite,نفس الصفحة
same site,site identique,Die selbe Website,نفس الموقع
scale,échelle,Skalierung,المقياس
scbr,bardéf,scbr,scbr
scpn,vltdéf,scpn,لف
scroll lock,arrêt défil.,Bildlauf,إقفال اللف
sctn,sctn,sctn,قسم
section,,,قسم
selected,sélectionné,ausgewählt,منتقى
semi condensed,semi-condensé,halb verdichtet,شبه مكثف
semi expanded,semi-étendu,halb gedehnt,شبه ممطوط
semicolon,,,فاصلة منقوطة
sentence,phrase,Satz,جملة
seprtr,seprtr,seprtr,مفرق
setting live region to assertive,définition de la zone dynamique à « affirmative »,Dynamischer Bereich auf bestimmend eingestellt,إعداد المنطقة الحية كمؤكدة
setting live region to off,définition de la zone dynamique à « désactivée »,Höflichkeitseinstellungen für den dynamischen Bereich ausgeschaltet,بلا إعداد للمنطقة الحية
setting live region to polite,définition de la zone dynamique à « polie »,Dynamischer Bereich auf höflich eingestellt,إعداد المنطقة الحية كمهذبة
setting live region to rude,,,إعداد المنطقة الحية كوقحة
shared ancestor %s,,,جد مشترك %s
single,simple,einfach,مفرد
single low quote,,,علامة إقتباس يسرى
size,taille,Größe,الحجم
slash,,,شرطة
sldr,glis,sldr,مزلق
slower.,moins rapide.,langsamer.,أبطأ.
small caps,petites majuscules,kleine Großbuchstaben,أحرف صغيرة
soft hyphen,,,بداية اقتباس
space,espace,Leerzeichen,فراغ
speak chat room name.,lire le nom du salon de discussion.,Chatraum-Namen vorlesen.,تكلم باسم غرفة المحادثة.
spelling,orthographe,Rechtschreibung,تثبت من تهجيئ الكلمات
spin,boutrégl,spin,تدوير
spltpn,vltpar,spltpn,إنقسام
square root,racine carrée,Quadratwurzel,جذر تربيعي
star,,,نجمة
statbr,barétat,statbr,حالة
stretch,étendu,Dehnung,الامتداد
strike through,barré,Durchgestrichen,شطب
string not found,chaîne non trouvée,Zeichenkette nicht gefunden,غير قادر على العثور على العبارة
stroke,barré,Querstrich,o مخطط
style,style,Stil,أسلوب
sub,en indice,tiefgestellt,فرع
subscript %s,indice %s,tiefgestellt %s,a علوي
subscript 0,,,a علوي
subscript 1,,,1 علوي
subscript 2,,,2 علوي
subscript 3,,,3 علوي
subscript 4,,,a علوي
subscript 5,,,a علوي
subscript 6,,,a علوي
subscript 7,,,a علوي
subscript 8,,,a علوي
subscript 9,,,a علوي
subscript equals,,,a علوي
subscript left paren,,,قوس مفتوح
subscript minus,,,a علوي
subscript plus,,,a علوي
subscript right paren,,,قوس مغلق
super,en exposant,hochgestellt,فائق
superscript %s,exposant %s,hochgestellt %s,a علوي
superscript 0,,,a علوي
superscript 1,,,1 علوي
superscript 2,,,2 علوي
superscript 3,,,3 علوي
superscript 4,,,a علوي
superscript 5,,,a علوي
superscript 6,,,a علوي
superscript 7,,,a علوي
superscript 8,,,a علوي
superscript 9,,,a علوي
superscript a,,,a علوي
superscript equals,,,a علوي
superscript left paren,,,a علوي
superscript minus,,,a علوي
superscript n,,,a علوي
superscript plus,,,a علوي
superscript right paren,,,a علوي
tab,tabulation,Tab,لسان
tb,hb,oben-unten,tb
tb-lr,hb-gd,oben-unten links-rechts,tb-lr
tb-rl,hb-dg,oben-unten rechts-links,tb-rl
tbar,barout,tbar,أدوات
tbl,tbl,tbl,جدول
tblst,lstong,tblst,جداول
term,term,term,عبارة
text decoration,décoration du texte,Textverzierung,زخرفة النص
text rotation,rotation du texte,Textdrehung,دوران النص
text shadow,ombre du texte,Textschattierung,ظل النص
text-bottom,aligné en bas,Text unten,أسفل النص
text-top,aligné en haut,Text oben,قمة النص
tglbtn,boutbsc,tglbtn,زر
thorn,,,ثورن
three fourths,,,ثلاثة أرباع
tilde,tilde,Tilde,حركة
times,,,مضروب في
tip,bul,tip,تلميحة
toggle,bouton à deux états,Umschalten,تنقل
tomnuitm,mnudét,tomnuitm,نزع عنصر
top,en haut,oben,قمة
trademark,,,علامة تجارية
tre,arbr,baum,شجر
tree level %d,niveau d’arborescence %d,Baumebene %d,مستوى الشجرة %d
triangular bullet,,,علامة مثلثية
triple click,triple-clic,Dreifachklick,(نقر ثلاثي)
trtbl,tabarb,trtbl,جشجرة
true,vrai,wahr,صحيح
txt,txt,txt,نص
u acute,,,Y حاد
u circumflex,,,E علامة
u grave,,,u بعلامة
u umlaut,,,U نقطتين
ultra condensed,super condensé,sehr stark verdichtet,مكثف بشدة
ultra expanded,super étendu,sehr stark gedehnt,ممطوط بشدة
umlaut,,,علامة
underline,soulignement,Unterstrichen,تسطير
unk,inc,unk,unk
unread,,,غير مقروء
unselected,non sélectionné,nicht ausgewählt,غير منتقى
up,haut,hoch,فوق
variant,variante,Großbuchstabenstil,التنوع
vertical,vertical,vertikal,عمودي
vertical align,alignement vertical,Vertikale Ausrichtung,محاذاة عمودية
vertical bar,,,خط عامودي
vwprt,fen,vwprt,مظهر
weight,graisse,Gewichtung,الوزن
white bullet,petit cercle blanc,Weißer Aufzählungspunkt,نقطة غليظة بيضاء
white circle,cercle blanc,Weißer Kreis,دائرة بيضاء
white space,blanc,Leerzeichen,فراغ
white square,carré blanc,Weißes Quadrat,مربع أبيض
wnd,fen,wnd,نفذ
word,mot,Wort,كلمة
word char,mot puis caractère,Wort Zeichen,محرف
wrap mode,mode de césure,Umbruchmodus,نمط الالتفاف
writing mode,mode d’écriture,Schreibmodus,نمط الكتابة
x-shaped bullet,,,علامة x
y acute,,,Y حاد
y umlaut,,,U نقطتين
yen,,,ين
