
Envelope,Enveloppe,Umschlag,مظروف
Printer Default,Selon l’imprimante,Vorgabe-Drucker,مبدئي الطابعة
Printer Profile,Profil d’imprimante,Druckerfarbprofil,لاحة الطابعة
Printer offline,Imprimante déconnectée,Drucker offline,الطابعة غير متصلة
Printer “%s” has no toner left.,Le toner de l’imprimante « %s » est vide.,Drucker »%s« hat keinen Toner mehr.,نفذ الحبر من الطابعة ”%s“.
Printer “%s” is currently offline.,L’imprimante « %s » est actuellement déconnectée.,Der Drucker »%s« ist momentan nicht betriebsbereit.,الطابعة ”%s“ غير متصلة حاليا.
Printer “%s” is low on at least one marker supply.,Au moins un des consommables est presque épuisé dans l’imprimante « %s ».,Drucker »%s« hat nur noch wenig Farbe in mindestens einem Farbbehälter.,نقص حبر واحد على الأقل من أقلام الطابعة ”%s“.
Printer “%s” is low on developer.,La quantité de développeur dans l’imprimante « %s » est faible.,Drucker »%s« hat nur noch wenig Entwickler.,مستوى المُحمِّض منخفض في الطابعة ”%s“.
Printer “%s” is low on paper.,Il n’y a presque plus de papier dans l’imprimante « %s ».,Der Drucker »%s« hat nur noch wenig Papier.,نقص الورق في الطابعة ”%s“.
Printer “%s” is low on toner.,Le toner de l’imprimante « %s » est presque vide.,Drucker »%s« hat nur noch wenig Toner.,حبر الطابعة ”%s“ منخفض.
Printer “%s” is out of at least one marker supply.,Au moins un des consommables est épuisé dans l’imprimante « %s ».,Drucker »%s« hat keine Farbe mehr in mindestens einem Farbbehälter.,نفذ حبر واحد على الأقل من أقلام الطابعة ”%s“.
Printer “%s” is out of developer.,Il n’y a plus de développeur dans l’imprimante « %s ».,Drucker »%s« hat keinen Entwickler mehr.,نفذت المُحمِّض من الطابعة ”%s“.
Printer “%s” is out of paper.,Il n’y a plus de papier dans l’imprimante « %s ».,Der Drucker »%s« hat kein Papier mehr.,نفذ الورق من الطابعة ”%s“.
Printing,Impression,Drucken,يطبع
Printing %d,Impression de %d,%d wird gedruckt,يطبع %Id
Properties,Propriétés,Eigenschaften,الخصائص
Proportional Alternate Vertical Metrics,Métriques verticales alternatives proportionnelles,Proportionale alternative vertikale Metriken,مقاسات تناسبية رأسية بديلة
Proportional Alternate Widths,Largeurs alternatives proportionnelles,Proportionale alternative Breiten,عرض تناسبي بديل
Proportional Figures,Chiffres proportionnels,Proportionalziffern,أرقام تناسبية
Proportional Kana,Kana proportionnels,Proportionales Kana,كانا تناسبية
Proportional Widths,Largeurs proportionnelles,Proportionale Breiten,عرض تناسبي
Provides visual indication of progress,,,يوفر إشارة مرئية على التقدم
Psalter Pahlavi,,,بهلوي مزاميري
Quarter Widths,Quarts de largeur,Viertelbreiten,ربع العرض
Quarto,In-quarto,Quarto,ربعي
Question,,,سؤال
Quit %s,Quitter %s,%s beenden,أنهِ %s
RA0,RA0,RA0,RA0
RA1,RA1,RA1,RA1
RA2,RA2,RA2,RA2
RA3,RA3,RA3,RA3
RA4,RA4,RA4,RA4
RLE Right-to-left embedding,,,غرس يمين إلى يسار (RLE)
RLM Right-to-left mark,,,علامة يمين إلى يسار (RLM)
RLO Right-to-left override,,,تخطي يمين إلى يسار (RLO)
ROC 16k,ROC 16k,ROC 16k,ROC 16k
ROC 8k,ROC 8k,ROC 8k,ROC 8k
Rewind,,,رجوع
Rakar Forms,Formes Rakar,Rakar-Formen,أشكال راكار
Randomize,Au hasard,Zufällige Alternativen,عشوائي
Range,Plage,Bereich,المدى
Reading not implemented.,,,القراءة غير منفّذة.
Rear Bin,Bac arrière,Hinterer Bin,السلة الخلفية
Recent,Récents,Zuletzt verwendet,مستخدمة مؤخرا
Recent Servers,Serveurs récents,Zuletzt verwendete Server,الخواديم الحديثة
Recent files,Fichiers récents,Zuletzt verwendete Dateien,الملفات المستخدمة مؤخرا
Recommended Applications,,,التطبيقات المُزكّاة
"Red %d%%, Green %d%%, Blue %d%%","Rouge %d%%, Vert %d%%, Bleu %d%%","Rot %d%%, Grün %d%%, Blau %d%%",أحمر %d%%، أخضر %d%%، أزرق %d%%
"Red %d%%, Green %d%%, Blue %d%%, Alpha %d%%","Rouge %d%%, Vert %d%%, Bleu %d%%, Alpha %d%%","Rot %d%%, Grün %d%%, Blau %d%%, Alpha %d%%",أحمر %d%%، أخضر %d%%، أزرق %d%%، ألفا %d%%
Registered User,Utilisateur enregistré,Registrierter Benutzer,مستخدم مسجّل
Rejang,,,ريجانگ
Rejecting Jobs,Tâches non acceptées,Aufträge werden abgewiesen,يجري رفض المهام
Related Applications,,,التطبيقات المتعلقة
Remember forever,Se souvenir pour toujours,Nie vergessen,تذكر للأبد
Remember password until you logout,Se souvenir du mot de passe jusqu’à la fin de la session,Passwort erst beim Abmelden vergessen,تذكر كلمة السر حتى الخروج
Remote location — only searching the current folder,Emplacement distant — recherche du dossier en cours uniquement,Entfernter Ort — es wird nur im aktuellen Ordner gesucht,مكان بعيد — نبحث في المجلد الحالي فقط
Rename…,,,غيّر الاسم…
Reph Forms,Formes Reph,Reph-Formen,أشكال رِف
Required Contextual Alternates,Alternatives contextuelles requises,Erforderliche kontextbedingte Alternativen,بدائل سياقية ضرورية
Required Ligatures,Ligatures requises,Erforderliche Ligaturen,اقترانات ضرورية
Required Variation Alternates,Alternatives de variation requises,Erforderliche Variations-Alternativen,بدائل تنويعية ضرورية
Resize,,,غيّر الحجم
Resolution,Résolution,Auflösung,الميز
Restore,Restaurer,Wiederherstellen,استعِد
Return,Retour,Eingabe,Return
Reverse landscape,Paysage inversé,Kopfstehendes Querformat,عرضيّ مقلوب
Reverse portrait,Portrait inversé,Kopfstehendes Hochformat,طوليّ مقلوب
Right,Droite,Rechts,Right
Right Bin,Bac de droite,Rechter Bin,السلة اليُمنى
Right Bounds,Alignements à droite,Rechte Grenzen,حدود اليمين
Right to left,De droite à gauche,Rechts nach links,من اليمين لليسار
"Right to left, bottom to top","De droite à gauche, du bas vers le haut","Rechts nach links, unten nach oben",من اليمين لليسار، ومن الأسفل للأعلى
"Right to left, top to bottom","De droite à gauche, du haut vers le bas","Rechts nach links, oben nach unten",من اليمين لليسار، ومن الأعلى للأسفل
Right-to-Left,,Rechts nach links,من اليمين لليسار
Right-to-left alternates,Alternatives de droite à gauche,Rechts-nach-links-Alternativen,بدائل من اليمين لليسار
Right-to-left mirrored forms,Formes reflétées de droite à gauche,Gespiegelte Rechts-nach-links-Alternativen,أشكال معكوسة من اليمين لليسار
Rotate clockwise,Rotation horaire,Im Uhrzeigersinn drehen,تدوير مع عقارب الساعة
Rotate counterclockwise,Rotation antihoraire,Gegen den Uhrzeigersinn drehen,تدوير عكس عقارب الساعة
Ruby Notation Forms,Formes de notation Ruby,Formen in der Ruby-Notation,أشكال تعليقات روبي
Runic,,,روني
SRA0,SRA0,SRA0,SRA0
SRA1,SRA1,SRA1,SRA1
SRA2,SRA2,SRA2,SRA2
SRA3,SRA3,SRA3,SRA3
SRA4,SRA4,SRA4,SRA4
SSH File Transfer Protocol,Protocole de transfert de fichier SSH,SSH File Transfer Protocol,بروتوكول SSH لنقل الملفات
SVG,SVG,SVG,SVG
Samaritan,,,سامري
Samba,Samba,Samba,سامبا
Same as --no-wintab,,,مثل --no-wintab
Sans 12,Sans 12,Sans 12,Sans 12
Saturation,,,التشبع
Saurashtra,,,سوراشترا
Save As,,,احفظ باسم
Save selected node,Enregistrer les nœuds sélectionnés,Gewählten Knoten speichern,اختر مجلدًا
Saving CSS failed,L’enregistrement du CSS a échoué,Speichern des CSS ist fehlgeschlagen,فشل حفظ الطرز المتراصة
Scale:,Échelle :,Skalierung:,المقياس:
Scarlet Red,,,أحمر قرمزي
Scientific Inferiors,Indices scientifiques,Wissenschaftliche Tiefstellung,محارف علمية سفلى
ScreenSaver,Économiseur écran,Bildschirmschoner,حافظة الشاشة
ScrollLock,Arrêt défil.,Rollen,Scroll Lock
Selection,Sélection,Auswahl,التحديد:
Search,Rechercher,Search,ابحث
Search Results,Résultats de recherche,Suchergebnisse,نتائج البحث
Search Shortcuts,Raccourcis de recherche,Nach Tastenkürzeln suchen,اختصارات البحث
Search font name,Rechercher un nom de police,Schriftname suchen,ابحث باسم الخط
Searching,Recherche,Suchen,يبحث
Searching for network locations,Recherche d’emplacements sur le réseau,Netzwerkorte werden gesucht,يبحث عن أماكن الشبكة
Searching in %s,Recherche dans %s,Suchen in %s,يبحث في %s
Secret,Secret,Geheim,سر
Select,Sélectionner,Auswählen,اختر
Select Application,Choisir une application,Anwendung auswählen,اختر تطبيقًا
Select Font,Choisir une police,Schriftart wählen,اختر خطًا
Select All,Tout sélectionner,Alles auswählen,اختر الكل
Select a Color,Sélectionner une couleur,Farbe auswählen,اختر لونًا
Select a File,,,اختر ملفًا
Select a filename,Sélectionner un nom de fichier,Dateiname auswählen,اختر اسم ملف
Select all,,,اختر الكل
Select which type of documents are shown,,,اختر أنواع المستندات التي ستعرض
Select which types of files are shown,Sélectionne les types de fichiers à afficher,Wählen Sie die anzuzeigenden Dateitypen,اختر أنواع الملفات التي ستعرض
Selects the color,Sélectionne la couleur,Wählt die Farbe aus,يُحدد اللون
Sending data,Envoi des données,Daten werden gesendet,يرسل البيانات
Server Addresses,Adresses du serveur,Serveradressen,عناوين الخواديم
Server addresses are made up of a protocol prefix and an address. Examples:,Les adresses de serveur sont composées d’un préfixe de protocole et d’une adresse. Exemples :,Serveradressen bestehen aus einem Protokollpräfix und einer Adresse. Beispiele:,تتكون عناوين الخواديم من سابقة بروتوكول و عنوان. مثلا:
Services,Services,Dienste,الخدمات
Sharada,,,شارادا
Shavian,,,شافيان
Shift,Maj,Umschalt,Shift
Short Edge (Flip),Bord court (retourné),Kurzer Rand (Umdrehen),حافة قصيرة (معكوس)
Shortcuts,Raccourcis,Tastenkürzel,الاختصارات
Show All,Tout afficher,Alle anzeigen,أظهر الكل
Show Hidden Files,Afficher les fichiers cachés,Verborgene Dateien anzeigen,أظهر الملفات المخفيّة
Show Private Resources,,,أظهِر الموارِد الخاصة
Show Size Column,,,أظهر عمود الحجم
Show Time,,,أظهر الوقت
Show data,Affiche les données,Daten Zeigen,اعرض البيانات
Show other locations,Affiche les autres emplacements,Andere Orte anzeigen,أظهر الأماكن الأخرى
Siddham,,,سدهام
Side Bin,Bac latéral,Seiten-Bin,السلة الجانبية
Signwriting,,,كتابة الإشارة
Simple,,,بسيطة
Simplified Forms,Formes simplifiées,Vereinfachte Formen,أشكال مبسطة
Sinhala,,,سنهالا
Size,Taille,Größe,الحجم
Size of the palette in 8 bit mode,,,حجم لوح الألوان في نمط 8 بتة
Sky Blue,,,أزرق سماوي
Slant,Inclinaison,Schräg,منحرف
Slashed Zero,Zéro barré,Durchgestrichene Null,صفر بشرطة
Sleep,Mise en veille,Bereitschaft,نوم
Small Capitals,Petites capitales,Kapitälchen,حروف كبيرة مصغرة
Small Capitals From Capitals,Capitales vers petites capitales,Kapitälchen von Großbuchstaben,حروف كبيرة مصغرة من الحروف الكبيرة
Small Photo,Petite photo,Kleines Foto,صورة صغيرة
Smileys & People,Émoticônes et personnes,Grafische Emoticons und Menschen,ابتسامات و أشخاص
Some of the settings in the dialog conflict,Certains paramètres dans la boîte de dialogue sont en conflit,Einige Einstellungen in diesem Dialog stehen in Konflikt zueinander,بعض الإعدادات في الحوار تتعارض
Sora Sompeng,,,سورا سُمپِنگ
Sort Folders before Files,,,رتّب المجلدات قبل الملفات
Soyombo,,,سويومبو
Space,Espace,Leertaste,Space
"Specify one or more page ranges,
 e.g. 1–3, 7, 11","Indiquez une ou plusieurs intervalles de pages,
p. ex. 1-3, 7, 11","Geben Sie einen oder mehrere Druckbereiche ein,
z.B. 5-11,19,85","حدد مدى أو أكثر من أرقام الصفحات،
 مثلا: 1-3,7,11"
"Specify the time of print,
 e.g. 15∶30, 2∶35 pm, 14∶15∶20, 11∶46∶30 am, 4 pm","Indiquez l’heure de l’impression,
 par ex. 15:30, 14:15:20, etc.","Geben Sie an, wann der Druckauftrag
starten soll, z.B.: 15:30, 14:50:45","حدد وقت الطباعة،
مثلا: 15:30، 2:35 م، 14:15:20، 11:46:30 ص، 4 م"
Spinner,,,دوّارة
Stacker %d,Empileur %d,Stacker %d,الراصّ %d
Standard,Standard,Standard,معياري
Standard Ligatures,Ligatures standard,Standard-Ligaturen,اقترانات قياسية
Starred,Favoris,Mit Stern markiert,عليها نجمة
Starting %s,,,يجري بدء %s
State,État,Status,الحالة
Status,État,Status,الحالة
Stretching Glyph Decomposition,Décomposition de glyphe étendue,Gestreckte Zerlegung von Glyphen,تفكيك محارف مطالة
Stylistic Alternates,Alternatives stylistiques,Stilistische Alternativen,بدائل أسلوبية
Stylistic Set 1,,,طقم أسلوبي ١
Stylistic Set 10,,,طقم أسلوبي ١٠
Stylistic Set 11,,,طقم أسلوبي ١١
Stylistic Set 12,,,طقم أسلوبي ١٢
Stylistic Set 13,,,طقم أسلوبي ١٣
Stylistic Set 14,,,طقم أسلوبي ١٤
Stylistic Set 15,,,طقم أسلوبي ١٥
Stylistic Set 16,,,طقم أسلوبي ١٦
Stylistic Set 17,,,طقم أسلوبي ١٧
Stylistic Set 18,,,طقم أسلوبي ١٨
Stylistic Set 19,,,طقم أسلوبي ١٩
Stylistic Set 2,,,طقم أسلوبي ٢
Stylistic Set 20,,,طقم أسلوبي ٢٠
Stylistic Set 3,,,طقم أسلوبي ٣
Stylistic Set 4,,,طقم أسلوبي ٤
Stylistic Set 5,,,طقم أسلوبي ٥
Stylistic Set 6,,,طقم أسلوبي ٦
Stylistic Set 7,,,طقم أسلوبي ٧
Stylistic Set 8,,,طقم أسلوبي ٨
Stylistic Set 9,,,طقم أسلوبي ٩
Subscript,Indice,Tiefstellung,حرف تحتي
Sundanese,,,سُنداني
Super,Super,Super,Super
Super A,Super A,Super B,‏A فائق
Super B,Super B,Super B,‏B فائق
Superscript,Exposant,Hochstellung,حرف فوقي
Suspend,Suspension,In Bereitschaft versetzen,تعليق
Swash,Forme calligraphique,Zierbuchstabe,ذيل زخرفي
Swipe left,Glissement vers la gauche,Nach links wischen,اسحب لليسار
Swipe right,Glissement vers la droite,Nach rechts wischen,اسحب لليمين
Syloti Nagri,,,سيولتي ناغري
Symbols,Symboles,Symbole,رموز
Syriac,,,سرياني
SysReq,Syst,S-Abf,Sys Req
System,Système,System,النظام
"System policy prevents changes.
Contact your system administrator","La politique système empêche les modifications.
Contactez votre administrateur système","Die Systemrichtlinien verhindern Änderungen.
Bitte kontaktieren Sie Ihren Systemadministrator","تمنع سياسة النظام التعديلات.
راجع مدير النظام"
Two-sided:,Recto verso :,Beidseitig:,ذو وجهين:
Tab,Tabulation,Tabulator,Tab
Tabloid,Tabloïd,Tabloid,لوحي
Tabular Figures,Chiffres tabulaires,Tabellenziffern,أرقام جدولة
Tagalog,,,تگالوگ
Tagbanwa,,,تاغبنوا
Tai Le,,,تاي لي
Tai Tham,,,تام تايلندي
Tai Viet,,,ڤيت تايلندي
Takri,,,تاكري
Tamil,,,تاميلي
Tangut,,,تانگوت
Target,Cible,Ziel,الهدف
Telugu,,,تلوغو
Terminal Forms,Formes finales,Finale Formen,أشكال نهائية
Terminal Forms #2,Formes finales 2,Finale Formen #2,أشكال نهائية ٢
Terminal Forms #3,Formes finales 3,Finale Formen #3,أشكال نهائية ٣
Terminal Pager,Pager du terminal,Terminal-Pager,متصحّف الطرفية
Text Direction,Direction du texte,Textrichtung,اتجاه النص
Text may not appear inside <%s>,Il se peut que le texte n’apparaisse pas à l’intérieur de <%s>,Text darf nicht innerhalb von <%s> erscheinen,لا يسمح بالنص داخل <%s>
Thaana,,,تانا
Thai,Thaï,,تايلندي
Thai-Lao,,,تايلندي-لاوو
The MIT License (MIT),Licence MIT,Die MIT-Lizenz (MIT),رخصة MIT
The cover is open on printer “%s”.,Le capot de l’imprimante « %s » est ouvert.,Die Abdeckung des Druckers »%s« ist offen.,غطاء الطابعة ”%s“ مفتوح.
The current backend does not support OpenGL,Le moteur actuel ne gère pas OpenGL,Aktuelles Backend unterstützt kein OpenGL,لا تدعم الخلفية الحالية OpenGL
The door is open on printer “%s”.,La porte de l’imprimante « %s » est ouverte.,Die Klappe des Druckers »%s« ist offen.,باب الطابعة ”%s“ مفتوح.
The file already exists in “%s”.  Replacing it will overwrite its contents.,Le fichier existe déjà dans « %s ». Le remplacer écrasera son contenu.,Die Datei existiert bereits in »%s«. Durch ihr Ersetzen wird sämtlicher Inhalt überschrieben.,الملف موجود بالفعل في ”%s“.  استبداله سيكتب فوق محتواه.
The file could not be deleted,Le fichier n’a pas pu être supprimé,Die Datei konnte nicht gelöscht werden,تعذّر حذف هذا الملف
The file could not be moved to the Trash,Le fichier n’a pas pu être mis à la corbeille,Die Datei kann nicht in den Papierkorb verschoben werden,تعذّر نقل الملف إلى المهملات
The file could not be renamed,Le fichier n’a pas pu être renommé,Die Datei konnte nicht umbenannt werden,تعذّر تغيير اسم الملف
The folder contents could not be displayed,Le contenu du dossier ne peut pas être affiché,Der Ordnerinhalt konnte nicht angezeigt werden,تعذّر عرض محتويات المجلد.
The folder could not be created,Le dossier ne peut pas être créé,Der Ordner konnte nicht angelegt werden,تعذّر إنشاء المجلّد
"The folder could not be created, as a file with the same name already exists.  Try using a different name for the folder, or rename the file first.",,,تعذّر إنشاء المجلد بسبب وجود ملف يحمل نفس الاسم. حاول استخدام اسم آخر للمجلد، أو غيّر اسم الملف أولا.
The generated cache was invalid.,Le cache généré n’était pas valide.,Der erstellte Cache war ungültig.,المخزن المنتج غير صحيح.
The item that you selected is not a folder try using a different item.,L’élément que vous avez choisi n’est pas un dossier ; essayez d’utiliser un autre élément.,"Das von Ihnen ausgewählte Objekt ist kein Ordner. Versuchen Sie, ein anderes Objekt auszuwählen.",العنصر الذي اخترته ليس مجلدا، جرب استخدام اسم آخر.
The most probable reason is that a temporary file could not be created.,La raison la plus probable est qu’un fichier temporaire n’a pas pu être créé.,"Der häufigste Grund hierfür ist, dass keine temporäre Datei erzeugt werden konnte.",السبب الأكثر احتمالاً هو عدم القدرة على إنشاء ملف مؤقت.
There is a problem on printer “%s”.,Il y a un problème avec l’imprimante « %s ».,Es besteht ein Problem mit dem Drucker »%s«.,هناك مشكلة بالطابعة ”%s“.
Third Widths,Tiers de largeur,Drittelbreiten,ثلث العرض
This clipboard cannot store data.,Ce presse-papiers ne peut pas stocker de données.,Die Zwischenablage kann keine Daten speichern.,لا يمكن لهذه الحافظة تخزين البيانات.
This name is already taken,Ce nom est déjà pris,Dieser Name ist bereits vergeben,هذا الاسم مستخدم من قبل
"This program comes with absolutely no warranty.
See the <a href=""%s"">%s</a> for details.","Ce programme est fourni sans aucune garantie.
Pour plus de détails, visitez <a href=""%s"">%s</a>.","Dieses Programm kommt OHNE JEDWEDE GARANTIE.
Besuchen Sie <a href=""%s"">%s</a> für weitere Informationen.","يأتي هذا البرنامج دون أي ضمانات على الإطلاق.
راجع <a href=""%s"">%s</a> لمزيد من المعلومات."
Tibetan,,,تبيتي
Tifinagh,,,تفناغ
Tigrigna-Eritrean (EZ+),,,أريتري تيكريكنا (‪EZ+‬)
Tigrigna-Ethiopian (EZ+),,,إثيوبي تيكريكنا (‪EZ+‬)
Time of print,,,وقت الطباعة
Tirhuta,,,ترهوتا
Titling,Titrage,Titelschrift,عنونة
Toggle,Inverser,Umschalten,تبديل
Toggles the cell,,,يبدّل الخليّة
Tools,Outils,Werkzeuge,الأدوات
Top Bin,Bac supérieur,Oberer Bin,السلة العلوية
Top Command,Commande top,Oberster Befehl,الأمر Top
Top Secret,Top secret,Streng geheim,سرّي للغاية
Top to bottom,De haut en bas,Oben nach unten,من الأعلى للأسفل
"Top to bottom, left to right","Du haut vers le bas, de gauche à droite","Oben nach unten, links nach rechts",من الأعلى للأسفل، ومن اليسار لليمين
"Top to bottom, right to left","Du haut vers le bas, de droite à gauche","Oben nach unten, rechts nach links",من الأعلى للأسفل، ومن اليمين لليسار
TouchpadToggle,Bascule pavé tactile,Touchpad umschalten,تشغيل لوحة اللمس
Traditional Forms,Formes traditionnelles,Traditionelle Formen,أشكال تقليدية
Traditional Name Forms,Formes traditionnelles de noms propres,Traditionelle Namens-Formen,أشكال الأسماء التقليدي
Trailing Jamo Forms,Formes Jamo finales,Abschließende Jamo-Formen,أشكال جامو المتأخرة
Translated by,Traduit par,Übersetzung von,ترجَمَهُ
Trash,Corbeille,Papierkorb,المهملات
Travel & Places,Voyages et lieux,Reise und Orte,سفر و أماكن
Tray %d,Plateau %d,Ablage %d,الدرج %d
Try a different search,Essayez une autre recherche,Versuchen Sie eine andere Suche,جرب بحثًا آخر
Try using a shorter name.,Essayez avec un nom plus court.,"Versuchen Sie, einen kürzeren Namen zu verwenden.",جرب اسمًا أقصر
Try “%s --help” for more information.,Essayez « %s --help » pour plus d’informations.,Versuchen Sie »%s --help« für mehr Informationen.,جرّب ‪“%s --help”‬ لمزيد من المعلومات.
Turn off verbose output,Désactiver la sortie détaillée,Detaillierte Ausgabe deaktivieren,اغلق الخرْج المطنب
Turns volume up or down,,,يرفع أو يخفض الصوت
Two Sided,Recto verso,Beidseitig,ذو جانبين
Two finger pinch,Pincement à deux doigts,Zweifinger-Stauchen,ضم أصبعين
Two finger stretch,Écartement à deux doigts,Zweifinger-Strecken,إبعاد أصبعين
Two finger swipe left,Glissement à deux doigts vers la gauche,Zweifinger-Wischen nach links,مسح بأصبعين يسارًا
Two finger swipe right,Glissement à deux doigts vers la droite,Zweifinger-Wischen nach rechts,مسح بأصبعين يمينًا
Type name of new folder,Saisissez le nom du nouveau dossier,Geben Sie den neuen Ordnernamen ein,اكتب اسما للمجلد الجديد
US Legal,Légal US,US-Legal,أمريكي قانوني
US Legal Extra,US Legal Extra,US-Legal Extra,أمريكي قانوني أكبر
US Letter,US Letter,US-Letter,بريد أمريكي
US Letter Extra,US Letter Extra,US-Letter Extra,بريد أمريكي أكبر
US Letter Plus,US Letter Plus,US-Letter Plus,بريد أمريكي زائد
Ugaritic,,,أوغاريتي
Unable to access location,Impossible d’accéder à l’emplacement,Zugriff auf den Ort ist nicht möglich,تعذر الوصول إلى المكان
Unable to access “%s”,Impossible d’accéder à « %s »,Auf »%s« kann nicht zugegriffen werden,تعذّر الوصول إلى ”%s“
Unable to create a GL context,Impossible de créer un contexte GL,GL-Kontext kann nicht erstellt werden,تعذّر إنشاء سياق GL
Unable to eject %s,Impossible d’éjecter %s,Auswerfen von %s nicht möglich,تعذّر إخراج %s
Unable to eject “%s”,Impossible d’éjecter « %s »,Auswerfen von »%s« nicht möglich,تعذّر إخراج ”%s“
Unable to end process,Impossible de terminer le processus,Prozess kann nicht beendet werden,تعذّر إنهاء العملية
Unable to find an item with URI “%s”,Impossible de trouver un élément dont l’URI est « %s »,Es konnte kein Eintrag mit der Adresse »%s« gefunden werden,لا يُمكن العثور على عنصر بالعنوان ”%s“
Unable to get remote server location,Impossible d’obtenir l’emplacement sur le serveur distant,Entfernter Server-Ort kann nicht ermittelt werden,تعذّر جلب مكان الخادوم البعيد
Unable to poll “%s” for media changes,Impossible d’inspecter « %s » pour savoir si des médias ont été insérés ou enlevés,»%s« konnte nicht nach Datenträgeränderungen befragt werden,تعذّر جس ”%s“ للتأكد من التغيرات في الوسائط
Unable to start “%s”,Impossible de démarrer « %s »,Starten von »%s« nicht möglich,تعذّر بدء ”%s“
Unable to stop “%s”,Impossible d’arrêter « %s »,Stoppen von »%s« nicht möglich,تعذّر إيقاف ”%s“
Unable to unmount volume,Impossible de démonter le volume,Aushängen des Datenträgers nicht möglich,تعذر فصْل الجزء
Unable to unmount “%s”,Impossible de démonter « %s »,»%s« kann nicht ausgehängt werden,تعذر فصْل ”%s“
Unavailable,Non disponible,Nicht verfügbar,غير متوفرة
Unclassified,Non classifié,Unklassifiziert,غير مصنّف
Unicase,Unicase,Unicase,موحد الحالة
Unknown,Inconnue,Unbekannt,مجهول
Unknown Application (PID %d),Application inconnue (PID %d),Unbekannte Anwendung (Kennung %d),تطبيق مجهول (معرف العملية %d)
Unknown item,,,عنصر مجهول
Unlock,Déverrouiller,Entsperren,افتح
Unmount,Démonter,Aushängen,افصل
Unspecified error,Erreur non précisée,Unbekannter Fehler,خطأ غير محدد
Unspecified profile,Profil non précisé,Nicht angegebenes Profil,لاحة غير محددة
Unsupported encoding “%s”,Codage « %s » non pris en charge,Nicht unterstützte Kodierung »%s«,ترميز غير مدعوم ”%s“
Untitled filter,,,مرشّح من دون عنوان
Up,Haut,Hoch,Up
Up Path,,,المسار العلوي
Urgent,Urgente,Dringend,عاجِل
Username:,Nom d’utilisateur :,Benutzername:,اسم المستخدم:
V,V,V,ق
Vai,,,فاي
Validate existing icon cache,Valider le cache d’icônes existant,Symbol-Cache wird überprüft,تصحيح مخزن الإيقونات الموجود
Value,Valeur,Wert,القيمة
Vattu Variants,Variantes Vattu,Vattu-Varianten,بدائل ڤاتو
Vertical Alternates and Rotation,Alternatives verticales et rotation,Vertikale Alternativen mit Rotation,بدائل رأسية و استدارة
Vertical Alternates for Rotation,Alternatives verticales pour rotation,Vertikale Alternativen für Rotation,بدائل رأسية للاستدارة
Vertical Kana Alternates,Alternatives Kana verticales,Vertikale Kana-Alternativen,بدائل كانا رأسية
Vertical Kerning,Crénage vertical,Vertikales Kerning,تأليف الأحرف الرأسي
Vertical Writing,Écriture verticale,Vertikales Schreiben,كتابة رأسية
Very Dark Gray,,,أسود داكن جدا
Very Light Gray,,,رمادي فاتح جدا
Vietnamese (VIQR),,,فيتنامية (VIQR)
Volume,Volume,Lautstärke,شدة الصوت
Volume Down,,,أخفض الصوت
Volume Up,,,ارفع الصوت
Vowel Jamo Forms,Formes de voyelles Jamo,Vokal-Jamo-Formen,أشكال جامو للحروف المتحركة
Vulkan support disabled via GDKDEBUG,,,عُطّل دعم Vulkan باستخدام GDKDEBUG
WLAN,Réseau sans fil,WLAN,الشبكة المحلية
WWW,Web,WWW,الوِب
Waiting,En attente,Warten,ينتظر
WakeUp,Réveil,Aufwecken,إيقاظ
Warang Citi,,,وارانج سيتي
Warning,,,تحذير
WebCam,Webcam,WebCam,كمرة الوب
WebDAV,WebDAV,WebDAV,WebDav
Website,Site Web,Webseite,الموقع
Weight,Poids,Stärke,الوزن
White,Blanc,Weiß,أبيض
Wide Format,Format large,Weites Format,تنسيق عريض
Wide Photo,Photo large,Breites Foto,صورة عريضة
Width,Largeur,Breite,العرض
Windows IME,,,طريقة إدخال وندوز
X Input Method,,,طريقة إدخال س
Yesterday,Hier,Gestern,أمس
Yi,,,يي
You can type here any CSS rule recognized by GTK+.,,,يمكنك أن تكتب هنا أي قاعدة طرز متراصة تتعرف عليها ج‌ت‌ك+.
You do not have access to the specified folder.,Vous n’avez pas accès à ce dossier.,Sie haben keinen Zugriff auf den angegebenen Ordner.,لا تملك الوصول إلى المجلد المحدد.
You may only select folders,Seuls les dossiers peuvent être sélectionnés,Sie dürfen nur Ordner auswählen,يمكن اختيار المجلدات فقط
You need to choose a valid filename.,Vous devez choisir un nom de fichier valide.,Sie müssen einen gültigen Dateinamen auswählen.,عليك اختيار اسم ملف سليم
Z Shell,Shell Z,Z-Shell,صدفة زِد
ZWJ Zero width joiner,,,واصل صفري العرض (ZWJ)
ZWNJ Zero width non-joiner,,,فاصل صفري العرض (ZWNJ)
ZWS Zero width space,,,مسافة صفرية العرض (ZWS)
Zanabazar Square,,,مربعات زانابازار
Zoom In,,,قرّب
Zoom Out,,,بعّد
%d. %s,,,%Id. %s
About,,,عنْ
Add,,,أضف
Add Bookmark,Ajouter le signet,Lesezeichen hinzufügen,أضف علامة
Add to Bookmarks,Ajouter aux signets,Zu Lesezeichen hinzufügen,أضف للعلامات
After:,Après :,Nach:,بعد:
All Pages,Toutes les pages,Alle Seiten,كل الصفحات
Anonymous,Anonyme,Anonym verbinden,مجهول
