(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
Move window to lower-left,Déplacer la fenêtre en bas à gauche,Bewegt das Fenster nach unten links,حرِّك النافذة إلى أسفل اليسار
Move window to lower-right,Déplacer la fenêtre en bas à droite,Bewegt das Fenster nach unten rechts,حرِّك النافذة إلى أسفل اليمين
Move window to new workspace,Déplacer la fenêtre vers un nouvel espace de travail,Fenster auf neue Arbeitsfläche verschieben,انقل النافذة لمساحة عمل جديدة
Move window to right edge,Déplacer la fenêtre vers le bord droit,Bewegt das Fenster zum rechten Rand,حرِّك النافذة إلى الحافة اليمين
Move window to right monitor,Déplacer la fenêtre vers l'écran de droite,Fenster auf den rechten Bildschirm verschieben,حرِّك النافذة ليمين الشاشة
Move window to right workspace,Déplacer la fenêtre vers l'espace à droite,Fenster auf die rechte Arbeitsfläche verschieben,انقل النافذة لمساحة العمل اليمين
Move window to top edge,Déplacer la fenêtre vers le bord supérieur,Bewegt das Fenster zum oberen Rand,حرِّك النافذة إلى الحافة العليا
Move window to upper-left,Déplacer la fenêtre en haut à gauche,Bewegt das Fenster nach oben links,حرِّك النافذة إلى أعلى اليسار
Move window to upper-right,Déplacer la fenêtre en haut à droite,Bewegt das Fenster nach oben rechts,حرِّك النافذة إلى أعلى اليمين
Move window to workspace 1,Déplacer la fenêtre vers l'espace de travail 1,Fenster auf Arbeitsfläche 1 verschieben,انقل النافذة لمساحة العمل 1
Move window to workspace 10,Déplacer la fenêtre vers l'espace de travail 10,Fenster auf Arbeitsfläche 10 verschieben,انقل النافذة لمساحة العمل 10
Move window to workspace 11,Déplacer la fenêtre vers l'espace de travail 11,Fenster auf Arbeitsfläche 11 verschieben,انقل النافذة لمساحة العمل 11
Move window to workspace 12,Déplacer la fenêtre vers l'espace de travail 12,Fenster auf Arbeitsfläche 12 verschieben,انقل النافذة لمساحة العمل 12
Move window to workspace 2,Déplacer la fenêtre vers l'espace de travail 2,Fenster auf Arbeitsfläche 2 verschieben,انقل النافذة لمساحة العمل 2
Move window to workspace 3,Déplacer la fenêtre vers l'espace de travail 3,Fenster auf Arbeitsfläche 3 verschieben,انقل النافذة لمساحة العمل 3
Move window to workspace 4,Déplacer la fenêtre vers l'espace de travail 4,Fenster auf Arbeitsfläche 4 verschieben,انقل النافذة لمساحة العمل 4
Move window to workspace 5,Déplacer la fenêtre vers l'espace de travail 5,Fenster auf Arbeitsfläche 5 verschieben,انقل النافذة لمساحة العمل 5
Move window to workspace 6,Déplacer la fenêtre vers l'espace de travail 6,Fenster auf Arbeitsfläche 6 verschieben,انقل النافذة لمساحة العمل 6
Move window to workspace 7,Déplacer la fenêtre vers l'espace de travail 7,Fenster auf Arbeitsfläche 7 verschieben,انقل النافذة لمساحة العمل 7
Move window to workspace 8,Déplacer la fenêtre vers l'espace de travail 8,Fenster auf Arbeitsfläche 8 verschieben,انقل النافذة لمساحة العمل 8
Move window to workspace 9,Déplacer la fenêtre vers l'espace de travail 9,Fenster auf Arbeitsfläche 9 verschieben,انقل النافذة لمساحة العمل 9
Moving and Resizing Windows,Déplacement et redimensionnement des fenêtres,Fenster bewegen und Größe ändern,نقل وتغيير حجم النوافذ
Music,Musique,Musik,موسيقى
Music player,Lecteur de musique,Musikwiedergabe,مشغل اغاني
Mute input,Couper le micro,Eingang stummschalten,مَدخل كتم الصوت
Mute output,Couper le son,Ausgang stumm,مَخرج كتم الصوت
Muted,Muet,Stumm,صامت
My list,Ma liste,Meine Liste,قائمتي
Name,Nom,Name,الاسم
Name:,Nom :,Name:,الاسم:
New Item,Nouvel élément,Neuer Eintrag,عنصر جديد
Network,Réseau,Netzwerk,الشبكة
Network Connections,Connexions réseau,Netzwerkverbindungen,اتصالات الشبكة
Network Manager,Gestionnaire de réseaux,Netzwerkverwaltung,مدير الشبكة
Network Settings,Paramètres réseau,Netzwerkeinstellungen,إعدادات الشبكة
Network manager applet,Applet de gestion des réseaux,Netzwerkverwaltungsregler,بريمج مدير الشبكة
Network time,Synchronisation réseau,Netzwerkzeit,وقت الشبكة
Networking is disabled,Réseau désactivé,Netzwerk ist deaktiviert,الشبكة معطلة
Never,Jamais,Nie,كلا
Never forget old files,Ne jamais oublier les anciens fichiers,Alte Dateien nie vergessen,لا تنسى أبدا الملفات القديمة
New password,Nouveau mot de passe,Neues Passwort,كلمة المرور الجديدة
Next,Suivant,Weiter,التالي
Next Background,Fond d'écran suivant,Nächster Hintergrund,الخلفية التالية
Next Panel,Panneau suivant,Nächste Leiste,الشريط التالي
Next instance,Instance suivante,Nächste Instanz,المثيل التالي
Next panel,Panneau suivant,Nächste Leiste,الشريط التالي
Next track,Morceau suivant,Nächster Titel,المسار التالي
No,Non,Nein,لا
No Events,Aucun évènement,Keine Termine,لا يوجد أحداث
No Shuffle,Non aléatoire,Keine zufällige Wiedergabe,بدون خلط
No application is currently playing or recording audio.,Aucune application n'émet ou n'enregistre de son actuellement.,Derzeit wird von keiner Anwendung Ton aufgenommen oder wiedergegeben.,لا يتم تشغيل أي تطبيق أو تسجيل صوتي حالياً.
No connection,Aucune connexion,Keine Verbindung,لايوجد إتصال
No decoration,Pas de décoration,Ohne Verzierung,بدون زخرفة
No description,Pas de description,Keine Beschreibung,بدون وصف
No inputs sources are currently available.,Aucune source d'entrée n'est actuellement disponible.,Derzeit stehen keine Eingangsquellen zur Verfügung.,لا توجد مصادر إدخالات متاحة حاليا.
No name,Sans nom,Kein Name,بدون اسم
No notifications,Aucune notification,Keine Benachrichtigungen,لا يوجد إشعارات
No open windows,Aucune fenêtre ouverte,Keine offenen Fenster,لا نوافذ مفتوحة
No password set,Aucun mot de passe n'est défini,Kein Passwort eingestellt,لم يتم تعيين كلمة مرور
No personal information included,Aucune information personnelle incluse,Keine persönlichen Informationen enthalten,لا تتضمن معلومات شخصية
No picture,Aucune image,Kein Bild,بدون صورة
No recent documents,Aucun document récent,Keine kürzlich verwendeten Dokumente,لا توجد وثائق حديثة
No updates available,Aucune mise à jour disponible,Keine Aktualisierungen verfügbar,لا تحديثات متوفرة
None,Aucun,–,لا شيء
Normal,Normal,Normal,عادي
Not compatible with Wayland,Non compatible avec Wayland,Nicht mit Wayland kompatibel,غير متوافق مع ويلاند
"Note that the visual representation will only work if your panel is large enough to display it properly, otherwise the simple style will be used.",Notez que la représentation visuelle ne fonctionnera que si votre panneau est assez large pour l’afficher correctement. Une représentation simple sera autrement utilisée.,"Beachten Sie, dass die visuelle Darstellung nur funktioniert, wenn Ihre Leiste groß genug ist, um es richtig darzustellen, ansonsten wird der einfache Stil verwendet.",لاحظ أن التمثيل المرئي لن يعمل إلا إذا كانت اللوحة كبيرة بما يكفي لعرضها بشكل صحيح، وإلا فسيتم استخدام النمط البسيط.
Note: Some desklets require the border/header to be always present,Note : Certaines desklets requièrent la présence permanente de bordure/entête,"Hinweis: einige Desklets benötigen es, dass die Umrandung oder die Kopfzeile immer vorhanden sind",ملاحظة: بعض التطبيقات المكتبية تتطلب حدود/ترويسة لتكون موجودة دائما
Nothing,Rien,Nichts,لا شيء
Notification Settings,Paramètres des notifications,Benachrichtigungseinstellungen,إعدادات الإشعارات
Notification preferences,Préférences des notifications,Benachrichtigungseinstellungen,تفضيلات الإخطار
Notification settings,Paramètres de notification,Benachrichtigungseinstellungen,إعدادات الإخطار
Notifications,Notifications,Meldungen,الإشعارات
Number of days to remember old files,Nombre de jours avant l'oubli des fichiers,"Anzahl der Tage, an denen an alte Dateien erinnert wird",عدد أيام تذكر الملفات القديمة
Number value,Valeur numérique,Zahlenwert,قيمة الرقم
Nvidia Settings,Paramètres NVIDIA,Nvidia-Einstellungen,إعدادات إنفيديا
OK,Valider,OK,حسنًا
On A/C power,Sur secteur,Netzbetrieb,على طاقة التيار المتردد
On battery power,Alimenté par la batterie,Akkubetrieb,على طاقة البطارية
"On battery, dim screen when inactive","Alimenté par la batterie, baisser la luminosité de l’écran en cas d’inactivité","Akkubetrieb, Bildschirm bei Inaktivität abdunkeln",على البطارية، شاشة خافتة عند عدم النشاط
On-Screen keyboard,Clavier visuel,Bildschirmtastatur,لوحة المفاتيح على الشاشة
Online Accounts,Comptes en ligne,Internetkonten,الحسابات عبر الإنترنت
Only on this workspace,Visible seulement sur cet espace de travail,Nur auf dieser Arbeitsfläche,على مساحة العمل هذه فقط
Only use workspaces on primary monitor (requires Cinnamon restart),Utiliser les espaces de travail uniquement sur l'écran principal (requiert le redémarrage de Cinnamon),Nur die Arbeitsflächen des Hauptbildschirms benutzen (Cinnamon-Neustart erforderlich),استخدم فقط مساحات العمل على شاشة العرض الأساسية (يتطلب إعادة تشغيل سينامُن)
Open,Ouvrir,Öffnen,فتح
Open Player,Ouvrir le lecteur de musique,Medienspieler öffnen,افتح المشغل
Open Trash,Ouvrir la corbeille,Papierkorb öffnen,فتح سلة المهملات
Open file manager,Ouvrir le gestionnaire de fichiers,Dateiverwaltung öffnen,فتح مدير الملفات
Open folder,Ouvrir le dossier,Ordner öffnen,افتح المجلد
Open notification settings,Ouvrir les paramètres de notification,Benachrichtigungseinstellungen öffnen,افتح إعدادات الإشعار
Open the menu editor,Ouvrir l'éditeur de menu,Die Menübearbeitung öffnen,فتح محرر القائمة
Open the menu when I move my mouse over it,Ouvrir le menu lorsque je déplace ma souris dessus,"Das Menü öffnen, wenn die Maus darüber bewegt wird",فتح القائمة عند نقل الفأرة فوقها
Open with,Ouvrir avec,Öffnen mit,افتح باستخدام
Opening new windows,Ouverture de nouvelles fenêtres,Neue Fenster werden geöffnet,فتح نوافذ جديدة
Opening the menu will also show the main panel (which may be auto-hidden).,L’ouverture du menu affichera aussi le panneau principal (qui peut être caché automatiquement).,Beim Öffnen des Menüs wird auch die Hauptleiste angezeigt (welche automatisch ausgeblendet werden kann).,سيؤدي فتح القائمة أيضًا إلى إظهار اللوحة الرئيسية (والتي قد تكون مخفية تلقائيًا).
Operating System,Système d'exploitation,Betriebssystem,نظام التشغيل
Orientation Lock,Verrouiller la rotation de l'écran,Ausrichtungssperre,قفل الاتجاه
Other Media,Autres médias,Andere Medien,الوسائط الأخرى
Other application...,Autre application…,Andere Anwendung …,تطبيق آخر...
Other choosers,Autres sélecteurs,Andere Auswahldialoge,اختيارات أخرى
Out of date,Plus à jour,Veraltet,قديم
Output,Sortie,Ausgang,الإخراج
Output device,Sortie audio,Ausgabegerät,جهاز الإخراج
Output profile,Profil de sortie,Ausgangsprofil,ملف تعريف الإخراج
Override the current theme's scrollbar width,Définir une largeur de barre de défilement,Die aktuelle Bildlaufleistenbreite des Themas überschreiben,تجاوز عرض شريط التمرير للنسق الحالي
PDA,Assistant numérique personnel (PDA),PDA,المساعد الرقمي
PDF,PDF,PDF,PDF
Package Management,Gestion des paquets,Paketverwaltung,إدارة الحزم
Panel,Panneau,Leiste,الشريط
Panel Visibility,Visibilité du panneau,Leistensichtbarkeit,وضوح الشريط
Panel appearance,Apparence du panneau,Leistenerscheinungsbild,شكل اللوحة
Panel edit mode,Mode de modification du panneau,Leistenbearbeitungsmodus,وضع تحرير الشريط
Panel height:,Hauteur du panneau :,Leistenhöhe:,ارتفاع الشريط:
Panel launchers,Lanceurs,Leistenstarter,منصات إطلاق الشريط
Panel settings,Paramètres des panneaux,Leisteneinstellungen,إعدادات الشريط
Panel width:,Largeur du panneau :,Leistenbreite:,عرض الشريط:
Password,Mot de passe,Passwort,كلمة المرور
Passwords do not match,Les mots de passe ne correspondent pas,Die Passwörter stimmen nicht überein,كلمات المرور غير متطابقة
Paste,Coller,Einfügen,ألصِق
Pause,Pause,Pause,إيقاف مؤقت
Pause playback,Interrompre la lecture,Wiedergabe pausieren,إيقاف التشغيل مؤقتًا
Paused,En pause,Pausiert,متوقف مؤقتًا
Peek at the desktop on hover,Voir le bureau au survol de la souris,Vorschau auf den Schreibtisch beim Darüberbewegen aktivieren,النظرة الخاطفة على سطح المكتب عند التحويم
Peek at the desktop when hovering the applet,Voir le bureau en survolant l’applet avec la souris,"Vorschau auf den Schreibtisch, wenn Maus über das Applet bewegt wird",النظرة الخاطفة على سطح المكتب عند تحوم التطبيق المصغر
Perform lid-closed action even with external monitors attached,Effectuer l'action lors de la fermeture du couvercle de l'ordinateur même lorsque que des moniteurs externes sont branchés,Aktion nach Schließen des Deckels auch bei angeschlossenen externen Bildschirmen durchführen,إجراء إغلاق الغطاء حتى مع شاشات العرض الخارجية المرفقة
Personal digital assistant,Assistant personnel,Persönlicher digitaler Assistent,المساعد الرقمي الشخصي
Photo Frame,Cadre photo,Fotorahmen,إطار الصورة
Photos,Photos,Fotos,الصور
Pick an accelerator,Choisissez un raccourci clavier,Tastenkombination auswählen,اختيار مسرع
Picture,Photo,Bild,الصورة
Picture CD,CD photo,Foto-CD,صور CD
Picture aspect,Aspect de l’image,Bildformat,أبعاد الصورة
Pin to Panel,Épingler au panneau,An der Leiste anheften,صِل بالشريط
Places,Emplacements,Orte,أماكن
Plain Text,Texte brut,Einfacher Text,النص العادي
Play,Lecture,Wiedergabe,تشغيل
Play backgrounds as a slideshow,Faire défiler les fonds d'écran en diaporama,Hintergrundbilder als Diaschau abspielen,تشغيل الخلفيات كعرض شرائح
Play images in random order,Ordre aléatoire,Bilder in zufälliger Reihenfolge abspielen,تشغيل الصور بترتيب عشوائي
Playing,Lecture en cours,Wiedergeben,يعمل
Please contact the developer.,Veuillez contacter le développeur.,Bitte kontaktieren Sie den Entwickler.,يرجى الاتصال بالمطور.
Please install: %s,Veuillez installer : %s,Bitte installieren: %s,الرجاء تثبيت: %s
Please pick an option,Choisissez une icône,Bitte eine Option auswählen,يرجى تحديد الأختيار
Please type an away message for the lock screen,Rédigez un message d’absence pour l’écran verrouillé,Bitte eine Abwesenheitsnachricht für den Sperrbildschirm eingeben,يرجى كتابة رسالة بعيدة لشاشة القفل
Pointer size and speed,Taille du pointeur et vitesse,Zeigergröße und -geschwindigkeit,حجم المؤشر وسرعته
Popularity,Popularité,Beliebtheit,الشعبية
Positioning,Positionnement,Positionierung,الموضع
Power,Alimentation,Energie,الطاقة
Power Management,Gestion d'alimentation,Energieverwaltung,إدارة الطاقة
Power Manager,Gestionnaire d'énergie,Energieverwaltung,مدير الطاقة
Power Off...,Éteindre…,Ausschalten …,إيقاف الطاقة...
Power Settings,Options d'alimentation,Energieeinstellungen,إعدادات الطاقة
Power management,Gestion de l'alimentation,Energieverwaltung,إدارة الطاقة
Power management is already inhibited by another program,La gestion de l'alimentation est déjà désactivée par un autre programme,Die Energieverwaltung wird bereits von einem anderen Programm unterdrückt,إدارة الطاقة معطلة بالفعل بواسطة برنامج آخر
Power management: inhibited by another program,Gestion de l’alimentation : désactivée par un autre programme,Energieverwaltung: durch ein anderes Programm unterdrückt,إدارة الطاقة: معطلة بواسطة برنامج آخر
Preferences,Préférences,Einstellungen,التفضيلات
Preferred Applications,Applications préférées,Bevorzugte Anwendungen,التطبيقات المفضلة
Preferred applications,Applications préférées,Bevorzugte Anwendungen,التطبيقات المفضلة
Press Backspace to clear the existing keybinding.,Appuyez sur « Retour arrière ← » pour effacer le raccourci clavier existant.,"Die »Rücktaste« drücken, um die vorhandene Tastenkombination zu löschen.",اضغط على Backspace لمسح رابط المفتاح الموجود.
Press ESC to close,Appuyez sur Échap pour fermer,Zum Schließen ESC drücken,اِضغط ESC للإغلاق
Press Escape or click again to cancel the operation.,Appuyez sur <Échap (Esc)> ou cliquez à nouveau pour annuler l'opération.,"Escape drücken oder nochmal klicken, um den Vorgang abzubrechen.",اضغط على Escape أو انقر مرة أخرى لإلغاء العملية.
Press this button to customize your menu entries.,Appuyez sur ce bouton pour personnaliser vos entrées de menu.,Diesen Knopf drücken um die Menüeinträge anzupassen.,اضغط على هذا الزر لتخصيص إدخالات القائمة الخاصة بك.
"Pressing this button activates a callback method in the applet - go ahead, press it.","Cliquer sur ce bouton active une méthode de rappel dans l’applet. Allez-y, cliquez dessus.","Das Klicken dieses Knopfes aktiviert eine Rückrufmethode im Applet - also los, drücken Sie ihn.",يؤدي الضغط علي هذا الزر إلى تنشيط أسلوب رد الاتصال في البريمج- استمر، اضغط عليه.
Previous,Précédent,Zurück,السابق
Previous Panel,Panneau précédent,Vorherige Leiste,الشريط السابق
Previous instance,Instance précédente,Vorherige Instanz,المثيل السابق
Previous panel,Panneau précédent,Vorherige Leiste,الشريط السابق
Previous track,Morceau précédent,Vorheriger Titel,المسار السابق
Print version,Afficher la version,Version ausgeben,نسخة الطباعة
Printers,Imprimantes,Drucker,الطابعات
Privacy,Confidentialité,Datenschutz,الخصوصية
Problems during Cinnamon startup,Problèmes lors du démarrage de Cinnamon,Probleme beim Starten von Cinnamon,مشاكل أثناء بدء تشغيل سينامُن
Processor,Processeur,Prozessor,المعالج
Program:,Programme :,Programm:,برنامج:
Prompt or start programs on media insertion,Réagir à l'insertion de média,Programme beim Einhängen von Medien starten,المطالبة أو بدء تشغيل البرامج عند إدراج الوسائط
Properties,Propriétés,Eigenschaften,خصائص
Push tile down,Juxtaposer à partir du bord en bas,Kachel nach unten schieben,ادفع التجانب أسفل
Push tile left,Juxtaposer à partir du bord gauche,Kachel nach links schieben,ادفع التجانب يسار
Push tile right,Juxtaposer à partir du bord droit,Kachel nach rechts schieben,ادفع التجانب يمين
Push tile up,Juxtaposer à partir du bord en haut,Kachel nach oben schieben,ادفع التجانب أعلى
Put a delay between when a key is pressed and when it is accepted,Mettre un délai entre le moment où une touche est enfoncée et quand elle est acceptée,Eine Verzögerung zwischen dem Drücken und dem Annehmen einer Taste einstellen,وضع تأخير عند الضغط على المفتاح وعندما يتم قبوله
Quickly access windows from all workspaces,Accéder rapidement aux fenêtres de tous les espaces de travail,Schnell auf Fenster von allen Arbeitsflächen zugreifen,الوصول بسرعة إلى النوافذ من جميع مساحات العمل
Quiet Keys,Touches silencieuses,Lautstärketasten,المفاتيح الهادئة
Quit Player,Fermer le lecteur de musique,Medienspieler beenden,أنهِ المشغل
RGB,RVB,RGB,RGB
RGBA,RVBA,RGBA,RGBA
RGBA Order,Ordre RVBA,RGBA-Reihenfolge,ترتيب RGBA
Raise window,Placer la fenêtre au premier plan,Fenster wiederherstellen,رفع النافذة
Random,Aléatoire,Zufällig,عشوائي
Rear,Arrière,Hinten,خلفي
Rear Center,Arrière centre,Hinten Mitte,خلفي وسط
Rear Left,Arrière gauche,Hinten links,خلفي يسار
Rear Right,Arrière droit,Hinten rechts,خلفي يمين
Recent,Récents,Kürzlich,حديثة
Recent Files,Fichers récents,Kürzlich verwendete Dateien,الملفات الأخيرة
Recent documents,Documents récents,Kürzlich verwendete Dokumente,الوثائق الحديثة
Recent files,Fichiers récents,Kürzlich verwendete Dateien,الملفات الأخيرة
Refresh,Rafraîchir,Auffrischen,تحديث
Refreshing the cache,Actualisation du cache,Der Puffer wird aufgefrischt,تحديث ذاكرة التخزين المؤقت
Region,Région,Region,المنطقة
Reload %s,Recharger %s,%s neu laden,أعِد تحميل %s
Remember recently accessed files,Se souvenir des fichiers récemment ouverts,An kürzlich zugegriffene Dateien erinnern,تذكر الملفات التي تم الوصول إليها مؤخرًا
Removable drives,Supports amovibles,Wechseldatenträger,محركات أقراص قابلة للإزالة
Removable media,Média amovibles,Entfernbare Medien,الوسائط القابلة للإزالة
Remove,Supprimer,Entfernen,أزِل
Remove '%s',Supprimer '%s',»%s« entfernen,احذف '%s'
Remove 'Window list',Supprimer 'Liste des fenêtres',»Fensterliste« entfernen,إزالة 'قائمة النافذة'
Remove all,Tout supprimer,Alle entfernen,إزالة الكل
Remove custom shortcut,Supprimer un raccourci personnalisé,Eigene Tastenkombination entfernen,إزالة اختصار مخصص
Remove from Autostart,Supprimer du démarrage automatique,Aus dem Autostart entfernen,أزِل من التشغيل التلقائي
Remove from favorites,Supprimer des favoris,Aus den Favoriten entfernen,أزل من المفضلة
Remove it,Le supprimer,Entfernen,احذفها
Remove notifications after their timeout is reached,Effacer les notifications après expiration de leur délai,"Benachrichtigungen entfernen, nachdem die Zeitgrenze erreicht wurde",إزالة الإخطارات بعد الوصول إلى المهلة
Remove selected entry,Supprimer l’entrée sélectionnée,Ausgewählten Eintrag entfernen,أزِل الإدخال المحدد
Remove selected folder,Supprimer le dossier sélectionné,Ausgewählten Ordner entfernen,أزِل المجلد المحدد
Remove the current workspace,Supprimer l’espace de travail actuel,Aktuelle Arbeitsfläche entfernen,إزالة مساحة العمل الحالية
Remove this desklet,Supprimer ce desklet,Dieses Desklet entfernen,أزِل هذا التطبيق المكتبي
Removing a device,Retrait d'un périphérique,Ein Gerät wird entfernt,إزالة جهاز
Repeat,Répéter,Wiederholen,تكرار
Repeat All,Tout répéter,Alle wiederholen,كرر الكل
Repeat Single,Répéter un seul morceau,Lied wiederholen,كرر مرة واحدة
Repeat delay:,Délai de répétiton :,Wiederholungsverzögerung:,تأخير التكرار:
Repeat speed:,Vitesse de répétiton :,Wiederholungsgeschwindigkeit:,سرعة التكرار:
Replaces Suspend with Hybrid Sleep,Remplace la mise en veille par Hybrid Sleep,Ersetzt Bereitschaft mit Hybrid-Bereitschaft,استبدال التعليق بالسكون المختلط
Reset all,Tout réinitialiser,Alles zurücksetzen,إعادة تعيين الكل
Reset to default,Rétablir les valeurs par défaut,Vorgabe wiederherstellen,إعادة تعيين للافتراضي
Reset to defaults,Rétablir les valeurs par défaut,Vorgabe wiederherstellen,إعادة تعيين للافتراضي
Resident,Résident,Einwohner,الموطن
Resize window,Redimensionner la fenêtre,Fenstergröße ändern,تغيير حجم النافذة
Restart Cinnamon,Redémarrer Cinnamon,Cinnamon neustarten,أعِد تشغيل سينامُن
Restart Cinnamon when it uses too much memory,Redémarrer Cinnamon quand il utilise trop de mémoire,"Cinnamon neu starten, wenn es zu viel Speicher verbraucht",أعد تشغيل سينامون(Cinnamon) عندما تستخدم مساحة كبيرة من الذاكرة
Restarting Cinnamon...,Redémarrage de Cinnamon…,Cinnamon wird neu gestartet …,إعادة تشغيل سينامُن .......
Restore,Restaurer,Wiederherstellen,استعادة
Restore System Configuration,Restaurer la configuration par défaut,Systemkonfiguration wiederherstellen,استعادة تكوين النظام
Restore all settings to default,Restaurer les paramètres à leur valeur par défaut,Alle Standardeinstellungen wiederherstellen,استعِد كل الإعدادات الافتراضية
Restore the default menu layout,Restaurer la disposition par défaut du menu,Die Standardstruktur des Menüs wiederherstellen,استعادة تخطيط القائمة الإفتراضي
Restore to full opacity,Rétablir l’opacité totale,Die volle Deckkraft wiederherstellen,استعد العتامة الكاملة
Retry,Réessayer,Wiederholen,أعِد المحاولة
Reverse scrolling direction,Inverser le sens de défilement,Rollrichtung umkehren,اتجاه التمرير العكسي
Reverse the direction of mouse-wheel scrolling in the window list,Inverser le sens de défilement de la roulette,Die Richtung des Mausradrollens in der Fensterliste umkehren,عكس اتجاه تمرير عجلة الفأرة في قائمة النافذة
Rewind,Revenir en arrière,Zurückspulen,ترجيع
Rgba,Rgba,RGBA,Rgba
Right,Droite,Rechts,يمين
Right Zone,Zone de droite,rechter Bereich,اليمين
Right half,Moitié droite,Rechte Hälfte,النصف الأيمن
Rotate display,Faire pivoter l'écran,Bildschirm drehen,تدوير العرض
Run a command,Exécuter une commande,Einen Befehl ausführen,تشغيل الأمر
Run dialog,Lancer la boîte de dialogue,Ausführendialog - Anwendungsstarter,تشغيل مربع الحوار
Run now,Exécuter maintenant,Jetzt ausführen,تشغيل الآن
Run with dedicated GPU,Lancer avec la carte graphique dédiée,Betrieb mit dedizierter GPU,شغل مع معالجة رسوميات مخصصة
Save,Enregistrer,Speichern,حفظ
Scale,Zoom,Fensterübersicht,التحجيم
Scale to panel size exactly,Adapter précisément à la taille du panneau,Auf die Leistengröße haargenau skalieren,تحجيم إلى مقاس الشريط بالضبط
Scale to panel size optimally,Adapter de façon optimale à la taille du panneau,Auf die Leistengröße bestmöglich skalieren,تحجيم إلى مقاس الشريط على النحو الأمثل
Scaled,Mis à l'échelle,Skaliert,تحجيم
Scanning,Analyse,Einlesevorgang,فحص
Screen Keyboard,Clavier visuel,Bildschirmtastatur,لوحة مفاتيح الشاشة
Screen Locker,Verrouillage de l’écran,Bildschirmsperre,شاشة القفل
Screen Reader,Lecteur d'écran,Bildschirmleser,قارئ الشاشة
Screen brightness,Luminosité de l'écran,Bildschirmhelligkeit,سطوع الشاشة
Screen position,Position à l'écran,Bildschirmposition,موضع الشاشة
Screen reader,Lecteur d'écran,Bildschirmleser,قارئ الشاشة
Screensaver,Économiseur d'écran,Bildschirmschoner,شاشة التوقف
Screensaver settings,Préférences de l’économiseur d’écran,Bildschirmschonereinstellungen,إعدادات شاشة التوقف
Screenshots and Recording,Captures d'écran et enregistrement,Bildschirmfotos und -aufnahmen,لقطات الشاشة والتسجيل
Scroll at screen edges,Défilement au bord de l'écran,Bildlauf am Bildschirmrand,التمرير عند حواف الشاشة
Scroll wheel behavior,Comportement de la molette de la souris,Mausradverhalten,سلوك عجلة الفأرة
Scrollbar behavior,Comportement des barres de défilement,Bildlaufleistenverhalten,سلوك شريط التمرير
Scrollbar width,Largeur de la barre de défilement,Bildlaufleistenbreite,عرض شريط التمرير
Scrolling,Défilement,Bildlauf,التمرير
Scrolling method,Méthode de défilement,Rollmethode,طريقة التمرير
Search,Chercher,Suchen,بحث
Search Applications...,Chercher des applications…,Anwendungen suchen …,البحث عن التطبيقات...
Second,Seconde,Sekunde,ثانية
Second Choice,Deuxième choix,Zweite Auswahlmöglichkeit,الاختيار الثاني
Select Command,Choisissez une commande,Befehl auswählen,تحديد الأمر
Select a JSON file to import,Choisissez un fichier JSON à importer,Eine JSON-Datei zum Importieren auswählen,حدد ملف JSON لاستيراده
Select a date,Déterminez une date,Datum auswählen,تحديد تاريخ
Select a file,Choisissez un fichier,Eine Datei auswählen,تحديد ملف
Select a time,Déterminez une heure,Bitte Zeit auswählen,اختر وقتًا
Select an application for audio CDs,Choisissez une application pour les CD audio,Eine Anwendung für Audio-CDs wählen,حدِّد تطبيق لأقراص الصوت CD
Select an application for software CDs,Choisissez une application pour les CD de logiciels,Eine Anwendung für Anwendungs-CDs auswählen,حدِّد تطبيق لبرنامج أقراص CD
Select an application for video DVDs,Sélectionnez une application pour vos DVD vidéo,Eine Anwendung für DVD-Video wählen,حدّد تطبيق لأقراص الفيديو DVD
Select an application to run when a camera is connected,Choisissez une application à lancer si un appareil photo est connecté,"Eine Anwendung zum Starten auswählen, wenn eine Kamera angeschlossen wird",حدِّد تطبيق للتشغيل عند توصيل الكاميرا
Select an application to run when a music player is connected,Choisissez une application à lancer si un baladeur est connecté,"Eine Anwendung zum Starten auswählen, wenn ein Musikabspielgerät angeschlossen wird",حدّد تطبيق للتشغيل عند توصيل مشغل موسيقى
"Select an icon file, or you can type an icon name into the entry box",Choisissez un fichier icône ou saisissez le nom de l’icône dans la boîte d’entrée,Symboldatei auswählen oder einen Symbolnamen in das Eingabefeld schreiben,تحديد ملف الأيقونة، أو يمكنك كتابة اسم الأيقونة في مربع الإدخال
Select an icon to show in the panel.,Choisissez une icône à afficher dans le panneau.,"Symbol auswählen, um es in der Leiste anzuzeigen.",تحديد أيقونة لعرضها في الشريط.
Select how other media should be handled,Choisissez comment les autres médias doivent être gérés,"Auswählen, wie andere Medien behandelt werden sollen",حدِّد كيفية التعامل مع الوسائط الأخرى
Select new position of panel. Esc to cancel.,Choisissez la nouvelle position du panneau. Appuyez sur Échap pour annuler.,Neue Position der Leiste auswählen. Esc zum Abbrechen.,حدد موضع جديد للشريط. أضغط Esc للإلغاء.
Select or enter file to export to,Choisissez ou saisissez le fichier vers lequel exporter,"Zum Exportieren nach, Datei auswählen oder eingeben",حدد أو أدخل ملف للتصدير إليه
