English Term,Arabic Term,Description
"Range Holder","حائز النطاق","المرخص له الذي خصص له نطاق الأرقام التي تحتوي على الرقم المنقول."
"Outage Limits","حدود الانقطاع","تعني الفترات الزمنية المقبولة التي تكون خلالها خدمات الاتصالات غير متوفرة للمشتركين (كلياً أو جزئياً) أثناء عملية النقل، ويتم تحديد هذه الفترات من قبل هيئة تنظيم الاتصالات والحكومة الرقمية."
"Domain Name Deletion","حذف اسم النطاق","تعني حذف اسم نطاق إنترنت من نظام السجل، حيث يحذف ترخيص اسم نطاق الإنترنت المذكور الصادر بحق صاحب التسجيل منذ لحظة الحذف، ويعد اسم نطاق الإنترنت هذا وكأن لم يتم تسجيله لصالح صاحب التسجيل. ويكون لكلمة ""يحذف"" معنى مماثل."
"Historic Cost Accounting","حساب التكلفة التاريخية","يقصد به ممارسة محاسبية حيث يتم فيها حساب قيمة الأصول واستهلاكها وفقاً لقيمة شرائها الأصلية كما هو مسجل في البيانات المالية القانونية للمرخص له التابع للهيئة."
"Current Cost Accounting","حساب التكلفة الجارية (CCA)","يقصد به ممارسة محاسبية حيث يتم فيها حساب قيمة الأصول واستهلاكها وفقاً لقيمتها السوقية مع الحفاظ على رأس المال التشغيلي أو المالي للمرخص له التابع للهيئة. إن التكلفة الجارية هي مبنية على الأسعار الحالية حتى إن كان تقديم الخدمات يتم باستخدام الشبكات الموروثة."
"Good Faith","حسن النية","تعني الحالة التي يجتمع بموجبها الأطراف للتشاور بعقول منفتحة على الإقناع وبغرض الوصول إلى اتفاق."
"Public Protection and Disaster Relief","حماية الجمهور والاغاثة في حالات الكوارث","ويقصد بها تطبيقات حماية الجمهور الإغاثة في حالات الكوارث بحسب الأطر التقنية والتنظيمية للاتحاد الدولي للاتصالات"
"Escape Digit","خانة التبديل","الرقم الذي يُدخله المتعامل في بداية رقم الهاتف يتبعه رمز للمنطقة أو رمز الدولة الدولي بعد خانة التبديل وقبل رقم المتعامل."
"Telecommunications Service(s)","خدمات الاتصالات","خدمة نقل أو بث أو تحويل أو استقبال من خلال الشبكة لأي مما يأتي: 1- الاتصالات السلكية واللاسلكية 2- الحديث والموسيقى وغيرها من الأصوات 3- الصور المرئية 4- الإشارات التي تستخدم في البث الإذاعي والتلفزيوني 5- الإشارات المستخدمة في تشغيل والسيطرة على أية آلات أو أجهزة. 6- تركيب أو صيانة أو ضبط أو اصلاح أو تغيير أو نقل أو ازالة الأجهزة التي سيتم ربطها أو تكون مرتبطة بشبكة اتصالات عامة. 7- إنشاء وصيانة وتشغيل شبكات البرق والهاتف والتلكس والدوائر المؤجرة والمعطيات المحلية والدولية والانترنت والارسال اللاسلكي. أية خدمات اتصالات أخرى يعتمدها مجلس الإدارة."
"Public Satellite Telecommunications Services","خدمات الاتصالات الساتلية العامة","يقصد بها خدمات الاتصالات التي يزودها المرخص له على شبكة الاتصالات الساتلية العامة من قبل المرخص له بموجب أحكام هذه الرخصة والمرسوم بقانون اتحادي رقم (3) لسنة 2003 وتعديلاته."
"Public Telecommunications Service (s)","خدمات الاتصالات العامة","أي من حدمات الاتصالات المقدمة للمشترين عامة أو لفئة معينة منهم مقابل أجر."
"Broadcasting Satellite Transmission Services","خدمات البث الساتلية","يقصد بها الوصلة الصاعدة والوصلة الهابطة للإشارات بين السواتل والمحطات الأرضية، أو أجهزة الاتصالات السلكية واللاسلكية، والتي يتم استخدامها غالباً لغرض النقل أو التحكم بالمحتوى ويستثنى من ذلك الاتصالات الفورية ثنائية الاتجاه للهاتف والبيانات غير المتعلقة بالتحكم في أو نقل المواد السمعية أو البصرية أو السمعية والبصرية."
"Fixed Cost Services","خدمات التكلفة الثابتة","الخدمات التي تكون فيها تكلفة الطرف المتصل ثابتة بغض النظر عن مسافة المكالمة التي تمت من خلال الشبكة. ويمكن تصنيف هذه المكالمات في شرائح (مثال: فترات الذروة وفترات خارج الذروة). وفي الغالب لا تؤدي هذه الخدمة إلى تكبد أجور عالية أو تكاليف مكالمات إضافية. وقد يتغير موقع نقطة الانتهاء الذي توصل إليه المكالمات بالاعتماد على حجم حركة الاتصالات والوقت وغيرها."
"Shared Cost Services","خدمات التكلفة المشتركة","الخدمات التي تكون فيها تكلفة المشغل المسؤول عن المكالمة مشتركة بين المتعامل البادئ للاتصال والطرف مستقبل الاتصال وتهدف هذه الخدمات الخاصة التي تندرج تحت هذا النوع من الخدمة إلى استعمالها في الخدمات التي تكون فيها تكلفة تزويد الخدمة مشتركة بين المتعامل الذي بد أ الاتصال والطرف المستقبل للاتصال."
"Fixed Line Services","خدمات الخط الثابت","وتسمى كذلك الخدمات الجغرافية، وهي خدمات مقدمة للمشتركين داخل دولة الإمارات العربية المتحدة، حيث يكون المشترك متلقي الاتصال موجود على شبكة خط ثابت. ولتفادي الشك فإن ذلك يشتمل اتصالات الصوت والصور الهاتفية والبيانات التي تحصل أجورها على اعتبار أنها مكالمات صوتية ""عادية""."
"Fixed Line Services – Un-dialed Destination Number","خدمات الخط الثابت - رقم الوجهة غير ممكن الاتصال به","هي أرقام الخط الثابت التي لا يمكن إدخالها من قبل المتعاملين، مثل أرقام الخط الثابت المستخدمة فقط في المكالمات الصادرة أو المكالمات الواردة التي تترجم من الرقم المطلوب."
"Public Access Mobile Radio","خدمات الراديو المتحركة المتوفرة للعامة","يعني أنظمة الراديو المتنقل الخاص التي تم نشرها بغرض إتاحتها للعامة (عن طريق الاشتراك) والتي يكون عادةً مستخدموها ليسوا أنفسهم ملاكها ومشغّلوها."
"Interconnection Services","خدمات الربط البيني","يجب أن يكون لها نفس المعنى مثل تلك الخدمات الواردة في تعليمات الربط البيني الخاصة بـالهيئة ، الإصدار 1.2 (بصيغته المعدلة من وقت لآخر) ، أو كما هو منصوص عليه من قبل الهيئة"
"Registry Services","خدمات السجل","تعني خدمات بروتوكول التوفير الموسع وخدمة WhoIs وخدمة فحص WhoIs وخدمة بوابة السجل وخدمة تحليل أسماء الإنترنت ومكافئاتها لبيئة الاختبار التشغيلي."
"Value Added Network Services","خدمات الشبكة ذات القيمة المضافة","الخدمات التي يتم تعديلها بطريقة ما بواسطة شبكة معينة لتحسين الخدمة المقدمة للعميل. وقد يشتمل ذلك ترجمة الرقم المطلوب إلى رقم خط ثابت. وتشمل خدمات الشبكة ذات القيمة المضافة كل من خدمات الإيراد المشترك والخدمات المجانية وخدمات التكلفة المشتركة وغيرها."
"Emergency Services","خدمات الطوارئ","خدمات مساعدة تقدمها هيئات عامة أو خالفها تعمل في مجال مساعدة أفراد عامة الجمهور عند مواجهتهم لبعض المواقف الطارئة."
"Shared Revenue Services (Premium Rate Services)","خدمات المشاركة بالعوائد (خدمات التكلفة المضافة)","الخدمات التي يحصل إيرادها من قبل المرخص له ويكون مشتركا مع الجهة المزودة للخدمة. وغالباً ما تؤدي هذه المكالمات إلى جذب تكاليف مكالمات عالية وتكون عادة مشمولة ضمن خدمات الشبكة ذات القيمة المضافة."
"Free Access Services","خدمات الوصول المجاني","الخدمات التي لا يتم تحميل الطرف المتصل رسوم عن الوصول والاتصال بالخدمة المقدمة ضمن هذه الشريحة."
"IoT Service","خدمات إنترنت الأشياء","تعني مجموعة من الوظائف والتسهيلات يتم عرضها لأي مستخدم من قبل أي موفر في نطاق خدمات إنترنت الأشياء، ولا يشمل ذلك التوصيلات الخاصة بخدمات إنترنت الأشياء."
"VoIP Service(s)","خدمات بروتوكول نقل الصوت بواسطة الإنترنت (VoIP)","جميع الخدمات والتقنيات التي تسمح بإرسال واستقبال وتسليم وتوجيه الاتصالات الصوتية عن طريق بروتوكول الإنترنت (IP)."
"Registry Portal Service","خدمات بوابة السجل","تعني خدمات تزويد المسجلين بوسائل ربط بيني على الإنترنت إلى نظام السجل."
"Earth exploration-satellite service","خدمة استكشاف الأرض الساتلية","هي خدمة اتصالات راديوية بين محطات أرضية ومحطة فضائية واحدة أو أكثر، قد تشمل وصلات بين محطات فضائية ويتم فيها: - الحصول على المعلومات المتعلقة بخصائص الأرض وظواهرها الطبيعية بما في ذلك معطيات تتعلق بالأحوال البيئية، بواسطة محاسيس نشيطة أو محاسيس منفعلة تحملها سواتل أرضية. - تجميع معلومات مماثلة بواسطة منصات محمولة جواً أو واقعة على الأرض. - توزيع هذه المعلومات على محطات أرضية تنتمي الى النظام نفسه. - ويمكن مساءلة المنصات أيضاً."
"Space Research Service","خدمة الأبحاث الفضائية","هي خدمة اتصالات راديوية تستخدم فيها مركبات فضائية أو أجسام فضائية أخرى لغايات البحث العلمي أو التكنولوجي."
"Radiocommunication Service","خدمة الاتصالات الراديوية","يقصد بها إرسال أو استقبال تردد راديوي يمكن استخدامه لنقل المعلومات أو الرسائل أو الأصوات أو الصور المرئية أو لتشغيل أو التحكم بالآلات والأجهزة."
"Meteorological-satellite service","خدمة الأرصاد الجوية الساتلية","هي خدمة ساتلية لاستكشاف الأرض لحاجات الأرصاد الجوية."
"Radiodetermination Service","خدمة الاستدلال الراديوي","هي خدمة اتصالات راديوية لغايات الاستدلال الراديوي."
"Radiodetermination-satellite service","خدمة الاستدلال الراديوي الساتلية","هي خدمة اتصالات راديوية لغايات الاستدلال الراديوي، تقتضي استخدام محطة فضائية واحدة أو أكثر."
"Name Service","خدمة الأسماء","تعني الخدمة التي تستجيب إلى طلبات سجلات مصادر نظام أسماء النطاق للأسماء المسجلة؛"
"Internet Service","خدمة الإنترنت","يقصد بها خدمة توفير النفاذ إلى محتوى شبكة الإنترنت للمستخدمين."
"Auto Renewal Service","خدمة التجديد التلقائي","تعني الخدمة التي يتم فيها تجديد ترخيص اسم نطاق تلقائيا دون أي تدخل من صاحب تسجيل اسم النطاق."
"Radiolocation Service","خدمة التحديد الراديوي للموقع","يقصد بها خدمة (مثل الرادار) تستخدم الإشارات الراديوية لكشف وتحديد موقع الأجسام البعيدة مثل الطائرات."
"Radiolocation-satellite service","خدمة التحديد الراديوي للموقع الساتلية","هي خدمة استدلال راديوي ساتلية تستعمل لغايات التحديد الراديوي للموقع."
"Standard frequency and time signal service","خدمة الترددات المعيارية وإشارات التوقيت","هي خدمة اتصالات راديوية تؤمن إرسال ترددات خاصة أو إشارات توقيت أو النوعين بدقة فائقة وهذا الإرسال معد للاستقبال العام، لغايات عملية وتقنية وغيرها."
"Standard frequency and time signal-satellite service","خدمة الترددات المعيارية وإشارات التوقيت الساتلية","هي خدمة اتصالات راديوية تستعمل محطات فضائية واقعة على سواتل أرضية، لنفس الغايات التي تهدف إليها خدمة الترددات المعيارية وإشارات التوقيت."
"EPP Service","خدمة التوفير الموسع","تعني خدمة توفير اسم نطاق كما ورد تفصيلها في طلبات التعليقات 4930 إلى 4934."
"Space Operation Service","خدمة العمليات الفضائية","أي خدمة اتصالات راديوية معدة حصراً لتشغيل المركبات الفضائية، ولا سيما للتتبع الفضائي والقياس الفضائي عن بعد والتحكم الفضائي عن بعد."
"Radionavigation Service","خدمة الملاحة الراديوية","هي خدمة استدلال راديوي لغايات الملاحة الراديوية."
"Maritime radionavigation service","خدمة الملاحة الراديوية البحرية","يعني خدمة ملاحة راديوية مخصصة لمنفعة وللتشغيل الآمن للسفن."
"Maritime radionavigation-satellite service","خدمة الملاحة الراديوية البحرية الساتلية","هي خدمة ملاحة راديوية ساتلية تكون المحطات الأرضية فيها واقعة على متون السفن."
"Radionavigation-satellite service","خدمة الملاحة الراديوية الساتلية","هي خدمة استدلال راديوي ساتلية لغايات الملاحة الراديوية."
"Aeronautical Radionavigation Satellite Service","خدمة الملاحة الراديوية الساتلية للطيران","يقصد بها خدمة ملاحة راديوية تخدم حاجات الطائرات وسلامة تشغيلها وذلك باستخدام السواتل."
"Aeronautical Radionavigation Service","خدمة الملاحة الراديوية للطيران","يقصد بها خدمة ملاحة راديوية تخدم حاجات الطائرات وسلامة تشغيلها."
"Amateur Service","خدمة الهواة","يقصد بها خدمة اتصالات راديوية يستخدمها الهاوي بغرض التدريب الذاتي أو التواصل مع الآخرين أو من منطلق الاهتمام التقني."
"Amateur Satellite Service","خدمة الهواة الساتلية","يقصد بها خدمة الاتصالات الراديوية التي تستخدم المحطات الفضائية على السواتل الأرضية لنفس أغراض خدمة الهواة."
"Primary Services","خدمة أولية","يعني خدمة الاتصالات الراديوية التي لها الأولوية على خدمة الاتصالات الراديوية الثانوية ولها الحماية من التداخلات الضارة بمجرد الإبلاغ عنها، ويظهر اسم هذه الخدمة في الخطة الوطنية للترددات بالحروف الكبيرة (باللغة الإنجليزية)."
"Secondary Services","خدمة ثانوية","يعني الخدمة الإتصالات الراديوية التي يجب عليها أن لا تتسبب في إحداث تداخلات ضارة على محطات الخدمة الأولية ، وتظهر هذه الخدمة في الخطة الوطنية للترددات كوضع أدنى."
"Ship Movement Service (including vessel traffic services)","خدمة حركة السفن","متضمنة خدمات تنقل السفن ويقصد بها خدمة سلامة ضمن الخدمة المتنقلة البحرية، مغايرة لخدمة عمليات الميناء، وتكون بين المحطات الساحلية ومحطات السفن، أو ما بين محطات السفن، وتهدف إلى إرسال مقصورة حصراً على معالجة حركة السفن."
"Radio Astronomy Service","خدمة علم الفلك الراديوي","هي خدمة تشمل استعمال علم الفلك الراديوي."
"Port Operation Service","خدمة عمليات الميناء","يقصد بها خدمة متنقلة بحرية في ميناء أو بجوار ميناء، بين محطات ساحلية ومحطات سفن، أو ما بين محطات سفن، تهدف إلى إرسال رسائل مقصورة حصراً على معالجة مناورات السفن وحركتها وسلامتها، وعند الطوارئ معالجة سلامة الأشخاص."
"WhoIs Check Service","خدمة فحص WhoIs","تعني الخدمة المتاحة للجمهور، والتي يستخدمها المستفسر للاستعلام من قاعدة بيانات السجل لتحديد معلومات معينة بشأن ترخيص اسم نطاق والمسجل المعني، ولكنها توفر معلومات أقل من الاستعلامات عبر خدمة WhoIs."
"Inter-satellite service","خدمة ما بين السواتل","هي خدمة اتصالات راديوية تؤمن وصلات بين سواتل اصطناعية."
"Meteorological Aids Service","خدمة مساعدات الأرصاد الجوية","ويقصد بها خدمة اتصالات راديوية تستعمل لعمليات الرصد والسبر في الأرصاد الجوية، بما في ذلك علم المياه."
"WhoIs Service","خدمة معلومات أسماء النطاق/خدمة WhoIs","تعني الخدمة المقدمة إلى العامة من قبل إدارة أسماء الإنترنت، والتي يستخدمها المستفسر للاستعلام من قاعدة بيانات السجل لتحديد معلومات معينة خاصة بترخيص اسم نطاق."
"DNS Service","خدمة نظام أسماء النطاق (DNS)","تعني خدمة تحليل أسماء نطاقات الإنترنت العامة كما يتم تحديدها في طلب التعليقات 1034 و1045."
"Mobile Number Portability","خدمة نقل رقم الهاتف المتحرك","القدرة أو الخدمة التي بموجبها يمكن للمشترك الذي يتم تزويده بخدمات الاتصالات المتحركة بالاشتراك أو الاتصال برقم هاتف متحرك معين، إنهاء العقد مع المرخص له الذي يقدم خدمة الاتصالات هذه، مع الاستمرار في استخدام رقم الهاتف المتحرك هذا و الاشتراك لتوفير خدمات الاتصالات المتحركة من قبل مرخص له آخر."
"Baseline","خط الأساس","يقصد به ""خط الأساس العادي""، حسب التعريف الوارد في اتفاقية الأمم المتحدة لقانون البحار (UNCLOS 1982 )، بما في ذلك حواف الجزر."
"Low-water Mark","خط الساحل","يقصد به الخط المقطعي للجزر في المياه الضحلة مع اليابسة."
"Digital Subscriber Line","خط المشترك الرقمي","ينقل البيانات الرقمية عبر خط الهاتف. يستخدم هذا على نطاق واسع لتوفير وصول سريع للإنترنت عبر خط هاتف مكيف."
"Universal Service Implementation Plan","خطة تنفيذ الخدمة الشمولية","الخطة التي سيضعها مزود الخدمات الشمولية."
"Copper link(s)","خطوط / أسلاك نحاسية","تم تصميم الأسلاك النحاسية الملتوية ذات التقنية العالية لمقاومة التداخل من المصادر في المنزل، مثل أفران الميكروويف والمكانس الكهربائية ومصابيح الفلورسنت وأدوات الطاقة والأجهزة الأخرى وإشارات الاتصالات الخارجية."
"A-label","دالة A-label","تعني ترميز متوافق مع صيغة الآسكي (ASCII) لكلمة متوافقة مع بروتوكول أسماء النطاقات في التطبيقات (IDNA) والتي يشار إليها أيضا بصيغة نظام اسم النطاق (DNS)؛"
"U-label","دالة U-label","تعني ترميز متوافق مع صيغة الاسكي (ASCII) لكلمة متوافقة مع بروتوكول اسماء النطاقات في التطبيقات (IDNA) والتي يشار إليها أيضا بصيغة نظام اسم النطاق (DNS)."
"Dirham","درهم","العملة الوطنية لدولة الإمارات العربية المتحدة (د.إ)"
"Case","دعوى","يجمع المعنى ما بين التقديم المباشر للبيان، التقديمات اللاحقة للبيان، طلبات المعلومات، المنازعات وأي عناصر أخرى من إجراءات تسوية النزاع المقدمة أمام الهيئة."
"Cache","ذاكرة التخزين المؤقت","جهاز تم إعداده لتخزين المحتوى (على سبيل المثال ، صفحات الويب والملفات ومقاطع الفيديو والتسجيلات الصوتية) التي تم الوصول إليها من قبل المستخدمين على الشبكة. المستخدم الذي يحاول الوصول إلى المحتوى الذي تم تخزينه مسبقاً في ذاكرة التخزين المؤقت سيستلم النسخة المخزنة بدلاً من تنزيل المحتوى من مصدر المحتوى مرة أخرى. ITU-T Y.2084 (06/2015)"
"UAE Link","رابط إماراتي","تعني أي مكالمة اتصالات تنشأ أو تنتهي في دولة الإمارات العربية المتحدة ويتم تسليمها - جزئياً على الأقل - عبر شبكة اتصالات عامة في دولة الإمارات العربية المتحدة."
"Private Mobile Radio 446","راديو الجوال الخاص 446","يقصد به نظام راديوي متنقل أرضي (أي جهاز اللاسلكي) الذي يعمل في النطاق الترددي 446 ميجاهرتز بالخصائص التقنية المحددة في اللائحة التنظيمية بشأن النطاق فائق الاتساع والأجهزة قصيرة المدى لنفس النطاق الترددي."
"EITC License","رخصة EITC","يعني - ترخيص الاتصالات العامة رقم(2) لسنة 2006 الممنوح لــ EITC."
"Etisalat License","رخصة اتصالات","ترخيص الاتصالات العامة رقم (1) لسنة 2006 الممنوح لاتصالات."
"Business license","رخصة أعمال","الوثيقة الصادرة عن الجهات المرخصة والتي تسمح بممارسة نشاط اقتصادي معين وفق المتطلبات والشروط القانونية المتعلقة بهذا النشاط"
"Post Subscription Confirmation Message","رسالة تأكید ما بعد الاشتراك أو ""PSCM""","إشعار مكتوب والذي یتم إرساله للمشترك تحت ظروف معینة وفقاً لأنظمة حماية المستهلك."
"Application Specific Message","رسالة خاصة بالتطبيق (ASM)","يقصد بها الرسائل التي تم تطويرها للسماح بتبادل المعلومات عبر نظام التعرف التلقائي (AIS) بالإضافة إلى مجموعة الرسائل القياسية بحسب ما ورد في التوصية ITU-R M.2092."
"Accreditation Fee","رسم الاعتماد","تعني الرسم المعين الذي يتم دفعه إلى إدارة اسماء نطاق الإنترنت والمطلوب كجزء من عملية الاعتماد، ويتم تحديده من قبل الإدارة من وقت لآخر."
"Annual Accreditation Fee","رسم الاعتماد السنوي","تعني الرسم السنوي واجب الدفع إلى الإدارة والذي يتم إعلان مبلغه من قبل الإدارة من وقت لآخر."
".aeDA Fees","رسوم .aeDA","تعني رسم واحد أو أكثر من الرسوم المفروضة أو المقررة على المسجلين من قبل الإدارة، بما في ذلك على سبيل المثال لا الحصرالرسوم التالية: • رسم تقديم الطلب – رسم واجب الدفع الى الإدارة عند تقديم طلب الاعتماد كمسجل معتمد؛ • رسم الاعتماد – رسم واجب الدفع إلى الإدارة عند الاعتماد والتوقيع على اتفاقية السجل - المسجل؛ • رسم الاعتماد السنوية – رسم واجب الدفع إلى الإدارة في تاريخ الذكرى السنوية من الاعتماد؛ • الوديعة الابتدائية – رسم واجب الدفع من قبل كل مسجل كدليل على أنه يملك الأموال الكافية لبدء العمل والذي يشكل دفعة مسبقة أو تأمين للسداد؛ • رسوم إنشاء وتجديد اسم النطاق؛ • أية رسوم أو أجور أخرى يتم إخطار المسجل بها من قبل الإدارة تحديداً، أو تقرر في أي من سياسات الإدارة من وقت لآخر؛ و تعني كلمة ""رسم"" أو ""رسوم"" أي فئة من الرسوم أعلاه حسب مقتضى السياق."
"Frequency Fees","رسوم الترددات","يقصد بها الرسوم المشمولة ضمن لائحة رسوم الطيف الترددي والتي يتم دفعها للهيئة مقابل إصدار أو تعديل أو تجديد التصريح."
"Application Fee","رسوم الطلب","يقصد بها الرسوم التي يتم دفعها للهيئة مقابل معالجة (طلب جديد أو تجديد أو تعديل) للرخصة أو التصريح بحسب الإجراءات المعمول بها."
"Numbering Application Fee","رسوم الطلب","الرسوم المستحقة من المرخص لهم وغيرهم ممن يتقدمون بطلبات الموافقة على تخصيص موارد الأرقام ، والتي يتم تطبيقها عند تقديم الطلبات."
"Frequency Spectrum Fees","رسوم الطيف الترددي","يقصد بها الرسوم التي يتم دفعها للهيئة، وتتضمن رسوم الطيف الترددي مكّونين اثنين وهما: رسوم الطلب، ورسوم الترددات."
"Fixed Number","رقم الهاتف الثابت","الرقم المرتبط بمشترك ما لاستخدام خدمة الاتصالات، حيث يكون الرقم وفق الخطة الوطنية للأرقام حسب التنسيق ( 0Y XXXXXXX) بحيث يكون Y أحد الأرقام 2،3،4،6،7،9"
"Mobile Number","رقم الهاتف المتحرك","الرقم المرتبط بمشترك ما لاستخدام خدمة الاتصالات، حيث يكون الرقم وفق الخطة الوطنية للأرقام حسب التنسيق (05X XXXXXXX)"
"IMEI Number","رقم تعريف الجهاز المتحرك الدولي (IMEI)","يُقصد به رقم تعريف الجهاز المتحرك الدولي، أو الرقم الذي يحدد بشكل فريد قطعة فردية من جهاز الاتصالات المتحرك."
"Mobile Subscriber identification Number","رقم تعريف مشترك الهاتف المتحرك ( MSIN)","سلسلة خانات رقمية لا تتجاوز عشرة (10) خانات من حيث طولها لتعريف المستخدم الفردي للهاتف المتحرك في شبكة عامة معينة."
"Mobile Country Code","رمز الدولة للهاتف المتحرك (MCC)","رمز ثلاثي الخانات مخصص من قبل مكتب تقييس الاتصالات التابع للاتحاد الدولي للاتصالات لأغراض خدمات الهاتف المتحرك الدولية والذي يحدد بشكل مميز الدول المختلفة."
"Area Code","رمز المنطقة","هي الأرقام التي تلي خانة التبديل 0 والتي تحدد المنطقة الجغرافية للرقم المتصل به أو الخدمة؛ ويشار إليه كذلك باسم رمز الوجهة الوطنية."
"National Destination Code","رمز الوجهة الوطنية ( NDC)","الأرقام التي تلي خانة التبديل ((0) Digit Escape )والتي تحدد المنطقة الجغرافية للرقم المطلوب أو الخدمة؛ ويشار إليه كذلك برمز المنطقة."
"Mobile Network Code","رمز شبكة الهاتف المتحرك (MNC)","رمز مكون من خانتين أو ثلاث خانات مخصص من قبل الجهة المشرفة المكلفة في البلد والمستخدم لتعريف شبكات الهاتف المتحرك المختلفة في ذلك البلد بشكل مميز. ويمكن تخصيص أكثر من رمز شبكة هاتف متحرك لمشغل واحد اعتماداً على ظروف محددة."
"Routing codes","رموز التوجيه","الرموز المستخدمة ضمن الشبكات لتعريف توجيه المكالمات الفردية. ولا يقوم المتعاملون بإدخال هذه الرموز وترفض الشبكة المكالمة إذا أدخل المتعامل الرمز."
"Chairman","رئيس المجلس","رئيس مجلس الإدارة وفي الهيئة يقصد به رئيس مجلس إدارة الهيئة."
"DNS lookup resolution time ""lookup failure rate""","زمن تحليل بحث DNS ""معدل إخفاق البحث""","يقيس زمن تحليل DNS / الإخفاق في البحث عن مجموعة مختارة من أسماء نطاق الموقع المشتركة."
"Webpage loading time","زمن تحميل صفحة الويب","هو تقييم جودة التجربة المرتبطة بزمن تحميل صفحات الويب. إجمالي الوقت لتنزيل صفحة ويب بما في ذلك الموارد المرتبطة مثل الصور وجافا سكريبت وأوراق أنماط. الاختبارات التي يتم إجراؤها على موقع ويب حقيقي في الدولة، مما يسمح بشبكات توزيع المحتوى (CDN) وعوامل تحسين الأداء الأخرى أن توضع في الاعتبار عند قياس جودة التجربة. كما يقوم الاختبار عادةً بتسجيل إجمالي حجم البيانات الذي تم تنزيله لكل صفحة (بالبايت) ووقت تنزيل صفحة الويب والموارد المرتبطة بها (بالثواني)"
"Domain Name Record","سجل اسم النطاق","فيما يتعلق بترخيص اسم نطاق محدد، تعني المعلومات التي تتواجد في نظام السجل فيما يتعلق بترخيص اسم النطاق هذا."
"Do Not Originate Registry","سجل الأرقام المقطوعة","هو سجل لدى المرخص له يتم استخدامه لادراج أرقام الهواتف التي استخدمت لإنشاء مكالمات تسويقية عشوائية بدون موافقة مشتركي الهاتف المتحرك."
"Do Not Call Registry","سجل عدم الاتصال","هو سجل لدى المرخص له يتم استخدامه لإدراج أرقام هواتف المشتركين الذين لا يرغبون في تلقي مكالمات تسويقية عبر الهاتف ."
"Resource Record","سجل مصدر","يشير إلى سجل يتواجد ضمن هرم نظام أسماء النطاق ويساعد في تحديد موقع مصادر الشبكة المرتبطة بنطاق محدد، بما في ذلك مواقع الخوادم الموثوقة لأي من النطاقات الفرعية."
"Hybrid cloud","سحابة هجينة","تشير السحابة المختلطة إلى بيئة الحوسبة والتخزين والخدمات المختلطة المكونة من البنية التحتية المحلية والخدمات السحابية الخاصة والسحابة العامة."
"Withdrawal","سحب الدعوى","يعني طلباً من الطرف المُحيل بسحب دعواه ، وبالتالي إنهاء القضية."
"PAYG Hard Cap Limit","سقف الحد الأقصى للاستخدام الخاص بالبیانات بنظام الدفع حسب الاستخدام","القیمة النقدیة للحد الأقصى الخاص بالبیانات بنظام الدفع حسب الاستخدام"
"Internet Assigned Numbers Authority","سلطة تخصيص أسماء الإنترنت (أيانا) (IANA)","تعني منظمة أرقام الإنترنت المخصصة المسؤولة عن تخصيص الأسماء والأرقام المميزة دولياً والمستخدمة في بروتوكولات الإنترنت، والتي تتم إدارتها من قبل الآيكان؛"
"SOLAS","سولاس","يُقصد بها الاتفاقية الدولية لسلامة الأرواح في البحار لعام 1974 وتعديلاتها."
".aeDA Policies","سياسات إدارة أسماء نطاق الإنترنت أو سياسات الإدارة","تعني السياسات والإجراءات والإرشادات والتوجيهات والإخطارات واللوائح والقرارات والتوجيهات والتفويضات وقواعد الممارسة التي تصدرها وتعممها إدارة أسماء نطاق الإنترنت من وقت لآخر وحسبما يتم تعديلها من وقت لآخر، وتسمى كل منها ""سياسة"" بحيث تعني إجراءات اعتماد المسجلين."
"Regulatory Accounting Policies","سياسات الحساب التنظيمي","يقصد بها السياسات التي تشمل مسائل الحساب التشغيلي مثل أعمار الأصول المطبقة ومعاملات العملة الأجنبية والتصرف مع الأصول غير الملموسة. كما يجب أن تكون سياسات الحساب التنظيمي مطابقة للسياسات المستخدمة لإعداد الحسابات القانونية للمرخص له التابع للهيئة."
"Universal Service Policy","سياسة الخدمات الشمولية","الأداة التنظيمية، حيث تحدد فيها الهيئة رؤيتها وأساسها المنطقي وإطار السياسات لديها لوضع وتطبيق سياسة الخدمات الشمولية للقطاع، والطريقة أو الطرق التي تقترح من خلالها تحقيقها."
".aeDA Privacy Policy","سياسة الخصوصية لإدارة أسماء نطاق الإنترنت (سياسة الخصوصية)","تعني سياسة الخصوصية التي تُصدرها الإدارة من وقت لآخر."
"UAE DRP","سياسة تسوية نزاعات أسماء نطاق الإمارات (UAE DRP)","تعني سياسة تسوية نزاعات أسماء نطاق الإمارات."
"Regulatory Policy","سياسة تنظيمية","أداة تنظيمية تقوم الهيئة من خلالها بتحديد هدف وآلية و/أو طريقة (طرق) إنجاز هذا الهدف ."
"Other Satellite Telecommunications Networks","شبكات الاتصالات الساتلية الأخرى","يقصد بها شبكة الاتصالات الساتلية التي لا تدار من قبل المرخص له أو أحد المشغلين المرخص لهم الآخرين."
"Wireless Local Area Networks","شبكات المنطقة المحلية اللاسلكية","تعني شبكة من المعدات المتصلة بدون استخدام أسلاك باستخدام مجموعة معايير IEEE 802.11."
